,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Josh Allen,1,23,30,77%,263,8.8,107,3.6,10,3,0,0,0,2.5,0,1,1,9,2,1,4,142
2,Dak Prescott,1,28,51,55%,379,7.4,254,5.0,15,6,1,0,0,2.4,3,5,2,16,12,1,6,92
3,Jayden Daniels,1,21,23,91%,254,11.0,173,7.5,8,3,2,1,1,2.4,2,1,1,8,2,0,2,142
4,Lamar Jackson,1,12,15,80%,182,12.1,45,3.0,6,3,2,1,1,2.0,0,1,0,6,3,0,2,139
5,Brock Purdy,1,22,30,73%,292,9.7,232,7.7,11,4,4,0,0,2.9,1,4,4,6,3,3,3,137
6,Malik Willis,1,13,19,68%,202,10.6,79,4.2,6,5,4,0,0,2.3,3,0,0,6,4,2,1,121
7,Joe Burrow,1,29,38,76%,324,8.5,216,5.7,14,3,2,1,0,2.3,2,2,0,6,5,1,7,128
8,Andy Dalton,1,26,37,70%,319,8.6,154,4.2,14,6,3,0,0,1.8,2,2,3,22,4,2,7,124
9,Sam Darnold,1,17,28,61%,181,6.5,123,4.4,6,3,0,0,0,2.6,4,3,5,6,3,2,10,119
10,Aaron Rodgers,1,27,35,77%,281,8.0,141,4.0,12,4,0,0,0,2.4,2,2,0,6,5,2,6,119
11,Daniel Jones,1,24,34,71%,236,6.9,102,3.0,11,3,0,0,0,2.3,2,7,1,9,2,4,5,109
12,Justin Fields,1,25,32,78%,245,7.7,121,3.8,8,4,1,1,1,2.2,2,3,1,10,3,2,2,96
13,Bo Nix,1,25,36,69%,216,6.0,136,3.8,7,2,1,0,0,2.1,0,2,6,17,4,0,2,85
14,Caleb Williams,1,33,52,63%,363,7.0,255,4.9,13,3,2,2,0,2.3,5,1,7,6,11,1,10,81
15,Patrick Mahomes II,1,26,39,67%,217,5.6,108,2.8,10,1,0,0,0,1.9,0,7,1,7,6,2,6,87
16,Deshaun Watson,1,21,37,57%,196,5.3,129,3.5,7,3,0,0,0,2.7,8,6,0,19,7,4,2,90
17,Kyler Murray,1,21,34,62%,207,6.1,151,4.4,8,1,0,0,0,2.5,1,3,3,8,8,0,1,77
18,Will Levis,1,26,34,76%,260,7.6,144,4.2,10,4,0,0,0,2.5,8,2,0,7,4,3,4,93
19,Jared Goff,1,18,23,78%,199,8.7,111,4.8,9,3,0,0,0,2.8,2,0,0,7,4,0,1,114
