RANK,PLAYER,GAMES,RECEIVING_REC,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_YBC,RECEIVING_YBC/R,RECEIVING_AIR,RECEIVING_AIR/R,RECEIVING_YAC,RECEIVING_YACON,RECEIVING_YACON/R,RECEIVING_BRKTKL,TARGETS_TGT,TARGETS_%_TM,TARGETS_CATCHABLE,TARGETS_DROP,TARGETS_RZ_TGT,BIG_PLAYS_10+_YDS,BIG_PLAYS_20+_YDS,BIG_PLAYS_30+_YDS,BIG_PLAYS_40+_YDS,BIG_PLAYS_50+_YDS,BIG_PLAYS_LNG,RECEIVING_TD,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_FPTS
1,Mike Gesicki,1,5,100.0,20.0,55.0,11.0,78.0,15.6,45,9.0,4,0.8,0,6,0.162,5,0,1,4,2,1,1,1,2,0,0,0,0,22.0
2,Cade Otton,1,8,77.0,9.6,34.0,4.3,53.0,6.6,43,5.4,22,2.8,0,11,0.355,9,1,2,4,0,0,0,0,1,0,0,0,0,13.7
3,Taysom Hill,1,4,41.0,10.3,4.0,1.0,8.0,2.0,37,9.3,17,4.3,0,5,0.179,5,1,0,2,0,0,0,0,0,5,19,1,0,12.0
4,Josh Oliver,1,5,58.0,11.6,29.0,5.8,29.0,5.8,29,5.8,10,2.0,0,5,0.152,5,0,1,4,0,0,0,0,1,0,0,0,0,11.8
5,Theo Johnson,1,3,51.0,17.0,36.0,12.0,81.0,27.0,15,5.0,4,1.3,0,6,0.231,4,1,0,2,1,1,0,0,1,0,0,0,0,11.1
6,Brock Bowers,1,5,45.0,9.0,25.0,5.0,47.0,9.4,20,4.0,2,0.4,0,8,0.25,6,1,0,1,1,0,0,0,1,0,0,0,0,10.5
7,Trey McBride,1,3,35.0,11.7,20.0,6.7,21.0,7.0,15,5.0,2,0.7,0,4,0.21100000000000002,3,0,2,2,0,0,0,0,0,1,2,1,0,9.7
8,Nick Vannett,1,2,33.0,16.5,16.0,8.0,16.0,8.0,17,8.5,5,2.5,0,2,0.07400000000000001,2,0,1,1,1,0,0,0,1,0,0,0,0,9.3
9,Ja'Tavion Sanders,1,4,87.0,21.8,26.0,6.5,43.0,10.8,61,15.3,39,9.8,1,5,0.20800000000000002,4,0,0,3,2,1,1,1,0,0,0,0,0,8.7
10,Travis Kelce,1,14,100.0,7.1,65.0,4.6,82.0,5.9,35,2.5,13,0.9,1,16,0.381,14,0,2,3,1,0,0,0,0,0,0,0,1,8.0
11,Foster Moreau,1,1,17.0,17.0,17.0,17.0,28.0,28.0,0,0.0,0,0.0,0,2,0.071,1,0,2,1,0,0,0,0,1,0,0,0,0,7.7
12,Drew Sample,1,4,14.0,3.5,5.0,1.3,5.0,1.3,9,2.3,2,0.5,0,4,0.10800000000000001,4,0,1,0,0,0,0,0,1,0,0,0,0,7.4
13,Jake Ferguson,1,7,71.0,10.1,23.0,3.3,29.0,4.1,48,6.9,25,3.6,1,10,0.20800000000000002,7,0,0,3,1,0,0,0,0,0,0,0,0,7.1
14,Evan Engram,1,5,45.0,9.0,29.0,5.8,68.0,13.6,16,3.2,4,0.8,0,10,0.33299999999999996,6,1,1,2,1,0,0,0,0,0,0,0,0,6.5
15,Quintin Morris,1,1,2.0,2.0,2.0,2.0,2.0,2.0,0,0.0,0,0.0,0,1,0.027999999999999997,1,0,1,0,0,0,0,0,1,0,0,0,0,6.2
16,Chris Manhertz,1,1,2.0,2.0,2.0,2.0,2.0,2.0,0,0.0,0,0.0,0,1,0.038,1,0,1,0,0,0,0,0,1,0,0,0,0,6.2
17,Hunter Henry,1,7,56.0,8.0,25.0,3.6,50.0,7.1,31,4.4,5,0.7,0,8,0.205,7,0,3,4,0,0,0,0,0,0,0,0,0,5.6
18,Jonnu Smith,1,5,46.0,9.2,14.0,2.8,34.0,6.8,32,6.4,9,1.8,0,6,0.222,5,0,1,3,0,0,0,0,0,0,0,0,0,4.6
19,Juwan Johnson,1,2,41.0,20.5,27.0,13.5,27.0,13.5,14,7.0,11,5.5,1,2,0.071,2,0,0,2,1,0,0,0,0,0,0,0,0,4.1
20,Chig Okonkwo,1,3,38.0,12.7,31.0,10.3,34.0,11.3,7,2.3,2,0.7,0,4,0.14800000000000002,4,1,1,1,1,0,0,0,0,0,0,0,0,3.8
21,Tucker Kraft,1,4,34.0,8.5,19.0,4.8,34.0,8.5,15,3.8,7,1.8,0,6,0.162,5,1,2,1,0,0,0,0,0,1,2,0,0,3.6
22,Elijah Higgins,1,2,34.0,17.0,15.0,7.5,15.0,7.5,19,9.5,3,1.5,0,2,0.105,2,0,0,2,1,0,0,0,0,0,0,0,0,3.4
23,Jordan Akins,1,3,32.0,10.7,28.0,9.3,32.0,10.7,4,1.3,0,0.0,0,4,0.087,3,0,0,1,1,0,0,0,0,0,0,0,0,3.2
24,Dalton Kincaid,1,4,32.0,8.0,21.0,5.3,72.0,18.0,11,2.8,7,1.8,1,10,0.278,6,2,2,1,0,0,0,0,0,0,0,0,0,3.2
25,Grant Calcaterra,1,5,30.0,6.0,8.0,1.6,8.0,1.6,22,4.4,0,0.0,0,5,0.217,5,0,0,1,0,0,0,0,0,0,0,0,0,3.0
26,David Njoku,1,5,29.0,5.8,21.0,4.2,25.0,5.0,8,1.6,1,0.2,0,7,0.152,6,1,0,1,0,0,0,0,0,0,0,0,0,2.9
27,Sam LaPorta,1,2,28.0,14.0,23.0,11.5,32.0,16.0,5,2.5,2,1.0,0,3,0.15,2,0,0,1,0,0,0,0,0,0,0,0,0,2.8
28,AJ Barner,1,4,27.0,6.8,8.0,2.0,8.0,2.0,19,4.8,9,2.3,0,7,0.20600000000000002,5,1,2,1,0,0,0,0,0,0,0,0,0,2.7
29,T.J. Hockenson,1,3,27.0,9.0,26.0,8.7,42.0,14.0,1,0.3,0,0.0,0,4,0.121,3,0,1,1,0,0,0,0,0,0,0,0,0,2.7
30,Mark Andrews,1,2,26.0,13.0,19.0,9.5,19.0,9.5,7,3.5,1,0.5,0,2,0.105,2,0,0,2,0,0,0,0,0,0,0,0,0,2.6
31,Erick All Jr.,1,2,24.0,12.0,16.0,8.0,16.0,8.0,8,4.0,1,0.5,0,2,0.054000000000000006,2,0,0,1,0,0,0,0,0,0,0,0,0,2.4
32,Harrison Bryant,1,2,22.0,11.0,4.0,2.0,4.0,2.0,18,9.0,0,0.0,0,2,0.063,2,0,0,1,0,0,0,0,0,0,0,0,0,2.2
33,Kylen Granson,1,1,22.0,22.0,18.0,18.0,18.0,18.0,4,4.0,2,2.0,0,1,0.037000000000000005,1,0,0,1,1,0,0,0,0,0,0,0,0,2.2
34,Dalton Schultz,1,3,21.0,7.0,10.0,3.3,92.0,30.7,11,3.7,8,2.7,0,6,0.207,3,0,0,0,0,0,0,0,0,0,0,0,0,2.1
35,Tanner Hudson,1,2,14.0,7.0,5.0,2.5,6.0,3.0,9,4.5,3,1.5,0,3,0.081,2,0,1,1,0,0,0,0,0,0,0,0,0,1.4
36,Ben Sinnott,1,1,12.0,12.0,4.0,4.0,4.0,4.0,8,8.0,3,3.0,0,1,0.053,1,0,0,1,0,0,0,0,0,0,0,0,0,1.2
