RANK,PLAYER,GAMES,RECEIVING_REC,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_YBC,RECEIVING_YBC/R,RECEIVING_AIR,RECEIVING_AIR/R,RECEIVING_YAC,RECEIVING_YACON,RECEIVING_YACON/R,RECEIVING_BRKTKL,TARGETS_TGT,TARGETS_%_TM,TARGETS_CATCHABLE,TARGETS_DROP,TARGETS_RZ_TGT,BIG_PLAYS_10+_YDS,BIG_PLAYS_20+_YDS,BIG_PLAYS_30+_YDS,BIG_PLAYS_40+_YDS,BIG_PLAYS_50+_YDS,BIG_PLAYS_LNG,RECEIVING_TD,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_FPTS
1,Brock Bowers,1,10,140,14.0,90.0,9.0,108.0,10.8,50,5.0,10,1.0,0,14,0.41200000000000003,10,0,1,5,3,1,0,0,1,1,2,0,0,20.2
2,David Njoku,1,9,52,5.8,35.0,3.9,94.0,10.4,17,1.9,6,0.7,1,17,0.298,12,3,4,2,0,0,0,0,2,0,0,0,0,17.2
3,Mark Andrews,1,6,67,11.2,58.0,9.7,72.0,12.0,9,1.5,3,0.5,0,7,0.2,7,1,2,3,1,0,0,0,1,1,2,0,0,12.9
4,Pat Freiermuth,1,6,68,11.3,43.0,7.2,46.0,7.7,25,4.2,6,1.0,0,7,0.19399999999999998,7,1,0,2,1,0,0,0,1,0,0,0,0,12.8
5,Sam LaPorta,1,3,6,2.0,5.0,1.7,33.0,11.0,1,0.3,0,0.0,0,6,0.19399999999999998,3,0,2,0,0,0,0,0,2,0,0,0,0,12.6
6,Dalton Schultz,1,5,61,12.2,26.0,5.2,34.0,6.8,35,7.0,4,0.8,0,7,0.212,5,0,1,3,1,0,0,0,1,0,0,0,0,12.1
7,Jonnu Smith,1,10,113,11.3,75.0,7.5,78.0,7.8,38,3.8,10,1.0,0,11,0.239,10,0,1,8,0,0,0,0,0,0,0,0,0,11.3
8,Austin Hooper,1,4,42,10.5,31.0,7.8,31.0,7.8,11,2.8,4,1.0,0,4,0.133,4,0,2,2,0,0,0,0,1,0,0,0,0,10.2
9,Isaiah Likely,1,5,38,7.6,24.0,4.8,81.0,16.2,14,2.8,5,1.0,1,8,0.22899999999999998,6,1,1,2,0,0,0,0,1,0,0,0,0,9.8
10,Trey McBride,1,12,96,8.0,40.0,3.3,40.0,3.3,56,4.7,18,1.5,1,12,0.27899999999999997,12,0,3,3,0,0,0,0,0,0,0,0,0,9.6
11,Dallas Goedert,1,3,35,11.7,13.0,4.3,23.0,7.7,22,7.3,14,4.7,1,4,0.235,3,0,2,1,0,0,0,0,1,0,0,0,0,9.5
12,Zach Ertz,1,3,35,11.7,17.0,5.7,34.0,11.3,18,6.0,9,3.0,0,6,0.2,3,0,2,1,1,0,0,0,1,0,0,0,0,9.5
13,Johnny Mundt,1,2,22,11.0,1.0,0.5,1.0,0.5,21,10.5,0,0.0,0,2,0.067,2,0,1,1,0,0,0,0,1,0,0,0,0,8.2
14,Tucker Kraft,1,6,78,13.0,18.0,3.0,9.0,1.5,60,10.0,18,3.0,1,7,0.25,6,0,1,4,0,0,0,0,0,0,0,0,0,7.8
