RANK,PLAYER,GAMES,PASSING_COMP,PASSING_ATT,PASSING_PCT,PASSING_YDS,PASSING_Y/A,PASSING_AIR,PASSING_AIR/A,DEEP_BALL_10+_YDS,DEEP_BALL_20+_YDS,DEEP_BALL_30+_YDS,DEEP_BALL_40+_YDS,DEEP_BALL_50+_YDS,PRESSURE_PKT_TIME,PRESSURE_SACK,PRESSURE_KNCK,PRESSURE_HRRY,PRESSURE_BLITZ,MISC_POOR,MISC_DROP,MISC_RZ_ATT,MISC_RTG,PASSING_TD,PASSING_INT,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_FPTS
26,Matthew Stafford,1,13,22,59%,162.0,7.4,87,4.0,7,5,1,0,0,2.4,1,2,0,7,5,0,4,78,1.0,1.0,1.0,9.0,0.0,0.0,12.4
27,Zach Wilson,1,17,36,47%,240.0,6.7,129,3.6,11,3,1,1,1,2.4,4,5,8,22,8,2,1,79,1.0,0.0,4.0,25.0,0.0,2.0,12.1
28,Lamar Jackson,1,18,27,67%,157.0,5.8,84,3.1,7,2,0,0,0,2.9,4,1,5,8,4,0,2,94,1.0,0.0,5.0,17.0,0.0,0.0,12.0
29,Mitchell Trubisky,1,15,27,56%,138.0,5.1,63,2.3,8,1,0,0,0,2.4,2,2,1,3,4,2,0,51,1.0,2.0,3.0,18.0,0.0,0.0,9.3
30,Patrick Mahomes II,1,24,38,63%,240.0,6.3,116,3.1,11,2,1,0,0,3.2,3,5,0,9,5,5,3,59,0.0,2.0,3.0,20.0,0.0,1.0,7.6
31,Tommy DeVito,1,2,7,29%,-1.0,-0.1,0,0.0,0,0,0,0,0,2.2,2,1,1,2,1,0,1,40,0.0,0.0,4.0,12.0,1.0,0.0,7.2
32,Jimmy Garoppolo,1,10,21,48%,126.0,6.0,60,2.9,8,0,0,0,0,2.5,6,3,3,10,6,3,0,47,0.0,1.0,2.0,12.0,0.0,0.0,5.2
33,Kenny Pickett,1,10,16,63%,73.0,4.6,63,3.9,3,0,0,0,0,2.3,1,4,1,3,2,1,3,73,0.0,0.0,1.0,10.0,0.0,0.0,3.9
34,Tyrod Taylor,1,4,7,57%,8.0,1.1,3,0.4,0,0,0,0,0,2.4,2,2,2,2,0,1,1,62,0.0,0.0,5.0,33.0,0.0,0.0,3.6
35,Desmond Ridder,1,8,12,67%,71.0,5.9,47,3.9,5,0,0,0,0,2.3,5,1,0,2,2,0,0,82,0.0,0.0,3.0,26.0,0.0,1.0,3.4
36,Brett Rypien,1,5,10,50%,42.0,4.2,8,0.8,3,0,0,0,0,2.3,1,1,0,3,3,1,0,61,0.0,0.0,0.0,0.0,0.0,0.0,1.7
37,Dorian Thompson-Robinson,1,1,1,100%,9.0,9.0,0,0.0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,104,0.0,0.0,0.0,0.0,0.0,0.0,0.4
38,Cooper Rush,1,2,3,67%,3.0,1.0,0,0.0,0,0,0,0,0,1.6,0,0,0,2,1,0,0,70,0.0,0.0,3.0,-3.0,0.0,0.0,-0.2
39,Jaren Hall,1,3,4,75%,23.0,5.8,13,3.3,1,0,0,0,0,2.6,1,1,0,1,1,0,0,89,0.0,0.0,2.0,-1.0,0.0,1.0,-1.2
40,Malik Willis,1,0,0,0%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,4.0,0.0,1.0,-1.6
41,Kyler Murray,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
42,Case Keenum,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
43,Jarrett Stidham,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
44,Mason Rudolph,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
45,Easton Stick,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
46,Kyle Trask,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
47,Davis Mills,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
48,Joe Flacco,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
49,Carson Wentz,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
50,Logan Woodside,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
51,Nick Mullens,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
52,Trevor Siemian,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
53,Sam Ehlinger,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
54,Jacoby Brissett,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
55,Marcus Mariota,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
56,Skylar Thompson,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
57,Sam Darnold,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
58,Nathan Peterman,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
59,Jameis Winston,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
60,Clayton Tune,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
61,Anthony Richardson,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
62,Justin Fields,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
63,Sean Clifford,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
64,Daniel Jones,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
65,Aaron Rodgers,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
66,Kyle Allen,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
67,Deshaun Watson,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
68,C.J. Beathard,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
69,Andy Dalton,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
70,Malik Cunningham,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
71,Mike White,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
72,Tyler Huntley,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
73,Aidan O'Connell,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
74,Bailey Zappe,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
75,Drew Lock,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
76,Jake Browning,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
77,Chris Oladokun,1,0,0,0%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Jeff Driskel,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
