RANK,PLAYER,GAMES,PASSING_COMP,PASSING_ATT,PASSING_PCT,PASSING_YDS,PASSING_Y/A,PASSING_AIR,PASSING_AIR/A,DEEP_BALL_10+_YDS,DEEP_BALL_20+_YDS,DEEP_BALL_30+_YDS,DEEP_BALL_40+_YDS,DEEP_BALL_50+_YDS,PRESSURE_PKT_TIME,PRESSURE_SACK,PRESSURE_KNCK,PRESSURE_HRRY,PRESSURE_BLITZ,MISC_POOR,MISC_DROP,MISC_RZ_ATT,MISC_RTG,PASSING_TD,PASSING_INT,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_FPTS
1,Sam Howell,1,39,52,75%,397.0,7.6,264,5.1,16,4,0,0,0,2.2,1,5,1,14,4,4,3,114,4.0,1.0,3.0,11.0,0.0,0.0,32.0
2,Josh Allen,1,31,40,78%,324.0,8.1,181,4.5,15,3,1,0,0,2.0,2,1,3,12,4,0,5,107,2.0,1.0,7.0,41.0,1.0,0.0,30.1
3,Dak Prescott,1,25,31,81%,304.0,9.8,189,6.1,15,5,0,0,0,2.5,3,0,0,11,1,0,5,134,4.0,1.0,4.0,19.0,0.0,0.0,29.1
4,Joe Burrow,1,28,32,88%,283.0,8.8,173,5.4,11,4,1,0,0,2.5,3,3,0,3,0,2,7,135,3.0,0.0,6.0,43.0,0.0,0.0,27.6
5,Jalen Hurts,1,29,38,76%,319.0,8.4,202,5.3,14,4,1,0,0,2.5,2,2,2,9,3,0,2,136,4.0,0.0,4.0,6.0,0.0,1.0,27.4
6,Will Levis,1,19,29,66%,238.0,8.2,160,5.5,7,3,3,2,1,2.5,2,9,0,12,4,1,1,131,4.0,0.0,7.0,11.0,0.0,0.0,26.6
7,Joshua Dobbs,1,25,37,68%,208.0,5.6,124,3.4,6,3,0,0,0,2.4,2,5,1,6,8,0,7,77,2.0,2.0,6.0,26.0,1.0,0.0,24.9
8,Justin Herbert,1,31,40,78%,298.0,7.5,139,3.5,10,3,1,0,0,2.3,0,2,5,14,3,1,6,123,3.0,0.0,1.0,1.0,0.0,0.0,24.0
9,Tua Tagovailoa,1,30,45,67%,324.0,7.2,211,4.7,13,5,2,1,0,1.8,2,0,5,14,6,3,9,101,3.0,1.0,6.0,8.0,0.0,1.0,22.8
10,Baker Mayfield,1,25,42,60%,237.0,5.6,117,2.8,6,4,1,0,0,2.5,3,7,1,11,4,2,1,91,2.0,0.0,3.0,19.0,0.0,0.0,21.4
11,Brock Purdy,1,22,31,71%,365.0,11.8,203,6.5,14,8,4,1,0,3.4,2,5,0,3,5,2,5,94,1.0,2.0,6.0,57.0,0.0,1.0,20.3
12,Kirk Cousins,1,23,31,74%,274.0,8.8,179,5.8,13,6,1,0,0,2.7,2,4,0,14,1,2,7,122,2.0,0.0,2.0,9.0,0.0,0.0,19.9
13,Derek Carr,1,19,27,70%,310.0,11.5,176,6.5,9,4,3,2,2,2.0,1,1,0,6,3,4,2,133,2.0,0.0,1.0,-1.0,0.0,1.0,18.3
14,Russell Wilson,1,12,19,63%,114.0,6.0,78,4.1,5,2,1,0,0,3.0,6,1,0,5,4,1,5,119,3.0,0.0,8.0,30.0,0.0,1.0,17.6
15,Geno Smith,1,23,37,62%,254.0,6.9,137,3.7,9,2,1,1,0,2.3,1,3,4,10,9,0,8,78,2.0,2.0,2.0,-3.0,0.0,0.0,15.9
16,Gardner Minshew II,1,23,41,56%,213.0,5.2,138,3.4,9,1,1,0,0,2.2,2,5,7,12,6,2,5,77,2.0,1.0,1.0,3.0,0.0,0.0,15.8
17,Trevor Lawrence,1,24,32,75%,292.0,9.1,179,5.6,11,5,2,1,1,2.1,3,2,2,16,4,2,2,100,1.0,1.0,1.0,10.0,0.0,0.0,15.7
18,Jordan Love,1,24,41,59%,229.0,5.6,127,3.1,10,2,2,0,0,2.6,4,2,0,16,6,3,8,72,1.0,1.0,4.0,34.0,0.0,0.0,15.6
19,Bryce Young,1,22,31,71%,235.0,7.6,116,3.7,10,3,2,1,0,2.5,6,2,3,13,2,5,4,104,1.0,0.0,4.0,11.0,0.0,0.0,14.5
20,Jared Goff,1,26,37,70%,272.0,7.4,128,3.5,11,3,1,1,0,2.1,0,4,8,6,3,3,5,89,1.0,1.0,2.0,-2.0,0.0,0.0,13.7
21,Mac Jones,1,19,29,66%,161.0,5.6,92,3.2,6,2,0,0,0,2.1,3,4,2,5,5,1,5,88,2.0,1.0,1.0,-2.0,0.0,0.0,13.2
22,Tyson Bagent,1,25,37,68%,232.0,6.3,140,3.8,8,1,1,1,0,2.5,1,1,9,8,6,2,4,62,0.0,2.0,4.0,-1.0,1.0,0.0,13.2
23,C.J. Stroud,1,16,24,67%,140.0,5.8,82,3.4,5,2,1,0,0,2.4,2,1,1,5,4,0,1,82,0.0,0.0,2.0,13.0,1.0,0.0,12.9
24,P.J. Walker,1,15,31,48%,248.0,8.0,102,3.3,9,6,2,2,0,2.5,3,8,1,8,10,1,6,60,1.0,2.0,6.0,27.0,0.0,1.0,12.6
25,Taylor Heinicke,1,12,21,57%,175.0,8.3,119,5.7,6,3,1,1,1,2.4,1,3,1,6,5,1,1,100,1.0,0.0,2.0,14.0,0.0,0.0,12.4
