RANK,PLAYER,GAMES,PASSING_COMP,PASSING_ATT,PASSING_PCT,PASSING_YDS,PASSING_Y/A,PASSING_AIR,PASSING_AIR/A,DEEP_BALL_10+_YDS,DEEP_BALL_20+_YDS,DEEP_BALL_30+_YDS,DEEP_BALL_40+_YDS,DEEP_BALL_50+_YDS,PRESSURE_PKT_TIME,PRESSURE_SACK,PRESSURE_KNCK,PRESSURE_HRRY,PRESSURE_BLITZ,MISC_POOR,MISC_DROP,MISC_RZ_ATT,MISC_RTG,PASSING_TD,PASSING_INT,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_FPTS
1,Josh Allen,1,29,51,57%,339,6.6,212,4.2,13,5,1,0,0,2.7,1,3,0,17,8,3,5,82,2.0,1.0,9.0,81.0,2.0,0.0,40.7
2,Jalen Hurts,1,18,31,58%,200,6.5,125,4.0,9,2,1,0,0,3.3,2,0,1,4,6,1,3,96,3.0,1.0,14.0,65.0,2.0,1.0,35.5
3,Dak Prescott,1,22,32,69%,331,10.3,262,8.2,14,6,4,0,0,2.5,0,2,0,8,6,1,3,142,4.0,0.0,1.0,10.0,0.0,0.0,32.2
4,C.J. Stroud,1,26,36,72%,304,8.4,183,5.1,12,5,2,0,0,3.5,4,2,2,10,8,0,3,116,2.0,0.0,6.0,47.0,1.0,0.0,30.9
5,Jordan Love,1,22,32,69%,268,8.4,199,6.2,12,2,1,1,1,2.3,0,4,5,16,5,2,4,126,3.0,0.0,3.0,39.0,0.0,0.0,26.6
6,Trevor Lawrence,1,23,38,61%,364,9.6,170,4.5,11,5,4,4,1,2.4,0,2,0,9,7,3,3,90,1.0,1.0,2.0,0.0,1.0,0.0,25.6
7,Matthew Stafford,1,25,33,76%,229,6.9,118,3.6,7,3,1,1,0,2.2,0,3,2,6,5,0,9,121,4.0,1.0,1.0,2.0,0.0,0.0,24.4
8,Patrick Mahomes II,1,27,34,79%,298,8.8,125,3.7,16,3,1,0,0,2.5,1,1,0,2,3,2,7,123,2.0,0.0,5.0,9.0,0.0,0.0,20.8
9,Kyler Murray,1,27,45,60%,256,5.7,157,3.5,11,3,1,0,0,2.4,4,2,5,10,7,0,4,83,1.0,0.0,1.0,2.0,1.0,0.0,20.4
10,Sam Howell,1,28,44,64%,300,6.8,176,4.0,15,3,1,0,0,2.4,4,3,1,12,8,2,2,74,0.0,1.0,2.0,13.0,1.0,0.0,18.3
11,Jared Goff,1,29,44,66%,332,7.5,196,4.5,11,7,2,0,0,2.3,3,9,1,17,9,2,4,104,2.0,0.0,3.0,9.0,0.0,3.0,18.2
12,Russell Wilson,1,13,22,59%,134,6.1,82,3.7,5,2,1,0,0,2.8,1,3,4,10,3,3,3,92,1.0,0.0,11.0,34.0,1.0,1.0,16.8
13,Gardner Minshew II,1,24,41,59%,251,6.1,124,3.0,9,2,1,0,0,2.1,2,1,1,15,6,4,6,66,0.0,1.0,3.0,6.0,1.0,0.0,15.6
14,Lamar Jackson,1,18,32,56%,177,5.5,72,2.3,10,1,0,0,0,2.1,2,2,7,11,7,1,1,82,1.0,0.0,11.0,39.0,0.0,0.0,15.0
15,Justin Herbert,1,29,44,66%,217,4.9,137,3.1,7,2,1,0,0,2.2,3,4,7,14,4,2,6,76,1.0,1.0,4.0,47.0,0.0,1.0,14.4
16,Baker Mayfield,1,20,30,67%,199,6.6,121,4.0,7,3,0,0,0,2.3,6,1,2,5,1,3,3,94,2.0,1.0,3.0,14.0,0.0,1.0,14.4
17,Aidan O'Connell,1,23,33,70%,248,7.5,129,3.9,10,2,2,0,0,2.3,1,3,0,11,5,2,2,102,1.0,0.0,0.0,0.0,0.0,0.0,13.9
18,Jake Browning,1,19,26,73%,227,8.7,103,4.0,9,4,2,0,0,2.5,4,1,1,8,1,0,3,96,1.0,1.0,3.0,9.0,0.0,0.0,13.0
19,Derek Carr,1,24,38,63%,304,8.0,175,4.6,12,5,2,1,1,2.3,1,1,0,15,6,1,5,77,0.0,1.0,2.0,7.0,0.0,0.0,11.9
20,Desmond Ridder,1,13,21,62%,168,8.0,121,5.8,8,3,0,0,0,2.3,0,1,0,5,1,2,2,63,1.0,2.0,7.0,30.0,0.0,0.0,11.7
21,Kenny Pickett,1,24,33,73%,278,8.4,174,5.3,12,4,2,1,0,2.4,2,2,1,9,5,0,2,98,0.0,0.0,5.0,5.0,0.0,0.0,11.6
22,Brock Purdy,1,21,30,70%,209,7.0,138,4.6,9,5,0,0,0,2.7,1,4,4,10,6,0,4,87,1.0,1.0,3.0,1.0,0.0,0.0,11.5
23,Dorian Thompson-Robinson,1,14,29,48%,134,4.6,102,3.5,7,1,0,0,0,2.6,0,2,5,14,7,2,7,73,1.0,0.0,5.0,21.0,0.0,0.0,11.5
24,Justin Fields,1,27,37,73%,217,5.9,90,2.4,10,4,1,0,0,2.2,3,2,9,22,2,0,2,87,0.0,0.0,12.0,59.0,0.0,2.0,10.6
25,Tommy DeVito,1,17,25,68%,191,7.6,129,5.2,7,3,1,1,0,2.6,6,0,3,8,0,3,2,104,1.0,0.0,5.0,6.0,0.0,1.0,10.2
26,Tua Tagovailoa,1,21,30,70%,243,8.1,143,4.8,11,3,2,0,0,1.8,2,0,1,1,2,3,2,78,1.0,2.0,2.0,1.0,0.0,1.0,9.8
27,Tim Boyle,1,27,38,71%,179,4.7,85,2.2,4,0,0,0,0,2.2,7,4,2,4,6,1,3,68,1.0,2.0,2.0,2.0,0.0,0.0,9.4
28,Joshua Dobbs,1,22,32,69%,185,5.0,142,4.4,7,1,0,0,0,2.4,2,6,7,10,3,1,2,54,1.0,4.0,2.0,11.0,0.0,0.0,8.5
29,Geno Smith,1,18,27,67%,180,6.7,122,4.5,6,2,1,0,0,2.4,6,3,1,9,3,1,1,70,0.0,1.0,4.0,21.0,0.0,0.0,8.3
30,Bryce Young,1,18,31,58%,194,6.3,118,3.8,8,3,0,0,0,2.7,4,2,5,4,4,1,0,77,0.0,0.0,3.0,23.0,0.0,1.0,8.1
31,Will Levis,1,18,28,64%,185,6.6,153,5.5,8,2,0,0,0,2.4,1,3,0,5,3,1,1,83,0.0,0.0,3.0,-3.0,0.0,0.0,7.1
32,Clayton Tune,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
33,Mac Jones,1,12,21,57%,89,4.2,19,0.9,3,0,0,0,0,2.1,1,1,2,12,5,2,0,28,0.0,2.0,0.0,0.0,0.0,0.0,1.6
