,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Christian McCaffrey,1,18,115.0,6.4,87.0,4.8,28,1.6,0,2,-3.0,1,6,1,0,0,0,26,5,5,1,6
2,James Cook,1,25,179.0,7.2,107.0,4.3,72,2.9,1,0,0.0,24,7,2,0,0,0,24,2,3,2,19
3,Jahmyr Gibbs,1,11,100.0,9.1,44.0,4.0,56,5.1,3,1,-1.0,12,4,2,1,0,0,34,2,2,1,0
4,Ty Chandler,1,23,132.0,5.7,87.0,3.8,45,2.0,0,1,-1.0,1,2,2,1,0,0,30,3,4,1,2
5,Rachaad White,1,21,89.0,4.2,38.0,1.8,51,2.4,0,1,-2.0,0,1,1,0,0,0,22,2,2,0,1
6,Kyren Williams,1,27,152.0,5.6,96.0,3.6,56,2.1,2,1,-3.0,1,5,1,0,0,0,27,5,7,2,0
7,Kenneth Walker III,1,19,86.0,4.5,55.0,2.9,31,1.6,3,3,-11.0,23,3,1,0,0,0,23,3,3,0,20
8,Devin Singletary,1,26,121.0,4.7,68.0,2.6,53,2.0,1,3,-3.0,0,3,0,0,0,0,19,4,5,0,5
9,Raheem Mostert,1,15,42.0,2.8,18.0,1.2,24,1.6,0,3,-11.0,2,2,0,0,0,0,18,2,2,1,0
10,Clyde Edwards-Helaire,1,13,37.0,2.8,6.0,0.5,31,2.4,0,2,-5.0,0,1,1,0,0,0,20,4,4,2,25
11,James Conner,1,14,86.0,6.1,23.0,1.6,63,4.5,0,0,0.0,2,1,1,1,1,0,44,3,3,0,8
12,Zamir White,1,17,69.0,4.1,18.0,1.1,51,3.0,1,0,0.0,1,1,0,0,0,0,15,3,4,1,9
13,Jerick McKinnon,1,4,11.0,2.8,4.0,1.0,7,1.8,0,0,0.0,0,0,0,0,0,0,4,3,3,1,3
14,Emari Demercado,1,4,64.0,16.0,15.0,3.8,49,12.3,0,0,0.0,49,1,1,1,1,0,49,1,3,0,0
15,Gus Edwards,1,16,58.0,3.6,32.0,2.0,26,1.6,3,0,0.0,1,1,1,0,0,0,20,1,1,0,0
16,Joe Mixon,1,10,47.0,4.7,34.0,3.4,13,1.3,1,0,0.0,1,1,0,0,0,0,10,3,3,0,3
17,Alvin Kamara,1,16,66.0,4.1,32.0,2.0,34,2.1,1,1,-1.0,0,2,0,0,0,0,15,5,5,0,14
18,Chuba Hubbard,1,22,87.0,4.0,43.0,2.0,44,2.0,2,4,-8.0,0,4,2,0,0,0,22,2,2,0,4
