,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Raheem Mostert,1,17,115.0,6.8,75.0,4.4,40,2.4,2,2,-3.0,4,3,1,1,1,0,49,3,3,1,6
2,Kyren Williams,1,20,158.0,7.9,143.0,7.2,15,0.8,2,2,-2.0,5,5,2,1,0,0,31,0,0,0,0
3,Travis Etienne Jr.,1,18,55.0,3.1,24.0,1.3,31,1.7,0,5,-15.0,22,1,1,0,0,0,22,3,3,0,18
4,Derrick Henry,1,12,97.0,8.1,70.0,5.8,27,2.3,4,1,-1.0,15,2,1,1,1,1,63,2,2,0,5
5,Breece Hall,1,12,39.0,3.3,26.0,2.2,13,1.1,0,2,-4.0,8,0,0,0,0,0,9,5,5,0,25
6,Chuba Hubbard,1,19,88.0,4.6,83.0,4.4,5,0.3,1,0,0.0,6,1,0,0,0,0,19,1,1,0,0
7,Kenneth Walker III,1,19,62.0,3.3,47.0,2.5,15,0.8,2,4,-6.0,1,1,1,0,0,0,21,3,3,0,4
8,Kareem Hunt,1,12,47.0,3.9,40.0,3.3,7,0.6,0,1,-1.0,16,1,0,0,0,0,16,3,3,0,5
9,Rhamondre Stevenson,1,10,46.0,4.6,32.0,3.2,14,1.4,0,0,0.0,1,1,0,0,0,0,15,5,6,1,7
10,Zack Moss,1,7,21.0,3.0,10.0,1.4,11,1.6,0,0,0.0,3,0,0,0,0,0,9,6,7,0,15
11,Brian Robinson Jr.,1,10,31.0,3.1,27.0,2.7,4,0.4,0,0,0.0,0,0,0,0,0,0,9,2,2,0,0
12,Christian McCaffrey,1,11,43.0,3.9,28.0,2.5,15,1.4,1,2,-5.0,0,1,1,0,0,0,27,3,3,2,0
13,Tony Pollard,1,15,30.0,2.0,12.0,0.8,18,1.2,0,2,-4.0,0,0,0,0,0,0,7,6,7,2,51
14,Ezekiel Elliott,1,7,34.0,4.9,22.0,3.1,12,1.7,0,0,0.0,2,0,0,0,0,0,8,1,1,0,0
15,Alvin Kamara,1,19,68.0,3.6,33.0,1.7,35,1.8,0,3,-6.0,0,1,0,0,0,0,13,7,8,1,4
16,D'Andre Swift,1,10,18.0,1.8,11.0,1.1,7,0.7,0,2,-8.0,0,0,0,0,0,0,9,8,10,1,6
17,Isiah Pacheco,1,16,62.0,3.9,47.0,2.9,15,0.9,0,3,-3.0,0,1,0,0,0,0,15,6,6,1,3
18,Saquon Barkley,1,24,93.0,3.9,65.0,2.7,28,1.2,0,6,-12.0,0,2,1,1,0,0,34,4,5,2,0
19,Salvon Ahmed,1,6,23.0,3.8,0.0,0.0,0,0.0,0,0,0.0,9,0,0,0,0,0,9,3,5,1,0
20,Josh Jacobs,1,25,77.0,3.1,53.0,2.1,24,1.0,0,2,-3.0,0,1,0,0,0,0,18,2,5,0,1
21,Jerome Ford,1,17,84.0,4.9,53.0,3.1,31,1.8,1,3,-7.0,0,3,1,0,0,0,22,2,2,0,0
22,Jordan Mason,1,5,27.0,5.4,11.0,2.2,16,3.2,0,0,0.0,8,1,0,0,0,0,10,0,0,0,0
23,Bijan Robinson,1,13,37.0,2.8,29.0,2.2,8,0.6,1,1,-3.0,0,0,0,0,0,0,9,5,8,0,0
24,Antonio Gibson,1,3,15.0,5.0,9.0,3.0,6,2.0,0,0,0.0,0,0,0,0,0,0,9,1,1,1,0
25,Alexander Mattison,1,18,44.0,2.4,32.0,1.8,12,0.7,1,4,-11.0,0,0,0,0,0,0,8,4,7,0,4
26,Javonte Williams,1,10,52.0,5.2,32.0,3.2,20,2.0,0,1,-2.0,0,2,0,0,0,0,18,0,0,0,0
27,James Cook,1,14,71.0,5.1,39.0,2.8,32,2.3,0,1,-1.0,0,3,0,0,0,0,14,0,0,0,0
28,D'Onta Foreman,1,15,65.0,4.3,36.0,2.4,29,1.9,1,1,-6.0,0,1,0,0,0,0,10,1,1,0,0
29,Jonathan Taylor,1,8,19.0,2.4,10.0,1.3,9,1.1,0,1,-4.0,0,0,0,0,0,0,5,5,6,2,3
30,Tyjae Spears,1,4,15.0,3.8,9.0,2.3,6,1.5,0,0,0.0,0,1,0,0,0,0,12,1,1,0,20
31,Joe Mixon,1,12,38.0,3.2,30.0,2.5,8,0.7,0,0,0.0,0,0,0,0,0,0,5,3,4,0,0
32,Devin Singletary,1,12,58.0,4.8,32.0,2.7,26,2.2,0,1,-2.0,0,2,0,0,0,0,17,1,2,1,0
33,Austin Ekeler,1,14,27.0,1.9,9.0,0.6,18,1.3,0,1,-4.0,0,0,0,0,0,0,6,4,6,3,6
34,Gus Edwards,1,16,41.0,2.6,8.0,0.5,33,2.1,2,1,-1.0,0,0,0,0,0,0,8,1,1,0,2
35,Tyler Allgeier,1,13,51.0,3.9,30.0,2.3,21,1.6,1,0,0.0,0,1,0,0,0,0,11,0,1,0,0
36,Keaontay Ingram,1,10,40.0,4.0,0.0,0.0,0,0.0,0,1,-1.0,0,2,0,0,0,0,12,2,2,0,0
37,Latavius Murray,1,12,45.0,3.8,25.0,2.1,20,1.7,0,1,-2.0,0,2,0,0,0,0,12,0,0,0,0
38,Damien Williams,1,8,36.0,4.5,27.0,3.4,9,1.1,1,1,-1.0,0,0,0,0,0,0,9,1,1,0,0
39,Craig Reynolds,1,10,15.0,1.5,12.0,1.2,3,0.3,0,1,-3.0,0,0,0,0,0,0,8,2,2,0,0
