,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Derrick Henry,1,21,102,4.9,95.0,4.5,7,0.3,1,1,-1.0,22,1,1,0,0,0,22,1,2,0,0
2,Joe Mixon,1,19,68,3.6,42.0,2.2,26,1.4,0,1,-1.0,6,1,0,0,0,0,18,6,7,0,32
3,Alvin Kamara,1,14,51,3.6,24.0,1.7,27,1.9,1,1,-2.0,2,1,0,0,0,0,16,6,8,0,7
4,James Conner,1,25,105,4.2,89.0,3.6,16,0.6,6,3,-6.0,9,3,1,0,0,0,29,0,2,0,0
5,Chuba Hubbard,1,25,104,4.2,68.0,2.7,36,1.4,0,3,-8.0,1,1,0,0,0,0,17,0,0,0,0
6,De'Von Achane,1,17,73,4.3,46.0,2.7,27,1.6,4,1,-7.0,4,1,0,0,0,0,15,3,4,0,19
7,Christian McCaffrey,1,17,93,5.5,51.0,3.0,42,2.5,1,1,-1.0,2,3,0,0,0,0,16,3,4,0,0
8,Isiah Pacheco,1,18,110,6.1,46.0,2.6,64,3.6,0,1,-1.0,1,3,1,0,0,0,26,3,4,0,6
9,Kyren Williams,1,21,88,4.2,65.0,3.1,23,1.1,4,1,-2.0,1,2,0,0,0,0,18,3,5,1,0
10,Rachaad White,1,20,84,4.2,69.0,3.5,15,0.8,0,1,-5.0,1,2,1,1,0,0,30,3,5,0,6
11,Zach Charbonnet,1,19,60,3.2,26.0,1.4,34,1.8,1,1,-5.0,1,1,0,0,0,0,14,1,2,0,25
12,Tony Pollard,1,20,68,3.4,31.0,1.6,37,1.9,4,3,-8.0,6,2,0,0,0,0,16,3,4,3,7
13,Travis Etienne Jr.,1,11,45,4.1,37.0,3.4,8,0.7,0,0,0.0,4,2,0,0,0,0,13,4,4,1,3
