,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Kyren Williams,1,20,87.0,4.4,65.0,3.3,22,1.1,0,2,-2.0,28,2,1,0,0,0,28,2,2,0,3
2,James Conner,1,26,128.0,4.9,59.0,2.3,69,2.7,8,1,-1.0,2,5,1,0,0,0,22,1,1,1,0
3,Najee Harris,1,27,122.0,4.5,22.0,0.8,100,3.7,4,4,-5.0,9,2,1,0,0,0,23,0,0,0,0
4,Jerome Ford,1,12,64.0,5.3,27.0,2.3,37,3.1,3,1,-1.0,0,4,0,0,0,0,16,2,3,1,16
5,Travis Etienne Jr.,1,16,102.0,6.4,46.0,2.9,56,3.5,4,0,0.0,62,2,1,1,1,1,62,2,2,0,14
6,Isiah Pacheco,1,18,130.0,7.2,37.0,2.1,93,5.2,3,0,0.0,0,2,2,2,0,0,37,7,7,3,1
7,De'Von Achane,1,14,107.0,7.6,79.0,5.6,28,2.0,0,2,-4.0,0,4,1,1,1,0,45,4,5,1,17
8,Khalil Herbert,1,18,124.0,6.9,83.0,4.6,41,2.3,2,1,-1.0,1,3,2,2,0,0,38,2,3,1,3
9,Breece Hall,1,13,84.0,6.5,28.0,2.2,56,4.3,3,2,-4.0,0,3,1,0,0,0,25,9,9,0,12
10,Justice Hill,1,3,48.0,16.0,40.0,13.3,8,2.7,0,0,0.0,0,1,1,1,1,0,41,5,5,0,11
11,Jonathan Taylor,1,21,96.0,4.6,41.0,2.0,55,2.6,1,1,-1.0,5,4,0,0,0,0,15,1,1,0,4
12,Jaylen Warren,1,13,75.0,5.8,26.0,2.0,49,3.8,5,2,-6.0,18,3,1,0,0,0,23,4,4,2,4
13,Tyler Allgeier,1,5,13.0,2.6,2.0,0.4,11,2.2,2,0,0.0,0,0,0,0,0,0,5,1,1,0,0
14,Joe Mixon,1,21,65.0,3.1,34.0,1.6,31,1.5,1,3,-5.0,0,1,0,0,0,0,14,4,4,2,4
15,Elijah Mitchell,1,17,80.0,4.7,30.0,1.8,50,2.9,2,1,-1.0,2,2,0,0,0,0,15,0,0,0,0
16,Kenneth Walker III,1,10,53.0,5.3,22.0,2.2,31,3.1,2,1,-7.0,13,2,0,0,0,0,13,3,3,0,7
17,Aaron Jones,1,20,120.0,6.0,61.0,3.1,59,3.0,1,0,0.0,0,4,1,0,0,0,25,1,1,0,4
18,Michael Carter,1,7,61.0,8.7,54.0,7.7,7,1.0,0,1,-1.0,0,3,1,0,0,0,21,1,1,1,2
19,David Montgomery,1,14,65.0,4.6,30.0,2.1,35,2.5,1,1,-3.0,3,2,1,0,0,0,22,0,1,0,0
20,Roschon Johnson,1,7,21.0,3.0,7.0,1.0,14,2.0,0,0,0.0,2,0,0,0,0,0,7,3,3,0,14
21,Gus Edwards,1,16,68.0,4.3,26.0,1.6,42,2.6,0,1,-1.0,1,1,0,0,0,0,12,0,0,0,0
22,Zamir White,1,20,71.0,3.6,25.0,1.3,46,2.3,2,2,-4.0,0,0,0,0,0,0,9,5,6,0,20
23,Ezekiel Elliott,1,14,39.0,2.8,12.0,0.9,27,1.9,1,2,-3.0,6,0,0,0,0,0,9,1,2,0,2
24,Kareem Hunt,1,10,31.0,3.1,16.0,1.6,15,1.5,0,2,-3.0,7,0,0,0,0,0,8,0,1,0,0
25,Christian McCaffrey,1,14,64.0,4.6,40.0,2.9,24,1.7,0,2,-8.0,0,3,0,0,0,0,13,4,5,2,5
26,Bijan Robinson,1,15,75.0,5.0,47.0,3.1,28,1.9,1,2,-8.0,0,4,1,0,0,0,21,3,4,0,2
27,Devin Singletary,1,16,80.0,5.0,43.0,2.7,37,2.3,0,1,-3.0,0,1,1,0,0,0,24,3,3,0,3
28,Brian Robinson Jr.,1,9,44.0,4.9,24.0,2.7,20,2.2,0,0,0.0,0,1,0,0,0,0,12,4,4,0,16
29,Jamaal Williams,1,19,58.0,3.1,28.0,1.5,30,1.6,0,2,-3.0,0,1,0,0,0,0,17,4,4,1,9
30,Chuba Hubbard,1,11,45.0,4.1,12.0,1.1,33,3.0,3,0,0.0,0,0,0,0,0,0,7,4,5,0,11
31,Melvin Gordon III,1,6,10.0,1.7,-1.0,-0.2,11,1.8,1,2,-6.0,7,0,0,0,0,0,7,0,0,0,0
32,Kevin Harris,1,2,15.0,7.5,1.0,0.5,14,7.0,0,0,0.0,0,1,0,0,0,0,15,2,2,0,9
33,D'Andre Swift,1,13,61.0,4.7,37.0,2.8,24,1.8,0,1,-1.0,0,2,0,0,0,0,16,1,1,0,1
34,Ty Chandler,1,10,40.0,4.0,13.0,1.3,27,2.7,0,0,0.0,0,0,0,0,0,0,9,3,3,1,6
35,Patrick Ricard,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,0
36,Jaleel McLaughlin,1,8,44.0,5.5,33.0,4.1,11,1.4,0,0,0.0,0,2,0,0,0,0,11,3,3,0,4
37,Saquon Barkley,1,12,39.0,3.3,18.0,1.5,21,1.8,1,3,-5.0,0,3,0,0,0,0,13,3,6,0,0
38,Javonte Williams,1,15,41.0,2.7,17.0,1.1,24,1.6,0,3,-7.0,0,2,0,0,0,0,16,3,3,0,2
39,Chase Edmonds,1,3,16.0,5.3,0.0,0.0,0,0.0,0,1,-2.0,0,1,0,0,0,0,10,5,6,0,3
40,Alvin Kamara,1,10,45.0,4.5,17.0,1.7,28,2.8,1,1,-1.0,0,2,0,0,0,0,13,2,2,0,0
41,Tony Pollard,1,16,49.0,3.1,11.0,0.7,38,2.4,3,5,-9.0,0,2,0,0,0,0,18,1,3,0,0
42,Rachaad White,1,11,42.0,3.8,36.0,3.3,6,0.5,0,1,-1.0,0,1,0,0,0,0,16,4,4,0,12
43,James Cook,1,16,48.0,3.0,16.0,1.0,32,2.0,1,1,-4.0,0,0,0,0,0,0,8,1,3,1,0
44,Jahmyr Gibbs,1,15,43.0,2.9,9.0,0.6,34,2.3,1,5,-16.0,0,2,0,0,0,0,17,1,3,1,0
45,Derrick Henry,1,12,42.0,3.5,7.0,0.6,35,2.9,2,1,-2.0,0,1,0,0,0,0,16,0,1,0,0
46,Trey Sermon,1,5,32.0,6.4,5.0,1.0,27,5.4,1,1,-2.0,0,1,1,0,0,0,27,2,2,0,1
47,Zach Charbonnet,1,2,2.0,1.0,-2.0,-1.0,4,2.0,1,1,-2.0,0,0,0,0,0,0,4,5,5,0,6
48,Antonio Gibson,1,4,19.0,4.8,-1.0,-0.3,20,5.0,0,1,-1.0,0,1,0,0,0,0,16,2,4,1,17
49,Jeff Wilson Jr.,1,3,21.0,7.0,3.0,1.0,18,6.0,1,0,0.0,0,1,0,0,0,0,15,3,4,0,3
50,Tank Bigsby,1,10,32.0,3.2,9.0,0.9,23,2.3,2,2,-4.0,0,1,0,0,0,0,12,0,0,0,0
51,Patrick Taylor Jr.,1,8,30.0,3.8,13.0,1.6,17,2.1,0,0,0.0,0,1,0,0,0,0,10,0,0,0,0
52,Alexander Mattison,1,3,17.0,5.7,9.0,3.0,8,2.7,0,0,0.0,0,0,0,0,0,0,9,2,2,0,2
53,Austin Ekeler,1,13,46.0,3.5,29.0,2.2,17,1.3,0,0,0.0,0,0,0,0,0,0,6,1,2,1,4
54,Tyjae Spears,1,6,0.0,0.0,-6.0,-1.0,6,1.0,0,3,-7.0,0,0,0,0,0,0,5,4,6,1,17
55,Chase Brown,1,3,5.0,1.7,2.0,0.7,3,1.0,0,0,0.0,0,0,0,0,0,0,3,2,2,0,15
56,AJ Dillon,1,7,27.0,3.9,12.0,1.7,15,2.1,1,0,0.0,0,1,0,0,0,0,11,0,0,0,0
57,Kenneth Gainwell,1,2,5.0,2.5,3.0,1.5,2,1.0,0,0,0.0,0,0,0,0,0,0,3,4,4,0,0
58,Samaje Perine,1,4,10.0,2.5,8.0,2.0,2,0.5,0,0,0.0,0,0,0,0,0,0,5,2,2,0,0
59,Kyle Juszczyk,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,3,1,0
60,Ty Johnson,1,5,22.0,4.4,8.0,1.6,14,2.8,0,0,0.0,0,0,0,0,0,0,7,0,0,0,0
61,Ameer Abdullah,1,1,4.0,4.0,2.0,2.0,2,2.0,0,0,0.0,0,0,0,0,0,0,4,1,1,0,4
62,Miles Sanders,1,2,10.0,5.0,6.0,3.0,4,2.0,0,0,0.0,0,0,0,0,0,0,7,2,2,0,2
63,Dameon Pierce,1,8,16.0,2.0,6.0,0.8,10,1.3,0,2,-2.0,0,0,0,0,0,0,5,1,1,0,0
64,Alec Ingold,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,0,0
65,Adam Prentice,1,1,7.0,7.0,5.0,5.0,2,2.0,0,0,0.0,0,0,0,0,0,0,7,1,1,0,0
66,Chris Brooks,1,4,12.0,3.0,4.0,1.0,8,2.0,0,0,0.0,0,0,0,0,0,0,7,0,0,0,0
67,Deuce Vaughn,1,2,2.0,1.0,0.0,0.0,2,1.0,0,1,-1.0,0,0,0,0,0,0,3,1,1,0,3
