,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Saquon Barkley,1,14,83.0,5.9,38.0,2.7,45,3.2,1,4,-9.0,0,2,2,2,0,0,36,4,5,1,5
2,Jaylen Warren,1,9,129.0,14.3,93.0,10.3,36,4.0,4,2,-5.0,74,4,2,1,1,1,74,3,3,0,4
3,Gus Edwards,1,12,62.0,5.2,58.0,4.8,4,0.3,0,0,0.0,3,1,1,0,0,0,26,2,2,0,0
4,Devin Singletary,1,22,112.0,5.1,87.0,4.0,25,1.1,0,2,-4.0,11,4,1,0,0,0,21,2,2,0,1
5,D'Andre Swift,1,12,76.0,6.3,22.0,1.8,54,4.5,3,3,-6.0,4,3,1,1,0,0,35,3,3,0,25
6,Christian McCaffrey,1,21,78.0,3.7,56.0,2.7,22,1.0,1,4,-8.0,0,2,0,0,0,0,12,5,5,2,4
7,James Cook,1,17,73.0,4.3,47.0,2.8,26,1.5,0,1,-3.0,0,2,0,0,0,0,12,3,4,1,13
8,Joe Mixon,1,16,69.0,4.3,59.0,3.7,10,0.6,0,0,0.0,0,2,0,0,0,0,14,5,5,2,7
9,David Montgomery,1,12,76.0,6.3,32.0,2.7,44,3.7,2,0,0.0,1,3,1,0,0,0,20,2,2,0,8
10,Jahmyr Gibbs,1,8,36.0,4.5,27.0,3.4,9,1.1,0,0,0.0,2,1,0,0,0,0,14,6,6,0,23
11,Tony Pollard,1,12,61.0,5.1,46.0,3.8,15,1.3,2,2,-16.0,21,2,2,0,0,0,22,4,5,1,0
12,Breece Hall,1,10,23.0,2.3,14.0,1.4,9,0.9,0,1,-3.0,0,1,0,0,0,0,14,5,6,1,21
13,Brian Robinson Jr.,1,17,73.0,4.3,32.0,1.9,41,2.4,2,1,-2.0,0,3,0,0,0,0,18,7,9,1,24
14,Ty Johnson,1,3,11.0,3.7,1.0,0.3,10,3.3,0,1,-6.0,0,1,0,0,0,0,13,3,3,0,9
15,Rachaad White,1,9,30.0,3.3,24.0,2.7,6,0.7,0,0,0.0,1,0,0,0,0,0,7,6,7,1,5
16,Ty Chandler,1,10,73.0,7.3,55.0,5.5,18,1.8,0,0,0.0,0,1,1,1,0,0,31,4,4,1,8
17,Jerome Ford,1,12,31.0,2.6,20.0,1.7,11,0.9,2,1,-4.0,1,1,0,0,0,0,13,2,5,0,0
18,Raheem Mostert,1,22,86.0,3.9,41.0,1.9,45,2.0,2,1,-2.0,0,2,0,0,0,0,10,1,2,0,0
19,Salvon Ahmed,1,3,6.0,2.0,3.0,1.0,3,1.0,0,0,0.0,0,0,0,0,0,0,3,3,3,2,5
20,Isiah Pacheco,1,19,89.0,4.7,70.0,3.7,19,1.0,0,1,-2.0,0,3,1,0,0,0,24,1,1,0,2
21,Darrell Henderson Jr.,1,6,1.0,0.2,0.0,0.0,0,0.0,0,2,-6.0,1,0,0,0,0,0,4,4,7,2,16
22,D'Onta Foreman,1,6,14.0,2.3,5.0,0.8,9,1.5,1,2,-8.0,1,1,0,0,0,0,13,0,0,0,0
23,Royce Freeman,1,17,73.0,4.3,58.0,3.4,15,0.9,2,0,0.0,0,1,0,0,0,0,15,0,0,0,0
24,Zach Charbonnet,1,15,47.0,3.1,39.0,2.6,8,0.5,0,1,-6.0,0,1,0,0,0,0,11,6,6,0,6
25,Samaje Perine,1,1,7.0,7.0,4.0,4.0,3,3.0,0,0,0.0,0,0,0,0,0,0,7,7,7,0,17
26,Chuba Hubbard,1,10,57.0,5.7,0.0,0.0,0,0.0,0,1,-2.0,0,2,0,0,0,0,14,2,2,0,0
27,James Conner,1,14,62.0,4.4,40.0,2.9,22,1.6,0,3,-5.0,0,3,0,0,0,0,14,2,3,0,2
28,AJ Dillon,1,14,29.0,2.1,11.0,0.8,18,1.3,0,2,-9.0,0,0,0,0,0,0,6,4,4,1,15
