RANK,PLAYER,GAMES,RECEIVING_REC,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_YBC,RECEIVING_YBC/R,RECEIVING_AIR,RECEIVING_AIR/R,RECEIVING_YAC,RECEIVING_YACON,RECEIVING_YACON/R,RECEIVING_BRKTKL,TARGETS_TGT,TARGETS_%_TM,TARGETS_CATCHABLE,TARGETS_DROP,TARGETS_RZ_TGT,BIG_PLAYS_10+_YDS,BIG_PLAYS_20+_YDS,BIG_PLAYS_30+_YDS,BIG_PLAYS_40+_YDS,BIG_PLAYS_50+_YDS,BIG_PLAYS_LNG,RECEIVING_TD,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_FPTS
1,DeAndre Hopkins,1,4,128.0,32.0,95.0,23.8,134.0,33.5,33.0,8.3,1,0.3,0,6,0.231,4,0,1,3,2,2,2,2,3.0,0.0,0.0,0.0,0.0,30.8
2,CeeDee Lamb,1,12,158.0,13.2,94.0,7.8,144.0,12.0,64.0,5.3,29,2.4,3,14,0.41200000000000003,12,0,2,7,4,0,0,0,2.0,1.0,12.0,0.0,0.0,29.0
3,A.J. Brown,1,8,130.0,16.3,104.0,13.0,104.0,13.0,26.0,3.3,15,1.9,2,8,0.22899999999999998,8,0,1,7,3,0,0,0,2.0,0.0,0.0,0.0,0.0,25.0
4,Rashid Shaheed,1,3,153.0,51.0,125.0,41.7,125.0,41.7,28.0,9.3,0,0.0,0,3,0.10300000000000001,3,0,0,3,3,3,3,3,1.0,0.0,0.0,0.0,0.0,21.3
5,Jaylen Waddle,1,7,121.0,17.3,79.0,11.3,132.0,18.9,42.0,6.0,0,0.0,0,12,0.273,9,2,1,6,2,1,0,0,1.0,0.0,0.0,0.0,0.0,18.1
6,Tyreek Hill,1,8,112.0,14.0,81.0,10.1,112.0,14.0,31.0,3.9,2,0.3,0,13,0.295,9,1,4,4,2,1,1,1,1.0,0.0,0.0,0.0,0.0,17.2
7,Jahan Dotson,1,8,108.0,13.5,83.0,10.4,99.0,12.4,25.0,3.1,5,0.6,0,10,0.196,8,1,0,5,2,0,0,0,1.0,0.0,0.0,0.0,0.0,16.8
8,DeVonta Smith,1,7,99.0,14.1,61.0,8.7,61.0,8.7,38.0,5.4,11,1.6,1,7,0.2,7,0,0,4,1,1,0,0,1.0,0.0,0.0,0.0,0.0,15.9
9,Jamison Crowder,1,7,95.0,13.6,55.0,7.9,55.0,7.9,40.0,5.7,13,1.9,2,7,0.13699999999999998,7,0,0,4,1,0,0,0,1.0,0.0,0.0,0.0,0.0,15.5
10,Ja'Marr Chase,1,10,100.0,10.0,61.0,6.1,72.0,7.2,39.0,3.9,9,0.9,0,12,0.375,11,1,2,3,1,0,0,0,1.0,2.0,-8.0,0.0,0.0,15.2
11,Gabe Davis,1,9,87.0,9.7,44.0,4.9,80.0,8.9,43.0,4.8,10,1.1,0,12,0.308,9,0,2,4,0,0,0,0,1.0,0.0,0.0,0.0,0.0,14.7
12,Jordan Addison,1,7,82.0,11.7,52.0,7.4,64.0,9.1,30.0,4.3,0,0.0,1,8,0.235,7,0,2,5,2,0,0,0,1.0,1.0,2.0,0.0,0.0,14.4
13,Tyler Lockett,1,8,81.0,10.1,63.0,7.9,90.0,11.3,18.0,2.3,0,0.0,0,9,0.25,8,0,2,5,0,0,0,0,1.0,0.0,0.0,0.0,0.0,14.1
14,Chris Godwin,1,5,54.0,10.8,27.0,5.4,42.0,8.4,27.0,5.4,2,0.4,0,7,0.179,5,0,1,1,1,1,0,0,1.0,1.0,14.0,0.0,0.0,12.8
15,Terry McLaurin,1,5,63.0,12.6,55.0,11.0,126.0,25.2,8.0,1.6,1,0.2,0,12,0.235,8,3,1,2,1,0,0,0,1.0,0.0,0.0,0.0,0.0,12.3
16,Brandin Cooks,1,3,49.0,16.3,44.0,14.7,60.0,20.0,5.0,1.7,2,0.7,0,4,0.11800000000000001,3,0,0,2,1,0,0,0,1.0,1.0,3.0,0.0,0.0,11.2
17,Jerry Jeudy,1,2,50.0,25.0,48.0,24.0,126.0,63.0,2.0,1.0,0,0.0,0,6,0.33299999999999996,2,0,1,2,1,1,0,0,1.0,0.0,0.0,0.0,0.0,11.0
18,Brandon Aiyuk,1,5,109.0,21.8,87.0,17.4,139.0,27.8,22.0,4.4,0,0.0,0,9,0.3,6,1,0,5,3,1,0,0,0.0,0.0,0.0,0.0,0.0,10.9
19,Amon-Ra St. Brown,1,6,108.0,18.0,55.0,9.2,67.0,11.2,53.0,8.8,4,0.7,0,9,0.265,6,0,0,4,2,1,1,1,0.0,0.0,0.0,0.0,0.0,10.8
20,Garrett Wilson,1,7,100.0,14.3,81.0,11.6,164.0,23.4,19.0,2.7,11,1.6,1,13,0.382,7,0,0,5,1,0,0,0,0.0,1.0,6.0,0.0,0.0,10.6
21,Tyler Boyd,1,3,40.0,13.3,32.0,10.7,32.0,10.7,8.0,2.7,4,1.3,0,3,0.094,3,0,1,2,1,0,0,0,1.0,1.0,6.0,0.0,0.0,10.6
22,Michael Pittman Jr.,1,8,40.0,5.0,20.0,2.5,76.0,9.5,20.0,2.5,1,0.1,0,13,0.342,8,0,4,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,10.0
23,K.J. Osborn,1,8,99.0,12.4,49.0,6.1,56.0,7.0,50.0,6.3,4,0.5,1,10,0.294,9,1,1,4,2,1,0,0,0.0,0.0,0.0,0.0,0.0,9.9
24,Mike Evans,1,3,39.0,13.0,39.0,13.0,98.0,32.7,0.0,0.0,0,0.0,0,6,0.154,3,0,0,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,9.9
25,Kendrick Bourne,1,3,36.0,12.0,23.0,7.7,35.0,11.7,13.0,4.3,0,0.0,0,4,0.14300000000000002,3,0,0,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,9.6
26,Jaxon Smith-Njigba,1,3,36.0,12.0,-2.0,-0.7,0.0,0.0,38.0,12.7,0,0.0,0,4,0.111,3,0,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,9.6
27,Marquise Brown,1,6,33.0,5.5,14.0,2.3,29.0,4.8,19.0,3.2,9,1.5,0,9,0.25,6,0,2,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,9.3
28,Nick Westbrook-Ikhine,1,1,33.0,33.0,33.0,33.0,73.0,73.0,0.0,0.0,0,0.0,0,2,0.077,1,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,9.3
29,Khalil Shakir,1,6,92.0,15.3,53.0,8.8,53.0,8.8,39.0,6.5,22,3.7,0,6,0.154,6,0,0,4,2,1,0,0,0.0,0.0,0.0,0.0,0.0,9.2
30,Amari Cooper,1,6,89.0,14.8,76.0,12.7,125.0,20.8,13.0,2.2,0,0.0,0,11,0.36700000000000005,7,1,2,4,3,0,0,0,0.0,0.0,0.0,0.0,0.0,8.9
31,Courtland Sutton,1,2,29.0,14.5,29.0,14.5,33.0,16.5,0.0,0.0,0,0.0,0,3,0.16699999999999998,2,0,1,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,8.9
32,Jake Bobo,1,2,23.0,11.5,7.0,3.5,7.0,3.5,16.0,8.0,0,0.0,0,2,0.055999999999999994,2,0,0,1,0,0,0,0,0.0,1.0,3.0,1.0,0.0,8.6
33,Diontae Johnson,1,8,85.0,10.6,76.0,9.5,188.0,23.5,9.0,1.1,2,0.3,0,14,0.35,9,1,2,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.5
34,Calvin Ridley,1,6,83.0,13.8,71.0,11.8,134.0,22.3,12.0,2.0,2,0.3,0,10,0.313,7,1,1,3,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8.3
35,Jayden Reed,1,4,83.0,20.8,60.0,15.0,97.0,24.3,23.0,5.8,2,0.5,1,6,0.15,4,0,0,3,2,2,0,0,0.0,0.0,0.0,0.0,0.0,8.3
36,George Pickens,1,1,22.0,22.0,7.0,7.0,81.0,81.0,15.0,15.0,7,7.0,1,5,0.125,1,0,0,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,8.2
37,Ben Skowronek,1,1,20.0,20.0,15.0,15.0,15.0,15.0,5.0,5.0,2,2.0,0,1,0.031,1,0,0,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,8.0
38,Romeo Doubs,1,4,18.0,4.5,6.0,1.5,100.0,25.0,12.0,3.0,0,0.0,0,9,0.225,4,0,2,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,7.8
39,KhaDarel Hodge,1,3,75.0,25.0,42.0,14.0,42.0,14.0,33.0,11.0,29,9.7,0,3,0.091,3,0,0,2,1,1,1,1,0.0,0.0,0.0,0.0,0.0,7.5
40,Scotty Miller,1,2,14.0,7.0,12.0,6.0,12.0,6.0,2.0,1.0,0,0.0,0,2,0.061,2,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,7.4
41,Adam Thielen,1,8,72.0,9.0,33.0,4.1,47.0,5.9,39.0,4.9,10,1.3,1,11,0.355,10,2,2,3,1,1,0,0,0.0,0.0,0.0,0.0,0.0,7.2
42,Josh Downs,1,7,72.0,10.3,46.0,6.6,68.0,9.7,26.0,3.7,0,0.0,0,9,0.237,7,0,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.2
43,Stefon Diggs,1,9,70.0,7.8,43.0,4.8,74.0,8.2,27.0,3.0,8,0.9,0,12,0.308,9,0,1,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.0
44,Keenan Allen,1,8,69.0,8.6,62.0,7.8,118.0,14.8,7.0,0.9,2,0.3,0,10,0.263,8,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,6.9
45,Tee Higgins,1,5,69.0,13.8,51.0,10.2,65.0,13.0,18.0,3.6,0,0.0,0,6,0.188,5,0,0,2,1,1,0,0,0.0,0.0,0.0,0.0,0.0,6.9
46,Simi Fehoko,1,1,9.0,9.0,2.0,2.0,18.0,18.0,7.0,7.0,0,0.0,0,2,0.053,2,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,6.9
47,Julio Jones,1,1,8.0,8.0,8.0,8.0,19.0,19.0,0.0,0.0,0,0.0,0,2,0.057,1,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,6.8
48,Michael Thomas,1,4,68.0,17.0,41.0,10.3,57.0,14.3,27.0,6.8,6,1.5,1,7,0.24100000000000002,6,2,0,3,1,1,0,0,0.0,0.0,0.0,0.0,0.0,6.8
49,DK Metcalf,1,5,67.0,13.4,53.0,10.6,152.0,30.4,14.0,2.8,6,1.2,0,14,0.389,5,0,5,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,6.7
50,JuJu Smith-Schuster,1,1,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0,0.0,0,1,0.036000000000000004,1,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,6.3
51,Jonathan Mingo,1,4,62.0,15.5,34.0,8.5,44.0,11.0,28.0,7.0,9,2.3,0,5,0.161,5,1,0,2,1,1,1,1,0.0,0.0,0.0,0.0,0.0,6.2
52,Andrei Iosivas,1,1,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0,0.0,0,1,0.031,1,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,6.2
53,Cedrick Wilson Jr.,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0,1,0.023,1,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,6.1
54,Michael Wilson,1,4,58.0,14.5,44.0,11.0,72.0,18.0,14.0,3.5,6,1.5,0,6,0.16699999999999998,4,0,1,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,5.8
55,Noah Brown,1,3,57.0,19.0,39.0,13.0,50.0,16.7,18.0,6.0,6,2.0,0,5,0.20800000000000002,3,0,0,2,2,1,0,0,0.0,0.0,0.0,0.0,0.0,5.7
56,Rashee Rice,1,4,56.0,14.0,2.0,0.5,17.0,4.3,54.0,13.5,0,0.0,0,5,0.135,5,1,1,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,5.6
57,Drake London,1,5,55.0,11.0,44.0,8.8,66.0,13.2,11.0,2.2,1,0.2,0,7,0.212,5,0,0,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,5.5
58,DJ Moore,1,4,55.0,13.8,19.0,4.8,42.0,10.5,36.0,9.0,15,3.8,1,6,0.162,4,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.5
59,Rashod Bateman,1,2,34.0,17.0,34.0,17.0,34.0,17.0,0.0,0.0,0,0.0,0,2,0.077,2,0,0,1,1,0,0,0,0.0,1.0,18.0,0.0,0.0,5.2
60,Quentin Johnston,1,5,50.0,10.0,30.0,6.0,47.0,9.4,20.0,4.0,10,2.0,2,6,0.158,5,0,2,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0
61,Tutu Atwell,1,2,21.0,10.5,19.0,9.5,32.0,16.0,2.0,1.0,0,0.0,0,4,0.125,2,0,0,1,1,0,0,0,0.0,2.0,8.0,0.0,0.0,4.9
62,Christian Kirk,1,4,46.0,11.5,43.0,10.8,50.0,12.5,3.0,0.8,0,0.0,0,5,0.156,5,1,0,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,4.6
63,Chris Olave,1,5,46.0,9.2,35.0,7.0,170.0,34.0,11.0,2.2,0,0.0,0,9,0.31,6,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.6
64,Allen Lazard,1,3,45.0,15.0,37.0,12.3,67.0,22.3,8.0,2.7,3,1.0,0,6,0.17600000000000002,4,1,0,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,4.5
65,Darnell Mooney,1,1,41.0,41.0,41.0,41.0,71.0,71.0,0.0,0.0,2,2.0,0,4,0.10800000000000001,1,0,1,1,1,1,1,1,0.0,1.0,3.0,0.0,0.0,4.4
66,Ray-Ray McCloud III,1,2,43.0,21.5,-5.0,-2.5,-5.0,-2.5,48.0,24.0,0,0.0,0,2,0.067,2,0,0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,4.3
67,Puka Nacua,1,3,43.0,14.3,12.0,4.0,43.0,14.3,31.0,10.3,13,4.3,1,7,0.21899999999999997,3,0,2,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,4.3
68,Justin Watson,1,2,42.0,21.0,38.0,19.0,70.0,35.0,4.0,2.0,0,0.0,0,3,0.081,2,0,0,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,4.2
69,Alec Pierce,1,3,41.0,13.7,23.0,7.7,32.0,10.7,18.0,6.0,10,3.3,1,5,0.132,4,1,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.1
70,Christian Watson,1,3,33.0,11.0,24.0,8.0,119.0,39.7,9.0,3.0,0,0.0,0,8,0.2,3,0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.3
71,Tank Dell,1,3,16.0,5.3,5.0,1.7,21.0,7.0,11.0,3.7,1,0.3,0,4,0.16699999999999998,3,0,0,0,0,0,0,0,0.0,3.0,15.0,0.0,0.0,3.1
72,Elijah Moore,1,2,30.0,15.0,19.0,9.5,74.0,37.0,11.0,5.5,1,0.5,0,5,0.16699999999999998,2,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
73,Nico Collins,1,4,30.0,7.5,17.0,4.3,97.0,24.3,13.0,3.3,8,2.0,2,6,0.25,4,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
74,Calvin Austin III,1,2,19.0,9.5,9.0,4.5,9.0,4.5,10.0,5.0,3,1.5,0,2,0.05,2,0,0,1,0,0,0,0,0.0,2.0,10.0,0.0,0.0,2.9
75,DeMario Douglas,1,5,25.0,5.0,2.0,0.4,42.0,8.4,23.0,4.6,5,1.0,0,7,0.25,5,0,2,2,0,0,0,0,0.0,1.0,4.0,0.0,0.0,2.9
76,Dontayvion Wicks,1,2,28.0,14.0,23.0,11.5,46.0,23.0,5.0,2.5,0,0.0,0,4,0.1,3,1,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.8
77,Mack Hollins,1,2,27.0,13.5,16.0,8.0,40.0,20.0,11.0,5.5,4,2.0,0,3,0.091,2,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2.7
78,Van Jefferson,1,3,24.0,8.0,20.0,6.7,65.0,21.7,4.0,1.3,2,0.7,0,5,0.152,4,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.4
79,Joshua Palmer,1,3,24.0,8.0,19.0,6.3,14.0,4.7,5.0,1.7,1,0.3,0,4,0.105,3,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.4
80,Kyle Philips,1,3,24.0,8.0,7.0,2.3,7.0,2.3,17.0,5.7,5,1.7,0,3,0.115,3,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.4
81,Trenton Irwin,1,2,24.0,12.0,6.0,3.0,6.0,3.0,18.0,9.0,0,0.0,0,2,0.063,2,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2.4
82,DJ Chark Jr.,1,2,23.0,11.5,19.0,9.5,71.0,35.5,4.0,2.0,3,1.5,0,4,0.129,3,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2.3
