RANK,PLAYER,GAMES,RECEIVING_REC,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_YBC,RECEIVING_YBC/R,RECEIVING_AIR,RECEIVING_AIR/R,RECEIVING_YAC,RECEIVING_YACON,RECEIVING_YACON/R,RECEIVING_BRKTKL,TARGETS_TGT,TARGETS_%_TM,TARGETS_CATCHABLE,TARGETS_DROP,TARGETS_RZ_TGT,BIG_PLAYS_10+_YDS,BIG_PLAYS_20+_YDS,BIG_PLAYS_30+_YDS,BIG_PLAYS_40+_YDS,BIG_PLAYS_50+_YDS,BIG_PLAYS_LNG,RECEIVING_TD,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_FPTS
1,Jordan Addison,1,6,111.0,18.5,53.0,8.8,53.0,8.8,58.0,9.7,10,1.7,0,6,0.188,6,0,1,4,2,2,0,0,2.0,0.0,0.0,0.0,0.0,23.1
2,Jaylen Waddle,1,8,142.0,17.8,70.0,8.8,79.0,9.9,72.0,9.0,20,2.5,0,9,0.34600000000000003,8,0,0,5,2,1,1,1,1.0,0.0,0.0,0.0,0.0,20.2
3,Terry McLaurin,1,6,141.0,23.5,119.0,19.8,238.0,39.7,22.0,3.7,2,0.3,0,12,0.353,6,0,0,5,3,1,1,1,1.0,0.0,0.0,0.0,0.0,20.1
4,Tee Higgins,1,4,61.0,15.3,58.0,14.5,165.0,41.3,3.0,0.8,1,0.3,0,8,0.2,5,1,1,4,1,0,0,0,2.0,0.0,0.0,0.0,0.0,18.1
5,Deebo Samuel Sr.,1,4,48.0,12.0,41.0,10.3,77.0,19.3,7.0,1.8,4,1.0,0,7,0.26899999999999996,4,0,2,3,0,0,0,0,2.0,1.0,11.0,0.0,0.0,17.9
6,Tre Tucker,1,3,59.0,19.7,58.0,19.3,102.0,34.0,1.0,0.3,1,0.3,0,4,0.11800000000000001,3,0,0,2,2,1,0,0,2.0,1.0,-2.0,0.0,0.0,17.7
7,Joshua Palmer,1,4,113.0,28.3,58.0,14.5,58.0,14.5,55.0,13.8,3,0.8,0,4,0.129,4,0,0,2,2,1,1,1,1.0,0.0,0.0,0.0,0.0,17.3
8,Amon-Ra St. Brown,1,7,112.0,16.0,50.0,7.1,72.0,10.3,62.0,8.9,30,4.3,1,9,0.281,7,0,4,5,3,0,0,0,1.0,0.0,0.0,0.0,0.0,17.2
9,Cooper Kupp,1,8,111.0,13.9,55.0,6.9,55.0,6.9,56.0,7.0,4,0.5,0,8,0.25,8,0,2,2,1,1,1,1,1.0,0.0,0.0,0.0,0.0,17.1
10,Amari Cooper,1,4,109.0,27.3,77.0,19.3,129.0,32.3,32.0,8.0,28,7.0,2,8,0.182,5,1,1,3,2,2,2,2,1.0,0.0,0.0,0.0,0.0,16.9
11,Curtis Samuel,1,5,41.0,8.2,31.0,6.2,48.0,9.6,10.0,2.0,0,0.0,0,9,0.265,5,0,5,1,0,0,0,0,2.0,0.0,0.0,0.0,0.0,16.1
12,Davante Adams,1,8,101.0,12.6,60.0,7.5,90.0,11.3,41.0,5.1,19,2.4,0,12,0.353,8,0,1,3,2,0,0,0,1.0,0.0,0.0,0.0,0.0,16.1
13,Chris Godwin,1,10,155.0,15.5,83.0,8.3,104.0,10.4,72.0,7.2,11,1.1,0,12,0.444,10,0,0,8,4,0,0,0,0.0,0.0,0.0,0.0,0.0,15.5
14,Rashee Rice,1,9,91.0,10.1,32.0,3.6,32.0,3.6,59.0,6.6,17,1.9,1,9,0.257,9,0,3,4,2,0,0,0,1.0,0.0,0.0,0.0,0.0,15.1
15,Noah Brown,1,8,82.0,10.3,63.0,7.9,120.0,15.0,19.0,2.4,12,1.5,0,11,0.324,8,0,3,3,2,0,0,0,1.0,0.0,0.0,0.0,0.0,14.2
16,Jakobi Meyers,1,2,32.0,16.0,19.0,9.5,34.0,17.0,13.0,6.5,1,0.5,0,4,0.11800000000000001,2,0,2,2,1,0,0,0,1.0,0.0,0.0,0.0,0.0,13.7
17,Jamal Agnew,1,2,70.0,35.0,32.0,16.0,32.0,16.0,38.0,19.0,0,0.0,0,2,0.048,2,0,0,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,13.0
18,David Moore,1,2,68.0,34.0,20.0,10.0,20.0,10.0,48.0,24.0,48,24.0,0,2,0.07400000000000001,2,0,0,2,1,1,1,1,1.0,0.0,0.0,0.0,0.0,12.8
19,Demarcus Robinson,1,2,44.0,22.0,42.0,21.0,51.0,25.5,2.0,1.0,0,0.0,0,3,0.094,2,0,1,2,2,0,0,0,1.0,1.0,23.0,0.0,0.0,12.7
20,Diontae Johnson,1,4,62.0,15.5,59.0,14.8,83.0,20.8,3.0,0.8,3,0.8,0,6,0.231,4,0,1,3,1,0,0,0,1.0,0.0,0.0,0.0,0.0,12.2
21,Mike Evans,1,4,57.0,14.3,50.0,12.5,57.0,14.3,7.0,1.8,3,0.8,0,6,0.222,4,0,2,3,0,0,0,0,1.0,0.0,0.0,0.0,0.0,11.7
22,CeeDee Lamb,1,7,53.0,7.6,42.0,6.0,91.0,13.0,11.0,1.6,7,1.0,0,10,0.313,7,0,0,2,0,0,0,0,0.0,1.0,3.0,1.0,0.0,11.6
23,Jayden Reed,1,6,52.0,8.7,32.0,5.3,58.0,9.7,20.0,3.3,4,0.7,1,8,0.222,6,0,2,2,1,0,0,0,1.0,0.0,0.0,0.0,0.0,11.2
24,Jaxon Smith-Njigba,1,4,48.0,12.0,42.0,10.5,42.0,10.5,6.0,1.5,1,0.3,0,4,0.125,4,0,1,2,1,0,0,0,1.0,0.0,0.0,0.0,0.0,10.8
25,D.J. Montgomery,1,2,48.0,24.0,20.0,10.0,27.0,13.5,28.0,14.0,5,2.5,0,4,0.14800000000000002,3,1,2,2,1,1,0,0,1.0,0.0,0.0,0.0,0.0,10.8
26,Dontayvion Wicks,1,6,97.0,16.2,54.0,9.0,58.0,9.7,43.0,7.2,27,4.5,1,7,0.19399999999999998,6,0,0,5,3,0,0,0,0.0,0.0,0.0,0.0,0.0,9.7
27,Justin Jefferson,1,7,84.0,12.0,75.0,10.7,128.0,18.3,9.0,1.3,0,0.0,0,10,0.313,7,0,1,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.4
