RANK,PLAYER,GAMES,RECEIVING_REC,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_YBC,RECEIVING_YBC/R,RECEIVING_AIR,RECEIVING_AIR/R,RECEIVING_YAC,RECEIVING_YACON,RECEIVING_YACON/R,RECEIVING_BRKTKL,TARGETS_TGT,TARGETS_%_TM,TARGETS_CATCHABLE,TARGETS_DROP,TARGETS_RZ_TGT,BIG_PLAYS_10+_YDS,BIG_PLAYS_20+_YDS,BIG_PLAYS_30+_YDS,BIG_PLAYS_40+_YDS,BIG_PLAYS_50+_YDS,BIG_PLAYS_LNG,RECEIVING_TD,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_FPTS
1,Calvin Ridley,1,7,103.0,14.7,88.0,12.6,110.0,15.7,15.0,2.1,0,0.0,0,9,0.29,7,0,2,4,3,1,0,0,2.0,1.0,18.0,0.0,0.0,24.1
2,Brandon Aiyuk,1,5,156.0,31.2,78.0,15.6,91.0,18.2,78.0,15.6,22,4.4,0,6,0.24,5,0,0,5,2,2,1,1,1.0,0.0,0.0,0.0,0.0,21.6
3,Tank Dell,1,8,149.0,18.6,132.0,16.5,159.0,19.9,17.0,2.1,6,0.8,0,10,0.263,8,0,0,7,3,1,1,1,1.0,0.0,0.0,0.0,0.0,20.9
4,Tyreek Hill,1,10,146.0,14.6,103.0,10.3,121.0,12.1,43.0,4.3,4,0.4,3,11,0.306,10,0,2,6,4,2,0,0,1.0,0.0,0.0,0.0,0.0,20.6
5,Keenan Allen,1,10,116.0,11.6,79.0,7.9,155.0,15.5,37.0,3.7,9,0.9,1,16,0.444,11,1,4,4,1,1,0,0,1.0,0.0,0.0,0.0,0.0,17.6
6,Khalil Shakir,1,3,115.0,38.3,45.0,15.0,58.0,19.3,70.0,23.3,22,7.3,0,4,0.138,3,0,0,2,2,1,1,1,1.0,0.0,0.0,0.0,0.0,17.5
7,DJ Moore,1,7,96.0,13.7,75.0,10.7,137.0,19.6,21.0,3.0,10,1.4,1,9,0.409,7,0,0,4,1,1,0,0,1.0,0.0,0.0,0.0,0.0,15.6
8,DK Metcalf,1,5,94.0,18.8,70.0,14.0,130.0,26.0,24.0,4.8,9,1.8,0,9,0.237,5,0,1,2,2,1,1,1,1.0,0.0,0.0,0.0,0.0,15.4
9,Jayden Reed,1,4,46.0,11.5,21.0,5.3,30.0,7.5,25.0,6.3,7,1.8,0,6,0.158,4,0,0,2,0,0,0,0,0.0,3.0,46.0,1.0,0.0,15.2
10,Davante Adams,1,7,82.0,11.7,72.0,10.3,195.0,27.9,10.0,1.4,1,0.1,0,13,0.342,8,1,1,2,2,1,1,1,1.0,0.0,0.0,0.0,0.0,14.2
11,Darius Slayton,1,4,82.0,20.5,43.0,10.8,60.0,15.0,39.0,9.8,6,1.5,0,5,0.192,4,0,0,3,2,1,1,1,1.0,0.0,0.0,0.0,0.0,14.2
12,Puka Nacua,1,5,70.0,14.0,57.0,11.4,68.0,13.6,13.0,2.6,4,0.8,0,7,0.24100000000000002,5,0,3,4,1,1,0,0,1.0,1.0,7.0,0.0,0.0,13.7
13,Amon-Ra St. Brown,1,8,77.0,9.6,47.0,5.9,58.0,7.3,30.0,3.8,14,1.8,1,11,0.344,8,0,4,3,0,0,0,0,1.0,0.0,0.0,0.0,0.0,13.7
14,Courtland Sutton,1,4,66.0,16.5,64.0,16.0,73.0,18.3,2.0,0.5,0,0.0,0,5,0.156,4,0,1,3,1,1,0,0,1.0,0.0,0.0,0.0,0.0,12.6
15,DeAndre Hopkins,1,4,59.0,14.8,49.0,12.3,63.0,15.8,10.0,2.5,2,0.5,0,5,0.294,4,0,0,2,1,1,1,1,1.0,0.0,0.0,0.0,0.0,11.9
16,Odell Beckham Jr.,1,4,116.0,29.0,67.0,16.8,159.0,39.8,49.0,12.3,11,2.8,0,7,0.304,4,0,1,4,3,1,1,1,0.0,0.0,0.0,0.0,0.0,11.6
17,Rondale Moore,1,1,48.0,48.0,47.0,47.0,47.0,47.0,1.0,1.0,0,0.0,0,1,0.034,1,0,0,1,1,1,1,1,1.0,2.0,6.0,0.0,0.0,11.4
18,Romeo Doubs,1,5,53.0,10.6,40.0,8.0,89.0,17.8,13.0,2.6,3,0.6,0,6,0.158,5,0,1,2,1,0,0,0,1.0,0.0,0.0,0.0,0.0,11.3
