,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Dalvin Cook,1,27,205.0,7.6,141,5.2,64,2.4,3,3,-6.0,29,6,3,1,0,0,30,1,3,0,1
2,Rashaad Penny,1,16,137.0,8.6,58,3.6,79,4.9,2,2,-4.0,47,3,2,2,1,0,47,1,1,0,0
3,James Conner,1,13,31.0,2.4,10,0.8,21,1.6,2,0,0.0,8,1,0,0,0,0,13,9,9,1,29
4,Melvin Gordon III,1,24,111.0,4.6,35,1.5,76,3.2,5,3,-3.0,14,5,0,0,0,0,16,0,0,0,0
5,Najee Harris,1,20,94.0,4.7,37,1.9,57,2.9,3,3,-5.0,1,3,1,0,0,0,23,3,3,1,3
6,Alvin Kamara,1,27,120.0,4.4,96,3.6,24,0.9,3,5,-6.0,16,3,0,0,0,0,16,4,5,3,0
7,Javonte Williams,1,15,73.0,4.9,27,1.8,46,3.1,4,0,0.0,5,0,0,0,0,0,9,1,2,1,3
8,Leonard Fournette,1,19,113.0,5.9,38,2.0,75,3.9,0,1,-1.0,47,2,2,1,1,0,47,4,7,2,16
9,Aaron Jones,1,5,35.0,7.0,16,3.2,19,3.8,1,0,0.0,3,2,0,0,0,0,15,3,3,0,3
10,Clyde Edwards-Helaire,1,10,37.0,3.7,23,2.3,14,1.4,2,0,0.0,6,0,0,0,0,0,7,3,3,0,0
11,Saquon Barkley,1,16,64.0,4.0,34,2.1,30,1.9,0,2,-4.0,0,1,0,0,0,0,13,3,3,1,2
12,Derrick Gore,1,9,66.0,7.3,13,1.4,53,5.9,2,1,-2.0,51,1,1,1,1,1,51,2,2,0,0
13,Austin Ekeler,1,12,67.0,5.6,50,4.2,17,1.4,0,1,-1.0,1,2,0,0,0,0,17,2,4,1,4
14,D'Onta Foreman,1,13,47.0,3.6,22,1.7,25,1.9,0,0,0.0,5,0,0,0,0,0,8,2,2,1,3
15,Cordarrelle Patterson,1,16,58.0,3.6,30,1.9,28,1.8,0,2,-2.0,5,2,0,0,0,0,11,2,5,1,1
16,Craig Reynolds,1,11,83.0,7.5,27,2.5,56,5.1,2,0,0.0,0,1,1,1,0,0,35,2,2,0,0
17,Darrel Williams,1,2,8.0,4.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,7,3,3,1,0
18,Jonathan Williams,1,4,16.0,4.0,9,2.3,7,1.8,0,0,0.0,1,0,0,0,0,0,7,1,1,0,3
19,Chuba Hubbard,1,10,33.0,3.3,18,1.8,15,1.5,0,3,-3.0,17,1,0,0,0,0,17,0,0,0,0
20,Elijhaa Penny,1,1,8.0,8.0,5,5.0,3,3.0,0,0,0.0,0,0,0,0,0,0,8,1,1,1,0
21,Devin Singletary,1,4,52.0,13.0,28,7.0,24,6.0,0,0,0.0,0,2,1,0,0,0,29,6,7,1,7
22,Mike Davis,1,11,44.0,4.0,22,2.0,22,2.0,0,0,0.0,0,1,0,0,0,0,11,5,6,0,14
23,Devontae Booker,1,8,56.0,7.0,28,3.5,28,3.5,0,0,0.0,0,0,0,0,0,0,9,4,5,0,6
24,David Montgomery,1,10,42.0,4.2,25,2.5,17,1.7,0,0,0.0,0,1,1,0,0,0,20,6,7,0,10
25,Ezekiel Elliott,1,12,45.0,3.8,23,1.9,22,1.8,0,0,0.0,0,0,0,0,0,0,7,1,6,3,2
26,Sony Michel,1,20,79.0,4.0,46,2.3,33,1.7,3,2,-2.0,0,3,0,0,0,0,19,0,1,0,0
27,Devonta Freeman,1,13,64.0,4.9,56,4.3,8,0.6,0,1,-1.0,0,1,1,0,0,0,21,5,5,0,0
