,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Damien Harris,1,18,103.0,5.7,71.0,3.9,32,1.8,2,0,0.0,16,3,1,1,0,0,31,0,0,0,0
2,Rex Burkhead,1,22,149.0,6.8,69.0,3.1,80,3.6,0,0,0.0,25,4,2,1,0,0,36,2,2,0,0
3,Justin Jackson,1,11,64.0,5.8,54.0,4.9,10,0.9,0,0,0.0,17,2,0,0,0,0,17,8,9,0,30
4,Joe Mixon,1,18,65.0,3.6,36.0,2.0,29,1.6,0,1,-2.0,1,1,0,0,0,0,19,6,6,2,7
5,Nick Chubb,1,17,126.0,7.4,77.0,4.5,49,2.9,2,0,0.0,1,5,1,0,0,0,27,3,4,0,14
6,Sony Michel,1,27,131.0,4.9,70.0,2.6,61,2.3,1,0,0.0,1,4,0,0,0,0,16,1,4,0,2
7,Rashaad Penny,1,17,135.0,7.9,70.0,4.1,65,3.8,5,1,-1.0,3,3,3,2,0,0,32,0,1,0,0
8,Chase Edmonds,1,16,56.0,3.5,42.0,2.6,14,0.9,0,0,0.0,2,2,0,0,0,0,11,8,9,0,9
9,David Montgomery,1,21,45.0,2.1,16.0,0.8,29,1.4,1,6,-12.0,1,1,0,0,0,0,11,7,9,3,11
10,Ezekiel Elliott,1,9,37.0,4.1,30.0,3.3,7,0.8,2,1,-2.0,11,1,0,0,0,0,11,1,1,1,0
11,Ronald Jones II,1,20,65.0,3.3,38.0,1.9,27,1.4,0,3,-6.0,7,1,0,0,0,0,16,2,3,1,0
12,Devin Singletary,1,12,39.0,3.3,19.0,1.6,20,1.7,1,0,0.0,2,0,0,0,0,0,7,5,6,1,14
13,Dare Ogunbowale,1,17,57.0,3.4,31.0,1.8,26,1.5,0,0,0.0,1,0,0,0,0,0,9,2,4,1,0
14,Alexander Mattison,1,13,41.0,3.2,13.0,1.0,28,2.2,2,5,-9.0,2,2,0,0,0,0,18,3,4,1,5
15,Ke'Shawn Vaughn,1,7,70.0,10.0,10.0,1.4,60,8.6,2,2,-2.0,55,2,1,1,1,1,55,0,1,0,0
16,Michael Carter,1,16,118.0,7.4,83.0,5.2,35,2.2,2,0,0.0,0,4,1,1,0,0,38,2,3,1,0
17,Antonio Gibson,1,6,29.0,4.8,25.0,4.2,4,0.7,0,0,0.0,0,1,0,0,0,0,15,2,4,1,0
18,Jeff Wilson Jr.,1,14,45.0,3.2,38.0,2.7,7,0.5,1,0,0.0,1,0,0,0,0,0,9,3,3,1,1
19,Najee Harris,1,19,93.0,4.9,37.0,1.9,56,2.9,3,2,-5.0,0,2,1,0,0,0,21,5,7,2,10
20,Jonathan Taylor,1,27,108.0,4.0,23.0,0.9,85,3.1,3,8,-13.0,0,3,1,1,1,0,43,0,2,0,0
21,Josh Jacobs,1,27,129.0,4.8,55.0,2.0,74,2.7,1,2,-6.0,0,3,0,0,0,0,19,1,3,0,0
22,Derrick Gore,1,12,43.0,3.6,18.0,1.5,25,2.1,1,1,-2.0,0,1,0,0,0,0,10,3,3,1,16
23,Boston Scott,1,12,41.0,3.4,29.0,2.4,12,1.0,0,0,0.0,3,0,0,0,0,0,9,0,0,0,0
24,Clyde Edwards-Helaire,1,9,27.0,3.0,6.0,0.7,21,2.3,1,0,0.0,1,0,0,0,0,0,7,1,1,0,1
25,Khalil Herbert,1,2,21.0,10.5,0.0,0.0,0,0.0,0,0,0.0,20,1,1,0,0,0,20,1,1,0,2
26,Aaron Jones,1,12,66.0,5.5,28.0,2.3,38,3.2,4,1,-1.0,0,1,1,0,0,0,27,5,6,1,7
27,Darrel Williams,1,11,55.0,5.0,35.0,3.2,20,1.8,0,0,0.0,0,1,0,0,0,0,12,3,3,1,7
28,Peyton Barber,1,5,22.0,4.4,12.0,2.4,10,2.0,0,0,0.0,5,0,0,0,0,0,8,1,1,0,0
29,Devonta Freeman,1,6,17.0,2.8,10.0,1.7,7,1.2,0,1,-5.0,2,0,0,0,0,0,8,2,2,0,0
30,Javonte Williams,1,7,12.0,1.7,1.0,0.1,11,1.6,0,0,0.0,1,0,0,0,0,0,3,2,2,0,6
31,Jamaal Williams,1,19,77.0,4.1,43.0,2.3,34,1.8,3,0,0.0,0,2,0,0,0,0,14,0,0,0,0
32,D'Onta Foreman,1,9,17.0,1.9,11.0,1.2,6,0.7,1,1,-1.0,3,0,0,0,0,0,8,0,0,0,0
33,Cordarrelle Patterson,1,7,14.0,2.0,6.0,0.9,8,1.1,1,1,-2.0,6,0,0,0,0,0,6,1,2,0,0
34,D'Ernest Johnson,1,4,58.0,14.5,35.0,8.8,23,5.8,1,0,0.0,0,2,1,1,0,0,30,1,2,0,0
