,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Leonard Fournette,1,17,100,5.9,53,3.1,47,2.8,1,0,0.0,28,3,1,0,0,0,28,7,8,2,9
2,Joe Mixon,1,28,165,5.9,100,3.6,65,2.3,1,1,-1.0,1,2,2,1,0,0,32,4,4,0,0
3,Cordarrelle Patterson,1,16,108,6.8,74,4.6,34,2.1,0,0,0.0,12,4,1,0,0,0,27,2,3,0,19
4,Elijah Mitchell,1,27,133,4.9,74,2.7,59,2.2,2,0,0.0,2,4,0,0,0,0,15,5,6,0,19
5,J.D. McKissic,1,7,30,4.3,20,2.9,10,1.4,0,0,0.0,10,1,0,0,0,0,10,5,5,2,12
6,Dontrell Hilliard,1,12,131,10.9,60,5.0,71,5.9,3,1,-1.0,68,3,1,1,1,1,68,1,2,0,0
7,Josh Jacobs,1,22,87,4.0,40,1.8,47,2.1,1,2,-5.0,1,2,1,0,0,0,21,2,4,0,20
8,Myles Gaskin,1,16,49,3.1,33,2.1,16,1.0,2,0,0.0,3,0,0,0,0,0,8,2,2,0,0
9,Javonte Williams,1,14,54,3.9,33,2.4,21,1.5,2,2,-3.0,9,2,0,0,0,0,12,3,4,0,41
10,Antonio Gibson,1,29,111,3.8,45,1.6,66,2.3,4,0,0.0,0,2,0,0,0,0,17,7,7,0,15
11,Austin Ekeler,1,12,31,2.6,20,1.7,11,0.9,2,1,-1.0,0,0,0,0,0,0,6,6,8,2,18
12,Jonathan Taylor,1,16,83,5.2,47,2.9,36,2.3,1,1,-2.0,4,4,0,0,0,0,15,4,5,0,6
13,AJ Dillon,1,20,69,3.5,22,1.1,47,2.4,5,1,-1.0,0,0,0,0,0,0,8,5,5,1,12
14,Darrell Henderson Jr.,1,16,55,3.4,27,1.7,28,1.8,0,0,0.0,0,0,0,0,0,0,7,4,4,1,4
15,Tony Pollard,1,10,36,3.6,12,1.2,24,2.4,0,1,-5.0,0,1,0,0,0,0,12,4,4,2,13
16,Matt Breida,1,9,26,2.9,8,0.9,18,2.0,1,3,-6.0,0,0,0,0,0,0,9,2,2,1,15
17,Damien Harris,1,11,40,3.6,18,1.6,22,2.0,0,1,-1.0,14,1,0,0,0,0,14,1,1,0,0
18,Boston Scott,1,15,64,4.3,36,2.4,28,1.9,0,0,0.0,1,1,0,0,0,0,12,2,3,1,2
19,Ezekiel Elliott,1,9,25,2.8,9,1.0,16,1.8,0,0,0.0,1,0,0,0,0,0,8,6,8,0,9
20,Austin Walter,1,9,38,4.2,30,3.3,8,0.9,0,1,-3.0,2,2,0,0,0,0,13,0,1,0,0
21,Ronald Jones II,1,7,37,5.3,15,2.1,22,3.1,1,1,-3.0,1,1,0,0,0,0,11,0,0,0,0
22,James Robinson,1,17,86,5.1,63,3.7,23,1.4,0,0,0.0,0,1,0,0,0,0,12,3,4,0,12
23,D'Onta Foreman,1,19,109,5.7,54,2.8,55,2.9,2,0,0.0,0,3,1,1,0,0,30,1,1,0,3
24,Melvin Gordon III,1,17,83,4.9,43,2.5,40,2.4,1,0,0.0,0,2,0,0,0,0,16,1,2,0,1
25,Alexander Mattison,1,7,21,3.0,6,0.9,15,2.1,1,0,0.0,6,0,0,0,0,0,7,2,3,0,4
26,Dalvin Cook,1,10,39,3.9,9,0.9,30,3.0,1,1,-8.0,0,1,1,1,0,0,30,6,7,0,8
27,Jamaal Williams,1,15,65,4.3,57,3.8,8,0.5,2,0,0.0,0,1,0,0,0,0,19,5,5,0,2
28,David Montgomery,1,17,46,2.7,26,1.5,20,1.2,3,1,-1.0,0,1,0,0,0,0,12,3,3,0,2
29,Tevin Coleman,1,16,67,4.2,50,3.1,17,1.1,1,2,-3.0,0,1,0,0,0,0,19,2,3,1,2
30,Kene Nwangwu,1,1,7,7.0,5,5.0,2,2.0,0,0,0.0,0,0,0,0,0,0,7,0,0,0,0
31,Miles Sanders,1,9,64,7.1,47,5.2,17,1.9,0,1,-1.0,0,2,1,0,0,0,27,1,1,0,0
32,Devonta Freeman,1,16,52,3.3,29,1.8,23,1.4,0,0,0.0,0,0,0,0,0,0,8,1,1,1,3
33,David Johnson,1,10,39,3.9,18,1.8,21,2.1,1,0,0.0,0,0,0,0,0,0,7,2,3,1,1
34,Brandon Bolden,1,0,0,,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,4,4,1,14
35,Rex Burkhead,1,12,27,2.3,18,1.5,9,0.8,0,2,-6.0,0,1,0,0,0,0,10,3,3,0,10
36,Saquon Barkley,1,13,40,3.1,29,2.2,11,0.8,0,4,-9.0,0,1,1,1,0,0,32,4,5,0,1
37,Devin Singletary,1,15,44,2.9,4,0.3,40,2.7,3,3,-8.0,0,2,0,0,0,0,15,1,1,0,0
38,Rhamondre Stevenson,1,9,46,5.1,11,1.2,35,3.9,3,1,-1.0,0,2,0,0,0,0,19,0,1,0,0
39,Ty Montgomery II,1,6,14,2.3,1,0.2,13,2.2,2,1,-2.0,0,0,0,0,0,0,8,5,7,0,10
40,Phillip Lindsay,1,12,42,3.5,36,3.0,6,0.5,0,0,0.0,0,0,0,0,0,0,9,0,0,0,0
41,Ty Johnson,1,6,42,7.0,30,5.0,12,2.0,0,0,0.0,0,2,1,0,0,0,24,0,1,0,0
42,Mike Davis,1,5,16,3.2,9,1.8,7,1.4,0,1,-2.0,0,0,0,0,0,0,6,3,4,0,5
43,Nick Chubb,1,8,16,2.0,0,0.0,16,2.0,0,2,-4.0,0,0,0,0,0,0,5,2,4,0,16
44,Najee Harris,1,8,23,2.9,20,2.5,3,0.4,0,0,0.0,0,0,0,0,0,0,5,3,5,0,12
45,Kyle Juszczyk,1,0,0,,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,1,6
46,Christian McCaffrey,1,10,35,3.5,23,2.3,12,1.2,1,1,-3.0,0,1,0,0,0,0,15,0,1,0,0
47,Kenneth Gainwell,1,0,0,,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,4,0,4
48,DeeJay Dallas,1,3,4,1.3,1,0.3,3,1.0,0,0,0.0,0,0,0,0,0,0,3,5,5,0,7
49,Kenyan Drake,1,7,25,3.6,8,1.1,17,2.4,0,0,0.0,0,0,0,0,0,0,4,2,2,0,8
50,Chris Evans,1,5,23,4.6,15,3.0,8,1.6,0,0,0.0,0,1,0,0,0,0,13,1,1,0,1
51,Kalen Ballage,1,3,21,7.0,17,5.7,4,1.3,0,0,0.0,0,1,0,0,0,0,13,1,2,0,0
52,Devontae Booker,1,3,10,3.3,5,1.7,5,1.7,0,0,0.0,0,0,0,0,0,0,6,1,1,0,4
53,Tony Jones Jr.,1,16,27,1.7,2,0.1,25,1.6,0,2,-10.0,0,1,0,0,0,0,11,0,0,0,0
54,Salvon Ahmed,1,5,17,3.4,0,0.0,0,0.0,0,1,-3.0,0,1,0,0,0,0,16,1,1,1,0
55,Sony Michel,1,3,14,4.7,5,1.7,9,3.0,0,0,0.0,0,0,0,0,0,0,7,1,1,0,1
56,Ameer Abdullah,1,2,4,2.0,0,0.0,0,0.0,0,1,-1.0,0,0,0,0,0,0,5,2,6,0,0
57,Aaron Jones,1,10,23,2.3,6,0.6,17,1.7,0,2,-5.0,0,0,0,0,0,0,8,0,1,0,0
58,Joshua Kelley,1,1,5,5.0,2,2.0,3,3.0,0,0,0.0,0,0,0,0,0,0,5,2,3,1,3
59,Kareem Hunt,1,7,20,2.9,4,0.6,16,2.3,1,2,-4.0,0,0,0,0,0,0,9,0,1,0,0
60,Wayne Gallman Jr.,1,4,19,4.8,13,3.3,6,1.5,0,0,0.0,0,1,0,0,0,0,15,0,0,0,0
61,Keith Smith,1,0,0,,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,0,10
62,C.J. Ham,1,0,0,,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,6
63,Carlos Hyde,1,6,16,2.7,10,1.7,6,1.0,1,1,-1.0,0,0,0,0,0,0,8,0,1,0,0
64,Samaje Perine,1,3,3,1.0,0,0.0,0,0.0,0,1,-2.0,0,0,0,0,0,0,4,1,1,0,1
65,Latavius Murray,1,8,14,1.8,5,0.6,9,1.1,0,0,0.0,0,0,0,0,0,0,4,0,0,0,0
66,Anthony McFarland Jr.,1,2,2,1.0,0,0.0,0,0.0,0,1,-1.0,0,0,0,0,0,0,3,1,1,0,0
67,Godwin Igwebuike,1,1,11,11.0,0,0.0,0,0.0,0,0,0.0,0,1,0,0,0,0,11,0,1,0,0
68,Adam Prentice,1,0,0,,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,2
69,D'Andre Swift,1,3,0,0.0,0,0.0,0,0.0,0,1,-4.0,0,0,0,0,0,0,4,3,3,0,0
70,Khalil Herbert,1,4,9,2.3,1,0.3,8,2.0,1,0,0.0,0,0,0,0,0,0,5,0,0,0,0
71,Nyheim Hines,1,1,3,3.0,2,2.0,1,1.0,0,0,0.0,0,0,0,0,0,0,3,3,4,1,9
72,Jeff Wilson Jr.,1,2,5,2.5,2,1.0,3,1.5,0,0,0.0,0,0,0,0,0,0,4,1,1,0,0
73,Alex Collins,1,7,14,2.0,6,0.9,8,1.1,0,1,-1.0,0,0,0,0,0,0,7,1,1,0,1
74,Chuba Hubbard,1,2,6,3.0,2,1.0,4,2.0,0,0,0.0,0,0,0,0,0,0,5,0,1,0,0
75,Benny Snell Jr.,1,2,5,2.5,3,1.5,2,1.0,0,0,0.0,0,0,0,0,0,0,4,0,0,0,0
76,Ty'Son Williams,1,1,1,1.0,0,0.0,1,1.0,0,0,0.0,0,0,0,0,0,0,1,0,1,0,0
77,La'Mical Perine,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
78,Ke'Shawn Vaughn,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
79,Brandin Bryant,1,0,0,,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
80,Jermar Jefferson,1,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
81,Khari Blasingame,1,3,6,2.0,0,0.0,6,2.0,0,0,0.0,0,0,0,0,0,0,3,0,0,0,0
82,Mike Boone,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
83,Trayveon Williams,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
84,Raheem Mostert,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
85,B.J. Emmons,1,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
86,Patrick Taylor Jr.,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
87,Craig Reynolds,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
