,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Michael Carter,1,15,77.0,5.1,51,3.4,26,1.7,0,1,-1.0,8,1,0,0,0,0,18,9,14,1,27
2,Darrell Henderson Jr.,1,14,90.0,6.4,58,4.1,32,2.3,0,1,-2.0,1,4,0,0,0,0,19,1,2,2,0
3,Joe Mixon,1,14,33.0,2.4,19,1.4,14,1.0,1,5,-8.0,1,0,0,0,0,0,8,4,5,3,4
4,Elijah Mitchell,1,18,137.0,7.6,42,2.3,95,5.3,0,3,-4.0,5,5,3,1,0,0,39,0,0,0,0
5,Austin Ekeler,1,11,64.0,5.8,27,2.5,37,3.4,1,0,0.0,5,1,1,0,0,0,28,6,10,1,9
6,Jonathan Taylor,1,16,70.0,4.4,38,2.4,32,2.0,0,0,0.0,1,2,0,0,0,0,12,3,4,0,11
7,Boston Scott,1,12,60.0,5.0,45,3.8,15,1.3,0,1,-2.0,3,1,0,0,0,0,19,0,1,0,0
8,Najee Harris,1,26,91.0,3.5,49,1.9,42,1.6,1,2,-4.0,8,1,0,0,0,0,11,3,3,0,20
9,Jordan Howard,1,12,57.0,4.8,28,2.3,29,2.4,2,0,0.0,4,2,0,0,0,0,10,0,0,0,0
10,Aaron Jones,1,15,59.0,3.9,35,2.3,24,1.6,0,1,-2.0,2,2,0,0,0,0,16,7,11,2,16
11,Melvin Gordon III,1,10,47.0,4.7,21,2.1,26,2.6,1,0,0.0,7,1,0,0,0,0,11,3,3,1,0
12,Ty Johnson,1,4,15.0,3.8,8,2.0,7,1.8,0,0,0.0,0,0,0,0,0,0,8,5,6,2,25
13,James Conner,1,5,22.0,4.4,14,2.8,8,1.6,0,0,0.0,9,0,0,0,0,0,9,0,0,0,0
