,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Rashaad Penny,1,23,190.0,8.3,80.0,3.5,110,4.8,1,1,-2.0,62,4,3,1,1,1,62,0,0,0,0
2,Austin Ekeler,1,16,64.0,4.0,22.0,1.4,42,2.6,1,3,-6.0,14,2,0,0,0,0,14,5,12,1,13
3,Devin Singletary,1,19,88.0,4.6,61.0,3.2,27,1.4,0,2,-4.0,1,2,1,1,1,0,40,2,2,1,14
4,James Conner,1,15,52.0,3.5,33.0,2.2,19,1.3,0,1,-2.0,1,1,0,0,0,0,19,6,6,0,20
5,Antonio Gibson,1,21,146.0,7.0,68.0,3.2,78,3.7,0,2,-2.0,18,5,1,0,0,0,27,1,3,0,3
6,Latavius Murray,1,16,150.0,9.4,91.0,5.7,59,3.7,2,0,0.0,46,5,3,1,1,0,46,0,0,0,0
7,Josh Jacobs,1,26,132.0,5.1,47.0,1.8,85,3.3,3,4,-8.0,1,5,1,0,0,0,28,2,2,0,3
8,D'Ernest Johnson,1,25,123.0,4.9,105.0,4.2,18,0.7,1,0,0.0,4,3,0,0,0,0,13,1,1,0,0
9,Brandon Bolden,1,7,46.0,6.6,5.0,0.7,41,5.9,0,1,-1.0,15,2,0,0,0,0,19,2,2,1,6
10,Duke Johnson Jr.,1,25,117.0,4.7,38.0,1.5,79,3.2,3,1,-2.0,1,3,1,0,0,0,27,1,1,0,4
11,Alvin Kamara,1,30,146.0,4.9,76.0,2.5,70,2.3,4,5,-10.0,0,5,1,0,0,0,27,2,2,0,1
12,Melvin Gordon III,1,12,110.0,9.2,24.0,2.0,86,7.2,0,2,-7.0,47,2,2,1,1,0,47,1,2,0,0
13,Kenneth Gainwell,1,12,78.0,6.5,70.0,5.8,8,0.7,0,0,0.0,7,2,0,0,0,0,18,4,7,2,0
14,Corey Clement,1,7,58.0,8.3,26.0,3.7,32,4.6,1,1,-2.0,0,1,1,1,0,0,38,4,4,3,2
15,Damien Harris,1,11,37.0,3.4,18.0,1.6,19,1.7,2,2,-2.0,1,0,0,0,0,0,7,4,4,0,2
16,Chris Evans,1,7,35.0,5.0,26.0,3.7,9,1.3,3,0,0.0,0,2,0,0,0,0,12,4,5,2,13
17,Chuba Hubbard,1,9,48.0,5.3,21.0,2.3,27,3.0,1,2,-3.0,0,2,0,0,0,0,19,2,2,1,0
18,Patrick Taylor Jr.,1,11,53.0,4.8,29.0,2.6,24,2.2,1,0,0.0,1,1,0,0,0,0,12,2,2,1,0
19,Jerick McKinnon,1,5,24.0,4.8,16.0,3.2,8,1.6,0,0,0.0,0,0,0,0,0,0,7,3,3,1,14
20,D'Andre Swift,1,7,30.0,4.3,22.0,3.1,8,1.1,0,1,-4.0,14,2,0,0,0,0,14,4,5,1,5
21,Ke'Shawn Vaughn,1,10,29.0,2.9,16.0,1.6,13,1.3,0,0,0.0,2,0,0,0,0,0,9,2,2,1,4
22,Jonathan Taylor,1,15,77.0,5.1,28.0,1.9,49,3.3,1,1,-2.0,0,2,1,0,0,0,23,3,4,0,4
23,Damien Williams,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,5,1,6
24,Ezekiel Elliott,1,18,87.0,4.8,79.0,4.4,8,0.4,0,1,-1.0,0,1,1,0,0,0,26,1,3,0,0
25,JaQuan Hardy,1,3,26.0,8.7,12.0,4.0,14,4.7,0,1,-2.0,22,1,1,0,0,0,22,0,0,0,0
26,Elijah Mitchell,1,21,85.0,4.0,27.0,1.3,58,2.8,3,2,-2.0,0,2,0,0,0,0,13,0,0,0,0
27,Demetric Felton Jr.,1,1,6.0,6.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,6,2,2,1,0
28,D'Onta Foreman,1,21,69.0,3.3,28.0,1.3,38,1.8,2,4,-7.0,0,2,0,0,0,0,16,1,2,1,2
29,Ameer Abdullah,1,7,26.0,3.7,11.0,1.6,15,2.1,1,1,-1.0,0,1,0,0,0,0,10,9,11,2,14
30,Dalvin Cook,1,14,79.0,5.6,62.0,4.4,17,1.2,0,3,-6.0,0,2,2,0,0,0,29,1,1,0,0
31,Qadree Ollison,1,1,19.0,19.0,9.0,9.0,10,10.0,1,0,0.0,19,1,0,0,0,0,19,0,1,1,0
32,David Montgomery,1,20,72.0,3.6,36.0,1.8,36,1.8,0,1,-1.0,0,1,0,0,0,0,11,2,3,0,1
33,Le'Veon Bell,1,3,14.0,4.7,10.0,3.3,4,1.3,0,0,0.0,0,0,0,0,0,0,7,1,1,1,0
34,AJ Dillon,1,14,63.0,4.5,38.0,2.7,25,1.8,1,0,0.0,0,0,0,0,0,0,9,1,1,0,2
35,Rex Burkhead,1,12,24.0,2.0,6.0,0.5,18,1.5,0,4,-7.0,0,0,0,0,0,0,6,3,4,0,7
36,Javonte Williams,1,12,46.0,3.8,23.0,1.9,23,1.9,0,1,-1.0,0,1,0,0,0,0,15,2,2,0,5
37,Ito Smith,1,1,4.0,4.0,0.0,0.0,0,0.0,0,0,0.0,4,0,0,0,0,0,4,0,0,0,0
38,Ryquell Armstead,1,9,52.0,5.8,27.0,3.0,25,2.8,0,0,0.0,0,1,1,0,0,0,26,2,2,0,5
39,Nick Chubb,1,9,58.0,6.4,14.0,1.6,44,4.9,3,1,-3.0,0,2,1,1,0,0,35,1,1,0,2
40,Dontrell Hilliard,1,9,57.0,6.3,39.0,4.3,18,2.0,0,0,0.0,0,3,0,0,0,0,16,1,1,0,1
41,Eno Benjamin,1,7,31.0,4.4,18.0,2.6,13,1.9,0,1,-4.0,0,1,0,0,0,0,10,4,4,1,13
42,Dare Ogunbowale,1,11,30.0,2.7,10.0,0.9,20,1.8,0,2,-2.0,0,1,0,0,0,0,12,3,6,1,6
43,Najee Harris,1,11,28.0,2.5,9.0,0.8,19,1.7,1,1,-1.0,0,1,0,0,0,0,15,4,4,0,10
44,Jamaal Williams,1,13,43.0,3.3,25.0,1.9,18,1.4,0,0,0.0,0,0,0,0,0,0,9,1,1,0,2
