,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Ezekiel Elliott,1,17,95.0,5.6,48.0,2.8,47,2.8,1,0,0.0,3,2,0,0,0,0,13,3,3,2,1
2,Kareem Hunt,1,10,81.0,8.1,33.0,3.3,48,4.8,3,1,-6.0,29,4,1,0,0,0,29,6,7,0,3
3,Peyton Barber,1,23,111.0,4.8,73.0,3.2,35,1.5,0,1,-2.0,1,3,1,0,0,0,27,3,5,0,0
4,James Robinson,1,15,88.0,5.9,31.0,2.1,57,3.8,0,3,-5.0,4,3,1,0,0,0,21,6,6,0,13
5,Alvin Kamara,1,24,89.0,3.7,56.0,2.3,33,1.4,4,3,-6.0,0,1,0,0,0,0,11,3,4,1,0
6,James Conner,1,11,43.0,3.9,19.0,1.7,24,2.2,1,1,-3.0,4,1,0,0,0,0,11,1,1,0,7
7,Alexander Mattison,1,26,112.0,4.3,67.0,2.6,45,1.7,2,2,-3.0,0,3,1,0,0,0,24,6,8,2,10
8,D'Andre Swift,1,14,47.0,3.4,38.0,2.7,9,0.6,1,1,-1.0,2,2,0,0,0,0,14,7,7,1,7
9,Austin Ekeler,1,11,55.0,5.0,34.0,3.1,21,1.9,0,2,-2.0,0,1,0,0,0,0,11,6,6,1,9
10,Antonio Gibson,1,12,31.0,2.6,15.0,1.3,16,1.3,1,2,-2.0,0,0,0,0,0,0,7,1,2,1,63
11,Derrick Henry,1,28,113.0,4.0,72.0,2.6,41,1.5,1,2,-2.0,0,3,0,0,0,0,19,3,3,0,9
12,Aaron Jones,1,19,82.0,4.3,41.0,2.2,41,2.2,2,1,-4.0,3,3,0,0,0,0,12,2,2,1,4
13,Saquon Barkley,1,16,51.0,3.2,27.0,1.7,24,1.5,1,4,-8.0,1,1,0,0,0,0,15,6,7,0,8
14,Zack Moss,1,13,60.0,4.6,40.0,3.1,20,1.5,1,1,-1.0,0,0,0,0,0,0,9,3,3,1,11
15,Clyde Edwards-Helaire,1,17,100.0,5.9,68.0,4.0,32,1.9,0,1,-1.0,0,3,0,0,0,0,14,2,2,1,0
16,Chris Carson,1,12,80.0,6.7,55.0,4.6,25,2.1,1,0,0.0,30,1,1,1,0,0,30,2,2,0,0
17,Najee Harris,1,14,40.0,2.9,14.0,1.0,26,1.9,1,1,-3.0,0,1,1,0,0,0,20,14,19,4,43
18,Melvin Gordon III,1,18,60.0,3.3,30.0,1.7,30,1.7,3,2,-2.0,1,2,0,0,0,0,10,1,2,0,7
19,Nyheim Hines,1,6,25.0,4.2,23.0,3.8,2,0.3,0,0,0.0,9,0,0,0,0,0,9,5,6,0,33
20,Jamaal Williams,1,12,42.0,3.5,36.0,3.0,6,0.5,0,2,-6.0,1,2,0,0,0,0,14,2,2,0,2
21,Giovani Bernard,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,9,10,2,18
22,Kyle Juszczyk,1,5,14.0,2.8,6.0,1.2,8,1.6,0,0,0.0,0,0,0,0,0,0,5,4,4,2,9
23,Javonte Williams,1,12,29.0,2.4,23.0,1.9,6,0.5,0,3,-7.0,1,1,0,0,0,0,14,3,4,0,0
24,Cordarrelle Patterson,1,7,20.0,2.9,12.0,1.7,8,1.1,0,0,0.0,0,1,0,0,0,0,11,6,7,0,53
25,Joe Mixon,1,18,90.0,5.0,34.0,1.9,56,3.1,1,2,-3.0,0,3,1,0,0,0,27,1,1,0,1
26,Trey Sermon,1,10,31.0,3.1,15.0,1.5,16,1.6,1,2,-4.0,1,1,0,0,0,0,16,2,3,0,0
27,Malcolm Brown,1,7,31.0,4.4,25.0,3.6,6,0.9,0,1,-1.0,24,1,1,0,0,0,24,0,2,0,0
28,Nick Chubb,1,22,84.0,3.8,64.0,2.9,20,0.9,1,1,-1.0,0,2,0,0,0,0,14,0,0,0,0
29,Sony Michel,1,20,67.0,3.4,34.0,1.7,33,1.7,3,1,-2.0,0,2,0,0,0,0,15,3,4,0,8
30,Chuba Hubbard,1,11,52.0,4.7,29.0,2.6,23,2.1,2,0,0.0,0,2,0,0,0,0,14,3,5,2,4
31,Jeremy McNichols,1,2,6.0,3.0,2.0,1.0,4,2.0,0,0,0.0,0,0,0,0,0,0,5,1,2,1,0
32,Chase Edmonds,1,11,26.0,2.4,11.0,1.0,15,1.4,0,0,0.0,0,0,0,0,0,0,7,7,8,1,17
33,Myles Gaskin,1,13,65.0,5.0,41.0,3.2,24,1.8,0,0,0.0,0,2,0,0,0,0,15,3,6,0,2
34,Jonathan Taylor,1,10,64.0,6.4,36.0,3.6,28,2.8,0,1,-1.0,0,1,1,0,0,0,23,1,1,0,0
35,Mike Davis,1,12,50.0,4.2,17.0,1.4,33,2.8,2,0,0.0,0,2,0,0,0,0,11,4,4,0,4
36,Tony Pollard,1,11,60.0,5.5,34.0,3.1,26,2.4,0,0,0.0,0,1,0,0,0,0,11,1,1,0,2
37,Alec Ingold,1,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,0
38,Kenyan Drake,1,8,24.0,3.0,10.0,1.3,14,1.8,1,0,0.0,0,0,0,0,0,0,6,3,6,1,9
39,Miles Sanders,1,2,27.0,13.5,20.0,10.0,7,3.5,0,0,0.0,0,1,1,0,0,0,24,3,4,1,6
40,David Montgomery,1,10,34.0,3.4,26.0,2.6,8,0.8,0,1,-2.0,0,1,0,0,0,0,16,2,4,1,3
