RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Alvin Kamara,1,20,115.0,5.8,80.0,4.0,35,1.8,3,0,0.0,12,4,0,0,0,0,15,2,3,1,0,3,65.0,32.5,1,0,42.0
2,James Cook,1,11,78.0,7.1,23.0,2.1,55,5.0,1,0,0.0,49,1,1,1,1,0,49,1,1,1,0,2,17.0,17.0,1,0,27.5
3,De'Von Achane,1,22,96.0,4.4,50.0,2.3,46,2.1,1,4,-10.0,0,4,0,0,0,0,17,7,7,1,11,0,69.0,9.9,1,0,22.5
4,J.K. Dobbins,1,17,131.0,7.7,45.0,2.6,86,5.1,1,1,-2.0,43,4,1,1,1,0,43,1,1,0,0,1,0.0,0.0,0,0,19.1
5,James Conner,1,21,122.0,5.8,53.0,2.5,69,3.3,3,2,-2.0,5,4,1,0,0,0,22,1,1,0,2,1,2.0,2.0,0,0,18.4
6,Braelon Allen,1,7,33.0,4.7,3.0,0.4,30,4.3,0,1,-1.0,20,1,1,0,0,0,20,2,4,1,6,1,23.0,11.5,1,0,17.6
7,Breece Hall,1,14,62.0,4.4,14.0,1.0,48,3.4,1,3,-10.0,0,1,1,1,0,0,30,7,8,0,8,0,52.0,7.4,1,0,17.4
8,Jordan Mason,1,20,100.0,5.0,61.0,3.1,39,2.0,0,2,-3.0,10,2,1,0,0,0,22,1,1,0,0,1,4.0,4.0,0,0,16.4
9,Derrick Henry,1,18,84.0,4.7,27.0,1.5,57,3.2,1,3,-7.0,3,2,1,0,0,0,29,1,1,0,11,1,12.0,12.0,0,0,15.6
10,Rhamondre Stevenson,1,21,81.0,3.9,39.0,1.9,42,2.0,1,1,-4.0,1,2,0,0,0,0,18,2,5,3,7,1,9.0,4.5,0,0,15.0
11,Saquon Barkley,1,22,95.0,4.3,44.0,2.0,51,2.3,1,3,-8.0,0,2,0,0,0,0,11,4,5,2,8,0,21.0,5.3,0,0,13.6
12,Brian Robinson Jr.,1,17,133.0,7.8,58.0,3.4,75,4.4,3,3,-6.0,0,5,2,2,1,0,40,1,3,2,1,0,3.0,3.0,0,0,13.6
13,Devin Singletary,1,16,95.0,5.9,48.0,3.0,47,2.9,3,1,-2.0,7,4,1,0,0,0,22,1,1,0,0,1,0.0,0.0,0,1,13.5
14,Jonathan Taylor,1,12,103.0,8.6,78.0,6.5,25,2.1,0,2,-4.0,0,5,1,0,0,0,29,2,4,0,5,0,32.0,16.0,0,0,13.5
15,Josh Jacobs,1,32,151.0,4.7,95.0,3.0,56,1.8,1,3,-7.0,0,4,1,1,0,0,34,0,0,0,0,0,0.0,0.0,0,1,13.1
16,David Montgomery,1,11,35.0,3.2,11.0,1.0,24,2.2,1,1,-2.0,1,0,0,0,0,0,9,4,4,1,8,1,35.0,8.8,0,0,13.0
17,Zach Charbonnet,1,14,38.0,2.7,14.0,1.0,24,1.7,1,1,-1.0,1,0,0,0,0,0,9,5,5,0,8,1,31.0,6.2,0,0,12.9
18,Bijan Robinson,1,14,97.0,6.9,62.0,4.4,35,2.5,1,1,-1.0,0,4,0,0,0,0,19,4,5,0,3,0,25.0,6.3,0,0,12.2
19,Travis Etienne Jr.,1,13,52.0,4.0,22.0,1.7,30,2.3,0,4,-9.0,4,2,1,0,0,0,20,3,4,1,5,1,6.0,2.0,0,0,11.8
20,Kyren Williams,1,12,25.0,2.1,10.0,0.8,15,1.3,0,4,-6.0,4,0,0,0,0,0,9,4,5,3,11,1,27.0,6.8,0,0,11.2
21,Isiah Pacheco,1,19,90.0,4.7,64.0,3.4,26,1.4,0,0,0.0,0,2,0,0,0,0,11,5,5,1,4,0,21.0,4.2,0,0,11.1
22,Jahmyr Gibbs,1,13,84.0,6.5,28.0,2.2,56,4.3,4,2,-9.0,0,3,2,0,0,0,24,7,7,4,0,0,22.0,3.1,0,0,10.6
23,Antonio Gibson,1,11,96.0,8.7,34.0,3.1,62,5.6,1,2,-3.0,0,2,1,1,1,0,45,1,1,0,4,0,7.0,7.0,0,0,10.3
24,Tony Pollard,1,17,62.0,3.6,15.0,0.9,47,2.8,3,2,-2.0,0,2,0,0,0,0,15,5,6,2,7,0,40.0,8.0,0,0,10.2
25,Austin Ekeler,1,8,38.0,4.8,22.0,2.8,16,2.0,1,0,0.0,0,1,0,0,0,0,13,3,3,0,2,0,47.0,15.7,0,0,8.5
26,Ty Chandler,1,10,82.0,8.2,70.0,7.0,12,1.2,0,0,0.0,0,3,1,0,0,0,25,0,0,0,0,0,0.0,0.0,0,0,8.2
27,Chuba Hubbard,1,10,64.0,6.4,18.0,1.8,46,4.6,0,0,0.0,0,2,1,0,0,0,23,4,5,0,4,0,12.0,3.0,0,0,7.6
28,Najee Harris,1,17,69.0,4.1,40.0,2.4,29,1.7,0,0,0.0,0,1,0,0,0,0,11,1,2,0,0,0,5.0,5.0,0,0,7.4
29,Khalil Herbert,1,2,3.0,1.5,1.0,0.5,2,1.0,0,0,0.0,2,0,0,0,0,0,2,2,2,0,1,1,4.0,2.0,0,0,6.7
