RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Sean Tucker,1,14,136.0,9.7,101.0,7.2,35,2.5,0,0,0.0,5,6,1,1,0,0,36,3,3,0,17,1,18.7,1,0,31.2
2,Derrick Henry,1,24,132.0,5.5,71.0,3.0,61,2.5,0,0,0.0,7,3,1,0,0,0,27,0,0,0,0,2,0.0,0,0,25.2
3,Joe Mixon,1,13,102.0,7.8,83.0,6.4,19,1.5,1,2,-2.0,20,2,2,1,1,1,59,2,3,2,0,1,15.0,1,0,25.2
4,Bijan Robinson,1,15,95.0,6.3,58.0,3.9,37,2.5,0,0,0.0,7,2,0,0,0,0,17,3,4,1,5,2,3.3,0,0,22.5
5,David Montgomery,1,12,80.0,6.7,46.0,3.8,34,2.8,2,0,0.0,16,3,0,0,0,0,19,1,1,0,0,2,0.0,0,0,20.0
6,Tyler Allgeier,1,18,105.0,5.8,31.0,1.7,74,4.1,0,0,0.0,2,2,1,0,0,0,20,1,1,0,0,1,3.0,0,0,18.8
7,Najee Harris,1,14,106.0,7.6,33.0,2.4,73,5.2,5,2,-8.0,36,4,2,1,0,0,36,2,2,0,5,1,8.0,0,0,18.2
8,D'Andre Swift,1,17,91.0,5.4,53.0,3.1,38,2.2,1,1,-2.0,1,4,0,0,0,0,19,4,4,0,8,1,7.0,0,0,17.9
9,Breece Hall,1,18,113.0,6.3,72.0,4.0,41,2.3,1,2,-6.0,0,4,2,1,1,0,42,5,6,2,8,0,11.2,0,0,16.9
10,Tyrone Tracy Jr.,1,17,50.0,2.9,24.0,1.4,26,1.5,1,1,-1.0,1,1,0,0,0,0,11,6,6,0,12,1,9.5,0,0,16.7
11,Bucky Irving,1,14,81.0,5.8,27.0,1.9,54,3.9,2,2,-3.0,1,2,1,1,0,0,31,2,2,0,3,1,12.0,0,0,16.5
12,J.K. Dobbins,1,25,96.0,3.8,64.0,2.6,32,1.3,1,3,-8.0,4,3,1,0,0,0,20,2,2,1,1,1,3.0,0,0,16.2
13,Ray Davis,1,20,97.0,4.9,49.0,2.5,48,2.4,1,1,-1.0,0,2,0,0,0,0,15,3,3,0,3,0,18.3,0,0,15.2
14,Tony Pollard,1,17,93.0,5.5,45.0,2.6,48,2.8,2,0,0.0,23,2,1,0,0,0,23,3,3,0,0,1,-1.7,0,0,14.8
15,Dameon Pierce,1,8,76.0,9.5,18.0,2.3,58,7.3,1,0,0.0,54,2,1,1,1,1,54,1,1,0,1,1,1.0,0,0,13.7
16,Kenneth Walker III,1,14,32.0,2.3,15.0,1.1,17,1.2,0,2,-4.0,1,0,0,0,0,0,8,8,8,2,8,1,4.6,0,0,12.9
17,Alexander Mattison,1,14,33.0,2.4,23.0,1.6,10,0.7,0,3,-5.0,3,0,0,0,0,0,9,5,5,0,4,1,6.4,0,0,12.5
18,Alvin Kamara,1,13,40.0,3.1,30.0,2.3,10,0.8,0,1,-1.0,4,0,0,0,0,0,7,5,8,1,0,1,4.8,0,0,12.4
19,Chase Brown,1,10,53.0,5.3,49.0,4.9,4,0.4,1,2,-4.0,30,1,1,1,0,0,30,2,3,0,3,1,5.5,0,0,12.4
20,Kimani Vidal,1,4,11.0,2.8,3.0,0.8,8,2.0,0,1,-1.0,0,0,0,0,0,0,6,2,2,0,0,0,20.0,1,0,11.1
21,Chuba Hubbard,1,18,92.0,5.1,53.0,2.9,39,2.2,0,2,-4.0,0,3,0,0,0,0,19,5,6,2,3,0,2.2,0,0,10.3
22,Isaac Guerendo,1,10,99.0,9.9,11.0,1.1,88,8.8,0,2,-2.0,0,1,1,1,1,1,76,0,0,0,0,0,0.0,0,0,9.9
23,Jahmyr Gibbs,1,12,63.0,5.3,50.0,4.2,13,1.1,0,2,-7.0,0,4,0,0,0,0,15,3,5,0,5,0,9.3,0,0,9.1
24,Josh Jacobs,1,18,62.0,3.4,36.0,2.0,26,1.4,1,3,-3.0,0,1,0,0,0,0,14,3,3,0,7,0,9.3,0,0,9.0
25,Jordan Mason,1,9,73.0,8.1,30.0,3.3,43,4.8,1,1,-1.0,0,2,1,1,0,0,38,1,2,1,0,0,9.0,0,0,8.2
26,Pierre Strong Jr.,1,8,43.0,5.4,26.0,3.3,17,2.1,0,0,0.0,0,1,0,0,0,0,14,2,3,0,0,0,17.5,0,0,7.8
27,Kyle Juszczyk,1,1,6.0,6.0,1.0,1.0,5,5.0,0,0,0.0,6,0,0,0,0,0,6,3,4,1,3,1,3.3,0,0,7.6
28,Emanuel Wilson,1,7,54.0,7.7,32.0,4.6,22,3.1,1,0,0.0,0,2,0,0,0,0,16,1,2,0,5,0,19.0,0,0,7.3
29,Austin Ekeler,1,9,21.0,2.3,15.0,1.7,6,0.7,0,1,-1.0,0,0,0,0,0,0,6,4,5,0,9,0,11.8,0,0,6.8
30,Tyler Goodson,1,8,51.0,6.4,33.0,4.1,18,2.3,0,0,0.0,0,1,1,1,0,0,33,4,5,1,18,0,3.5,0,0,6.5
31,Emari Demercado,1,4,25.0,6.3,12.0,3.0,13,3.3,0,0,0.0,0,0,0,0,0,0,8,5,7,1,2,0,7.8,0,0,6.4
32,Rico Dowdle,1,5,25.0,5.0,21.0,4.2,4,0.8,0,0,0.0,0,1,0,0,0,0,12,5,6,0,4,0,6.0,0,0,5.5
33,Saquon Barkley,1,18,47.0,2.6,20.0,1.1,27,1.5,1,3,-6.0,0,1,0,0,0,0,10,2,2,0,0,0,3.5,0,0,5.4
34,D'Onta Foreman,1,10,31.0,3.1,25.0,2.5,6,0.6,0,1,-1.0,0,1,0,0,0,0,12,2,2,0,0,0,8.0,0,0,4.7
35,D'Ernest Johnson,1,6,28.0,4.7,14.0,2.3,14,2.3,0,0,0.0,0,1,0,0,0,0,13,2,2,0,5,0,8.0,0,0,4.4
