RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Bijan Robinson,1,20,116.0,5.8,49.0,2.5,67,3.4,3,2,-3.0,37,1,1,1,0,0,37,3,4,0,5,2,28.0,9.3,0,0,26.4
2,Chuba Hubbard,1,28,153.0,5.5,113.0,4.0,40,1.4,0,3,-4.0,1,4,3,0,0,0,26,4,6,0,1,1,16.0,4.0,0,1,20.9
3,James Conner,1,12,33.0,2.8,22.0,1.8,11,0.9,0,0,0.0,1,1,0,0,0,0,12,5,5,0,32,1,80.0,16.0,0,0,17.3
4,Austin Ekeler,1,13,44.0,3.4,31.0,2.4,13,1.0,0,3,-5.0,1,1,0,0,0,0,10,1,2,0,4,2,7.0,7.0,0,0,17.1
5,Joe Mixon,1,25,46.0,1.8,21.0,0.8,25,1.0,4,3,-13.0,8,0,0,0,0,0,8,2,4,2,7,1,44.0,22.0,0,0,15.0
6,Bucky Irving,1,13,73.0,5.6,44.0,3.1,26,1.9,0,2,-5.0,12,3,0,0,0,0,14,3,3,1,3,1,14.0,4.7,0,0,14.7
7,James Cook,1,19,80.0,4.2,31.0,1.6,49,2.6,3,1,-1.0,2,2,1,0,0,0,20,1,3,0,3,1,5.0,5.0,0,0,14.5
8,Tyrone Tracy Jr.,1,18,103.0,5.7,66.0,3.7,37,2.1,0,3,-7.0,32,3,1,1,0,0,32,1,2,1,0,1,1.0,1.0,0,1,14.4
9,Chase Brown,1,13,42.0,3.2,17.0,1.3,25,1.9,1,0,0.0,1,0,0,0,0,0,7,9,11,1,11,1,52.0,5.8,0,1,13.4
10,Derrick Henry,1,16,68.0,4.3,32.0,2.0,36,2.3,0,1,-1.0,1,1,0,0,0,0,11,1,1,1,1,1,3.0,3.0,0,0,13.1
11,Rachaad White,1,10,31.0,3.1,18.0,1.8,13,1.3,0,1,-3.0,0,0,0,0,0,0,8,6,7,1,4,0,39.0,6.5,1,0,13.0
12,Jonathan Taylor,1,21,114.0,5.4,86.0,4.1,28,1.3,2,2,-5.0,0,3,2,1,1,1,58,2,4,0,1,0,8.0,4.0,0,0,12.2
13,David Montgomery,1,12,32.0,2.7,13.0,1.1,19,1.6,1,1,-1.0,3,1,0,0,0,0,12,1,2,0,7,1,24.0,24.0,0,0,11.6
14,Najee Harris,1,21,53.0,2.5,24.0,1.1,29,1.4,4,2,-2.0,1,1,0,0,0,0,11,0,0,0,0,1,0.0,0.0,0,0,11.3
15,Alvin Kamara,1,17,55.0,3.2,35.0,2.1,20,1.2,0,2,-3.0,0,1,0,0,0,0,11,5,6,1,34,0,54.0,10.8,0,0,10.9
16,Jahmyr Gibbs,1,19,71.0,3.7,36.0,1.9,35,1.8,1,2,-13.0,0,3,1,0,0,0,20,2,3,0,9,0,37.0,18.5,0,0,10.8
17,Christian McCaffrey,1,13,39.0,3.0,35.0,2.7,4,0.3,1,2,-4.0,0,1,0,0,0,0,13,6,7,1,10,0,68.0,11.3,0,0,10.7
18,Aaron Jones Sr.,1,17,88.0,5.2,46.0,2.7,42,2.5,0,0,0.0,0,1,0,0,0,0,13,2,3,0,0,0,13.0,6.5,0,0,10.1
