RANK,PLAYER,GAMES,RECEIVING_REC,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_YBC,RECEIVING_YBC/R,RECEIVING_AIR,RECEIVING_AIR/R,RECEIVING_YAC,RECEIVING_YACON,RECEIVING_YACON/R,RECEIVING_BRKTKL,TARGETS_TGT,TARGETS_%_TM,TARGETS_CATCHABLE,TARGETS_DROP,TARGETS_RZ_TGT,BIG_PLAYS_10+_YDS,BIG_PLAYS_20+_YDS,BIG_PLAYS_30+_YDS,BIG_PLAYS_40+_YDS,BIG_PLAYS_50+_YDS,BIG_PLAYS_LNG,RECEIVING_TD,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_FPTS
1,Mike Williams,1,7,122.0,17.4,72.0,10.3,0,0.0,50,7.1,19,2.7,0,9,0.257,9,1,1,5,3,1,1,1,2.0,0.0,0.0,0.0,0.0,26.2
2,Cooper Kupp,1,9,96.0,10.7,68.0,7.6,0,0.0,28,3.1,5,0.6,1,12,0.316,10,1,3,4,2,0,0,0,2.0,0.0,0.0,0.0,0.0,21.6
3,Emmanuel Sanders,1,5,94.0,18.8,77.0,15.4,0,0.0,17,3.4,6,1.2,0,6,0.14,5,0,1,3,2,1,1,1,2.0,0.0,0.0,0.0,0.0,21.4
4,Davante Adams,1,12,132.0,11.0,103.0,8.6,0,0.0,29,2.4,12,1.0,0,18,0.581,13,1,2,7,1,0,0,0,1.0,0.0,0.0,0.0,0.0,19.2
5,Ja'Marr Chase,1,4,65.0,16.3,61.0,15.3,0,0.0,4,1.0,0,0.0,0,5,0.278,4,0,1,2,1,1,0,0,2.0,0.0,0.0,0.0,0.0,18.5
6,DeSean Jackson,1,3,120.0,40.0,56.0,18.7,0,0.0,64,21.3,0,0.0,0,5,0.132,3,0,0,2,2,2,2,2,1.0,0.0,0.0,0.0,0.0,18.0
7,Justin Jefferson,1,9,118.0,13.1,73.0,8.1,0,0.0,45,5.0,15,1.7,0,11,0.289,10,1,3,5,2,0,0,0,1.0,0.0,0.0,0.0,0.0,17.8
8,DK Metcalf,1,6,107.0,17.8,76.0,12.7,0,0.0,31,5.2,3,0.5,1,9,0.321,7,0,1,6,2,0,0,0,1.0,0.0,0.0,0.0,0.0,16.7
9,Kendrick Bourne,1,6,96.0,16.0,63.0,10.5,0,0.0,33,5.5,17,2.8,3,8,0.157,6,0,0,5,2,1,0,0,1.0,0.0,0.0,0.0,0.0,15.6
10,Hunter Renfrow,1,5,77.0,15.4,43.0,8.6,0,0.0,34,6.8,10,2.0,0,6,0.15,5,0,1,4,2,0,0,0,1.0,0.0,0.0,0.0,0.0,13.7
11,Chris Godwin,1,6,74.0,12.3,35.0,5.8,0,0.0,39,6.5,10,1.7,0,7,0.132,6,0,0,4,1,0,0,0,0.0,1.0,2.0,1.0,0.0,13.6
12,DJ Moore,1,8,126.0,15.8,93.0,11.6,0,0.0,33,4.1,10,1.3,2,12,0.364,11,1,0,6,3,0,0,0,0.0,1.0,-1.0,0.0,0.0,12.5
