RANK,PLAYER,GAMES,RECEIVING_REC,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_YBC,RECEIVING_YBC/R,RECEIVING_AIR,RECEIVING_AIR/R,RECEIVING_YAC,RECEIVING_YACON,RECEIVING_YACON/R,RECEIVING_BRKTKL,TARGETS_TGT,TARGETS_%_TM,TARGETS_CATCHABLE,TARGETS_DROP,TARGETS_RZ_TGT,BIG_PLAYS_10+_YDS,BIG_PLAYS_20+_YDS,BIG_PLAYS_30+_YDS,BIG_PLAYS_40+_YDS,BIG_PLAYS_50+_YDS,BIG_PLAYS_LNG,RECEIVING_TD,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_FPTS
1,Taysom Hill,1,1,14,14.0,1.0,1.0,1.0,1.0,13,13.0,0,0.0,0,1,0.034,1,0,0,1,0,0,0,0,0.0,9.0,63.0,2.0,0.0,21.5
2,Trey McBride,1,10,95,9.5,50.0,5.0,98.0,9.8,45,4.5,11,1.1,2,14,0.389,10,0,3,3,2,0,0,0,1.0,0.0,0.0,0.0,0.0,15.5
3,George Kittle,1,9,149,16.6,90.0,10.0,105.0,11.7,59,6.6,6,0.7,0,11,0.36700000000000005,10,1,3,6,3,2,0,0,0.0,0.0,0.0,0.0,0.0,14.9
4,T.J. Hockenson,1,6,88,14.7,70.0,11.7,86.0,14.3,18,3.0,5,0.8,2,9,0.265,7,1,2,4,2,0,0,0,1.0,0.0,0.0,0.0,0.0,14.8
5,David Njoku,1,4,77,19.3,1.0,0.3,45.0,11.3,76,19.0,9,2.3,0,8,0.267,4,0,3,2,1,1,1,1,1.0,0.0,0.0,0.0,0.0,13.7
6,Dalton Kincaid,1,5,65,13.0,38.0,7.6,36.0,7.2,27,5.4,9,1.8,0,7,0.179,5,0,2,3,1,0,0,0,1.0,0.0,0.0,0.0,0.0,12.5
7,Sam LaPorta,1,8,57,7.1,26.0,3.3,49.0,6.1,31,3.9,1,0.1,0,10,0.294,9,1,3,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,11.7
8,Jake Ferguson,1,4,47,11.8,24.0,6.0,24.0,6.0,23,5.8,8,2.0,0,4,0.11800000000000001,4,0,1,3,0,0,0,0,1.0,0.0,0.0,0.0,0.0,10.7
9,Logan Thomas,1,6,44,7.3,17.0,2.8,53.0,8.8,27,4.5,10,1.7,1,8,0.157,6,0,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,10.4
10,Donald Parham Jr.,1,4,43,10.8,8.0,2.0,13.0,3.3,35,8.8,18,4.5,1,5,0.132,4,0,1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,10.3
11,Mark Andrews,1,4,40,10.0,21.0,5.3,24.0,6.0,19,4.8,3,0.8,0,5,0.192,4,0,2,3,0,0,0,0,1.0,0.0,0.0,0.0,0.0,10.0
12,Drew Ogletree,1,1,33,33.0,33.0,33.0,65.0,65.0,0,0.0,0,0.0,0,3,0.079,1,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,9.3
13,Cole Kmet,1,10,79,7.9,53.0,5.3,53.0,5.3,26,2.6,13,1.3,0,10,0.27,10,0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.9
14,Evan Engram,1,10,88,8.8,33.0,3.3,33.0,3.3,55,5.5,37,3.7,0,10,0.313,10,0,1,4,1,1,0,0,0.0,0.0,0.0,0.0,1.0,6.8
15,Tommy Tremble,1,2,4,2.0,2.0,1.0,-1.0,-0.5,2,1.0,0,0.0,0,3,0.09699999999999999,2,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,6.4
