RANK,PLAYER,GAMES,RECEIVING_REC,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_YBC,RECEIVING_YBC/R,RECEIVING_AIR,RECEIVING_AIR/R,RECEIVING_YAC,RECEIVING_YACON,RECEIVING_YACON/R,RECEIVING_BRKTKL,TARGETS_TGT,TARGETS_%_TM,TARGETS_CATCHABLE,TARGETS_DROP,TARGETS_RZ_TGT,BIG_PLAYS_10+_YDS,BIG_PLAYS_20+_YDS,BIG_PLAYS_30+_YDS,BIG_PLAYS_40+_YDS,BIG_PLAYS_50+_YDS,BIG_PLAYS_LNG,RECEIVING_TD,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_FPTS
1,Chris Godwin,1,11,125,11.4,26.0,2.4,51.0,4.6,99,9.0,55,5.0,3,13,0.361,11,0,1,2,2,1,1,1,2,0,0.0,0,0,24.5
2,Deebo Samuel Sr.,1,3,102,34.0,29.0,9.7,41.0,13.7,73,24.3,57,19.0,0,5,0.185,3,0,2,3,1,1,1,1,1,4,15.0,0,0,17.7
3,A.J. Brown,1,6,116,19.3,93.0,15.5,158.0,26.3,23,3.8,12,2.0,2,9,0.375,6,0,0,5,2,1,1,1,1,0,0.0,0,0,17.6
4,Allen Lazard,1,6,114,19.0,103.0,17.2,108.0,18.0,11,1.8,11,1.8,0,7,0.20600000000000002,6,0,2,4,2,1,1,1,1,0,0.0,0,0,17.4
5,Terry McLaurin,1,6,53,8.8,52.0,8.7,81.0,13.5,1,0.2,0,0.0,0,7,0.212,6,0,2,2,0,0,0,0,2,1,0.0,0,0,17.3
6,Romeo Doubs,1,3,49,16.3,46.0,15.3,54.0,18.0,3,1.0,2,0.7,1,4,0.129,3,0,1,3,1,0,0,0,2,0,0.0,0,0,16.9
7,Garrett Wilson,1,8,107,13.4,49.0,6.1,66.0,8.3,58,7.3,22,2.8,0,10,0.294,8,0,3,5,2,0,0,0,1,0,0.0,0,0,16.7
8,Gabe Davis,1,5,45,9.0,41.0,8.2,92.0,18.4,4,0.8,3,0.6,0,8,0.22899999999999998,5,0,3,1,1,0,0,0,2,0,0.0,0,0,16.5
9,Keenan Allen,1,5,41,8.2,34.0,6.8,34.0,6.8,7,1.4,7,1.4,0,5,0.192,5,0,2,2,0,0,0,0,2,0,0.0,0,0,16.1
10,DeMario Douglas,1,6,92,15.3,36.0,6.0,79.0,13.2,56,9.3,23,3.8,1,9,0.29,6,0,0,3,2,1,0,0,1,0,0.0,0,0,15.2
