RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Jonathan Taylor,1,22,147.0,6.7,110.0,5.0,37,1.7,0,1,-1.0,66,2,1,1,1,1,66,2,2,1,9,1.0,8.0,0.0,0.0,22.3
2,Saquon Barkley,1,35,152.0,4.3,111.0,3.2,41,1.2,0,3,-9.0,2,4,1,0,0,0,27,1,1,0,0,1.0,8.0,0.0,0.0,22.0
3,Aaron Jones Sr.,1,24,138.0,5.8,110.0,4.6,28,1.2,0,2,-5.0,12,3,1,1,0,0,30,2,2,0,9,1.0,9.0,0.0,0.0,21.6
4,James Conner,1,21,69.0,3.3,30.0,1.4,39,1.9,0,1,-1.0,9,0,0,0,0,0,9,3,3,1,6,2.0,5.7,0.0,0.0,20.6
5,Dalvin Cook,1,14,119.0,8.5,13.0,0.9,99,6.6,0,5,-19.0,81,4,1,1,1,1,81,3,5,0,13,1.0,9.0,0.0,0.0,20.6
6,Jeff Wilson Jr.,1,17,119.0,7.0,74.0,4.4,45,2.6,2,1,-1.0,20,4,1,0,0,0,20,2,5,0,1,1.0,12.0,0.0,0.0,20.3
7,D'Onta Foreman,1,31,130.0,4.2,63.0,2.0,67,2.2,3,5,-8.0,12,4,1,0,0,0,23,0,1,0,0,1.0,0.0,0.0,0.0,19.0
8,Tony Pollard,1,22,115.0,5.2,70.0,3.2,45,2.0,0,0,0.0,13,4,0,0,0,0,14,3,6,1,3,1.0,4.3,0.0,0.0,18.8
9,Josh Jacobs,1,21,78.0,3.7,44.0,2.1,34,1.6,0,1,-3.0,1,1,1,0,0,0,22,6,8,1,4,1.0,4.7,0.0,0.0,16.6
10,Devin Singletary,1,13,47.0,3.6,26.0,2.0,21,1.6,1,3,-3.0,5,1,1,0,0,0,21,1,2,1,0,2.0,0.0,0.0,1.0,14.7
11,Raheem Mostert,1,8,65.0,8.1,52.0,6.5,13,1.6,0,0,0.0,24,3,1,0,0,0,24,4,4,0,1,1.0,5.5,0.0,0.0,14.7
