RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Cam Akers,1,23,118.0,5.1,68.0,3.0,50,2.2,6,0,0.0,4,3,1,0,0,0,21,2,2,0,16,3.0,14.5,0.0,0.0,32.7
2,D'Onta Foreman,1,21,165.0,7.9,98.0,4.7,67,3.2,0,0,0.0,4,5,4,1,0,0,38,0,0,0,0,1.0,0.0,0.0,0.0,22.5
3,Austin Ekeler,1,18,67.0,3.7,29.0,1.6,38,2.1,0,2,-2.0,1,1,0,0,0,0,16,4,4,1,5,2.0,3.0,0.0,0.0,19.9
4,Saquon Barkley,1,14,84.0,6.0,54.0,3.9,30,2.1,2,0,0.0,27,1,1,0,0,0,27,8,10,0,9,1.0,6.1,0.0,0.0,19.3
5,Devin Singletary,1,12,106.0,8.8,82.0,6.8,24,2.0,1,0,0.0,33,3,2,1,0,0,33,2,3,0,2,1.0,9.5,0.0,0.0,18.5
6,James Conner,1,15,79.0,5.3,57.0,3.8,22,1.5,1,2,-2.0,22,3,1,0,0,0,22,7,8,0,15,1.0,5.9,0.0,0.0,18.0
7,Alvin Kamara,1,20,76.0,3.8,34.0,1.7,42,2.1,0,1,-3.0,4,1,0,0,0,0,14,2,4,0,5,1.0,17.0,0.0,0.0,17.0
8,James Cook,1,11,99.0,9.0,81.0,7.4,18,1.6,0,0,0.0,27,3,2,0,0,0,27,1,2,0,1,1.0,9.0,0.0,0.0,16.8
9,Derrick Henry,1,23,126.0,5.5,53.0,2.3,73,3.2,7,3,-8.0,48,4,1,1,1,0,48,2,2,0,0,1.0,0.0,0.0,1.0,16.6
10,Leonard Fournette,1,20,72.0,3.6,40.0,2.0,32,1.6,0,3,-5.0,0,2,1,0,0,0,23,9,10,2,62,0.0,10.0,0.0,0.0,16.2
11,Chuba Hubbard,1,12,125.0,10.4,88.0,7.3,37,3.1,0,1,-3.0,0,3,3,3,0,0,35,0,0,0,0,0.0,0.0,0.0,0.0,12.5
12,Ezekiel Elliott,1,16,55.0,3.4,54.0,3.4,1,0.1,0,0,0.0,1,1,1,0,0,0,22,1,1,0,1,1.0,6.0,0.0,0.0,12.1
13,Christian McCaffrey,1,15,46.0,3.1,22.0,1.5,24,1.6,0,1,-2.0,1,0,0,0,0,0,9,2,2,1,1,1.0,6.0,0.0,0.0,11.8
14,Tyler Allgeier,1,18,74.0,4.1,54.0,3.0,20,1.1,0,1,-1.0,0,1,0,0,0,0,16,4,5,0,29,0.0,10.8,0.0,0.0,11.7
15,Rachaad White,1,7,36.0,5.1,20.0,2.9,16,2.3,0,1,-1.0,0,1,0,0,0,0,18,4,4,1,6,0.0,4.3,1.0,0.0,11.3
16,Travis Etienne Jr.,1,22,83.0,3.8,61.0,2.8,22,1.0,0,1,-1.0,0,1,0,0,0,0,19,3,3,0,4,0.0,9.7,0.0,0.0,11.2
17,AJ Dillon,1,11,36.0,3.3,17.0,1.5,19,1.7,0,1,-3.0,1,1,0,0,0,0,11,2,3,0,6,1.0,6.0,0.0,0.0,10.8
18,Joe Mixon,1,16,65.0,4.1,59.0,3.7,6,0.4,1,0,0.0,0,1,0,0,0,0,19,7,9,2,4,0.0,6.1,0.0,0.0,10.8
19,Kenneth Walker III,1,26,107.0,4.1,49.0,1.9,58,2.2,1,6,-13.0,0,3,2,0,0,0,20,2,2,0,0,0.0,-1.0,0.0,0.0,10.5
20,Nick Chubb,1,24,92.0,3.8,54.0,2.3,38,1.6,0,2,-5.0,0,2,0,0,0,0,19,1,1,0,0,0.0,10.0,0.0,0.0,10.2
21,Jeff Wilson Jr.,1,9,37.0,4.1,23.0,2.6,14,1.6,0,0,0.0,1,1,0,0,0,0,12,1,2,0,0,1.0,3.0,0.0,0.0,10.0
22,Gus Edwards,1,11,99.0,9.0,62.0,5.6,37,3.4,0,1,-1.0,0,4,1,1,0,0,37,0,0,0,0,0.0,0.0,0.0,0.0,9.9
23,Jerick McKinnon,1,5,7.0,1.4,2.0,0.4,5,1.0,0,1,-1.0,0,0,0,0,0,0,5,3,3,1,9,0.0,10.3,1.0,0.0,9.8
24,Najee Harris,1,16,53.0,3.3,22.0,1.4,31,1.9,0,3,-4.0,0,1,0,0,0,0,14,6,9,1,22,0.0,7.0,0.0,0.0,9.5
25,Isiah Pacheco,1,14,58.0,4.1,28.0,2.0,30,2.1,0,0,0.0,0,0,0,0,0,0,8,1,2,0,22,0.0,32.0,0.0,0.0,9.0
26,Tony Pollard,1,9,19.0,2.1,0.0,0.0,0,0.0,0,2,-5.0,0,0,0,0,0,0,8,6,8,2,6,0.0,10.2,0.0,0.0,8.0
27,Dalvin Cook,1,14,64.0,4.6,35.0,2.5,29,2.1,1,2,-2.0,0,1,0,0,0,0,18,3,4,1,6,0.0,4.3,0.0,0.0,7.7
28,Raheem Blackshear,1,3,3.0,1.0,0.0,0.0,0,0.0,0,2,-4.0,7,0,0,0,0,0,7,1,1,0,12,1.0,12.0,0.0,0.0,7.5
29,Zack Moss,1,12,65.0,5.4,34.0,2.8,31,2.6,1,0,0.0,0,1,0,0,0,0,14,1,1,0,5,0.0,5.0,0.0,0.0,7.0
30,David Montgomery,1,16,62.0,3.9,36.0,2.3,26,1.6,0,2,-8.0,0,2,1,0,0,0,28,4,4,1,5,0.0,5.5,0.0,1.0,6.4
31,Latavius Murray,1,8,34.0,4.3,24.0,3.0,10,1.3,0,0,0.0,0,1,0,0,0,0,10,1,3,0,2,0.0,6.0,0.0,0.0,6.0
32,J.K. Dobbins,1,12,59.0,4.9,52.0,4.3,7,0.6,1,0,0.0,0,2,0,0,0,0,14,0,1,1,0,0.0,0.0,0.0,0.0,5.9
33,Kenneth Gainwell,1,4,17.0,4.3,16.0,4.0,1,0.3,0,0,0.0,0,1,0,0,0,0,11,4,4,0,6,0.0,10.3,0.0,0.0,5.8
34,Brian Robinson Jr.,1,22,58.0,2.6,26.0,1.2,32,1.5,1,3,-4.0,0,1,0,0,0,0,10,0,1,0,0,0.0,0.0,0.0,0.0,5.8
35,Chase Edmonds,1,6,31.0,5.2,20.0,3.3,11,1.8,0,2,-4.0,0,1,1,0,0,0,25,2,2,0,2,0.0,11.0,0.0,0.0,5.3
36,Miles Sanders,1,21,65.0,3.1,42.0,2.0,23,1.1,3,3,-6.0,0,1,0,0,0,0,13,1,1,0,0,0.0,6.0,0.0,1.0,5.1
37,Josh Jacobs,1,15,44.0,2.9,24.0,1.6,20,1.3,0,3,-10.0,0,2,0,0,0,0,11,1,1,0,0,0.0,6.0,0.0,0.0,5.0
38,Michael Carter,1,2,6.0,3.0,3.0,1.5,3,1.5,0,0,0.0,0,0,0,0,0,0,3,5,5,0,5,0.0,8.8,0.0,0.0,5.0
39,Joshua Kelley,1,9,33.0,3.7,15.0,1.7,18,2.0,0,0,0.0,0,1,0,0,0,0,11,1,1,0,1,0.0,9.0,0.0,0.0,4.2
40,DeeJay Dallas,1,2,10.0,5.0,7.0,3.5,3,1.5,0,0,0.0,0,0,0,0,0,0,8,6,6,1,5,0.0,5.3,0.0,0.0,4.2
41,Jonathan Williams,1,3,13.0,4.3,6.0,2.0,7,2.3,0,0,0.0,0,0,0,0,0,0,9,2,3,0,4,0.0,14.0,0.0,0.0,4.1
42,Royce Freeman,1,16,32.0,2.0,23.0,1.4,9,0.6,1,3,-7.0,0,0,0,0,0,0,5,1,1,0,0,0.0,6.0,0.0,0.0,3.8
43,Aaron Jones Sr.,1,6,25.0,4.2,12.0,2.0,13,2.2,0,1,-3.0,0,1,0,0,0,0,18,2,2,1,1,0.0,4.5,0.0,0.0,3.4
44,Cordarrelle Patterson,1,8,17.0,2.1,7.0,0.9,10,1.3,1,2,-4.0,0,0,0,0,0,0,7,1,1,0,0,0.0,14.0,0.0,0.0,3.1
45,Antonio Gibson,1,5,10.0,2.0,2.0,0.4,8,1.6,0,0,0.0,0,0,0,0,0,0,5,2,3,0,7,0.0,10.5,0.0,0.0,3.1
46,Jaylen Warren,1,6,23.0,3.8,4.0,0.7,19,3.2,0,1,-2.0,0,1,0,0,0,0,13,1,2,0,1,0.0,7.0,0.0,0.0,3.0
47,Tyrion Davis-Price,1,9,30.0,3.3,14.0,1.6,16,1.8,0,0,0.0,0,0,0,0,0,0,7,0,0,0,0,0.0,0.0,0.0,0.0,3.0
48,Avery Williams,1,3,16.0,5.3,0.0,0.0,0,0.0,0,0,0.0,0,1,0,0,0,0,13,2,2,1,0,0.0,7.0,0.0,0.0,3.0
49,Raheem Mostert,1,8,45.0,5.6,27.0,3.4,18,2.3,0,1,-1.0,0,2,0,0,0,0,17,2,3,1,4,0.0,2.0,0.0,1.0,2.9
50,Dare Ogunbowale,1,8,28.0,3.5,17.0,2.1,11,1.4,0,1,-2.0,0,0,0,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0.0,2.8
51,Ameer Abdullah,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,0,4,0.0,13.5,0.0,0.0,2.7
52,D'Andre Swift,1,4,12.0,3.0,8.0,2.0,4,1.0,0,0,0.0,0,0,0,0,0,0,4,1,5,2,0,0.0,13.0,0.0,0.0,2.5
53,David Johnson,1,7,16.0,2.3,6.0,0.9,10,1.4,0,0,0.0,0,0,0,0,0,0,4,1,1,0,1,0.0,8.0,0.0,0.0,2.4
54,Marlon Mack,1,4,22.0,5.5,18.0,4.5,4,1.0,1,0,0.0,0,0,0,0,0,0,7,0,1,0,0,0.0,0.0,0.0,0.0,2.2
55,Samaje Perine,1,4,3.0,0.8,0.0,0.0,0,0.0,0,1,-4.0,0,0,0,0,0,0,3,3,4,0,0,0.0,6.3,0.0,0.0,2.2
56,Kareem Hunt,1,7,8.0,1.1,-1.0,-0.1,9,1.3,0,2,-4.0,0,0,0,0,0,0,4,3,3,0,13,0.0,4.7,0.0,0.0,2.2
57,Malcolm Brown,1,2,19.0,9.5,8.0,4.0,11,5.5,1,0,0.0,0,1,0,0,0,0,17,1,1,0,1,0.0,2.0,0.0,0.0,2.1
58,JaMycal Hasty,1,3,10.0,3.3,5.0,1.7,5,1.7,0,1,-2.0,0,0,0,0,0,0,6,1,3,0,0,0.0,11.0,0.0,0.0,2.1
59,Kyren Williams,1,6,18.0,3.0,13.0,2.2,5,0.8,0,1,-2.0,0,0,0,0,0,0,7,1,1,0,2,0.0,3.0,0.0,0.0,2.1
60,Hassan Haskins,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,0,2,0.0,8.5,0.0,0.0,1.7
61,Patrick Taylor Jr.,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,0,0.0,17.0,0.0,0.0,1.7
62,Alexander Mattison,1,4,17.0,4.3,11.0,2.8,6,1.5,0,0,0.0,0,1,0,0,0,0,13,0,0,0,0,0.0,0.0,0.0,0.0,1.7
63,Jamaal Williams,1,7,11.0,1.6,4.0,0.6,7,1.0,0,1,-4.0,0,0,0,0,0,0,4,2,2,1,0,0.0,1.5,0.0,0.0,1.4
64,Zonovan Knight,1,6,-2.0,-0.3,0.0,0.0,0,0.0,0,3,-12.0,0,0,0,0,0,0,4,1,1,0,0,0.0,15.0,0.0,0.0,1.3
65,Rhamondre Stevenson,1,13,30.0,2.3,25.0,1.9,5,0.4,0,2,-5.0,0,0,0,0,0,0,7,2,5,0,0,0.0,1.5,0.0,1.0,1.3
66,Reggie Gilliam,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,2,0.0,12.0,0.0,0.0,1.2
67,Nyheim Hines,1,1,2.0,2.0,1.0,1.0,1,1.0,0,0,0.0,0,0,0,0,0,0,2,1,2,0,5,0.0,9.0,0.0,0.0,1.1
68,Pierre Strong Jr.,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,0,0,0.0,5.0,0.0,0.0,1.0
69,Matt Breida,1,2,9.0,4.5,5.0,2.5,4,2.0,0,0,0.0,0,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,0.0,0.9
70,Deon Jackson,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,3,0,3,0.0,3.0,0.0,0.0,0.9
71,Rex Burkhead,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,2,1,0.0,3.5,0.0,0.0,0.7
72,Ty Johnson,1,2,7.0,3.5,5.0,2.5,2,1.0,0,0,0.0,0,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,0.0,0.7
73,Ke'Shawn Vaughn,1,1,6.0,6.0,5.0,5.0,1,1.0,0,0,0.0,0,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,0.0,0.6
74,C.J. Ham,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,0,0.0,5.0,0.0,0.0,0.5
75,Adam Prentice,1,2,5.0,2.5,3.0,1.5,2,1.0,0,0,0.0,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.5
76,Snoop Conner,1,2,5.0,2.5,2.0,1.0,3,1.5,0,0,0.0,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.5
77,Justice Hill,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,0,0.0,4.0,0.0,0.0,0.4
78,Jordan Wilkins,1,1,4.0,4.0,2.0,2.0,2,2.0,0,0,0.0,0,0,0,0,0,0,4,0,1,0,0,0.0,0.0,0.0,0.0,0.4
