RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Miles Sanders,1,17,144.0,8.5,113,6.6,31,1.8,1,0,0.0,40,5,2,1,1,0,40,1,3,0,4,2.0,11.0,11.0,0.0,0.0,27.5
2,Christian McCaffrey,1,14,119.0,8.5,84,6.0,35,2.5,0,2,-2.0,38,5,2,1,0,0,38,2,3,0,0,1.0,34.0,17.0,1.0,0.0,27.3
3,Jerick McKinnon,1,6,22.0,3.7,18,3.0,4,0.7,1,0,0.0,0,0,0,0,0,0,7,7,9,1,1,0.0,112.0,16.0,2.0,0.0,25.4
4,Tony Pollard,1,10,42.0,4.2,19,1.9,23,2.3,1,2,-5.0,11,3,0,0,0,0,18,4,5,2,6,1.0,20.0,5.0,1.0,0.0,18.2
5,J.K. Dobbins,1,15,120.0,8.0,90,6.0,30,2.0,3,0,0.0,4,3,1,1,1,0,44,0,0,0,0,1.0,0.0,0.0,0.0,0.0,18.0
6,Derrick Henry,1,17,121.0,7.1,63,3.7,58,3.4,2,1,-1.0,3,3,2,1,1,1,50,3,5,1,1,1.0,34.0,11.3,0.0,2.0,17.5
7,Josh Jacobs,1,27,99.0,3.7,38,1.4,61,2.3,0,1,-5.0,1,2,0,0,0,0,15,2,2,0,4,1.0,15.0,7.5,0.0,0.0,17.4
8,James Conner,1,15,85.0,5.7,30,2.0,55,3.7,1,0,0.0,10,2,1,0,0,0,23,6,7,0,11,1.0,29.0,4.8,0.0,0.0,17.4
9,Austin Ekeler,1,15,45.0,3.0,10,0.7,35,2.3,0,2,-2.0,1,3,0,0,0,0,12,8,8,3,23,1.0,59.0,7.4,0.0,0.0,16.4
10,Chuba Hubbard,1,14,74.0,5.3,41,2.9,33,2.4,2,0,0.0,2,3,0,0,0,0,12,3,3,0,0,1.0,25.0,8.3,0.0,0.0,15.9
11,Pierre Strong Jr.,1,5,70.0,14.0,58,11.6,12,2.4,0,0,0.0,3,2,1,1,1,0,44,2,2,0,2,1.0,20.0,10.0,0.0,0.0,15.0
12,Ezekiel Elliott,1,15,62.0,4.1,20,1.3,42,2.8,1,1,-1.0,2,1,1,0,0,0,25,3,5,0,0,1.0,19.0,6.3,0.0,0.0,14.1
13,Marlon Mack,1,3,15.0,5.0,13,4.3,2,0.7,0,0,0.0,0,0,0,0,0,0,6,2,3,0,30,0.0,62.0,31.0,1.0,0.0,13.7
14,Zonovan Knight,1,17,71.0,4.2,47,2.8,24,1.4,0,2,-3.0,13,4,0,0,0,0,13,2,2,0,6,1.0,6.0,3.0,0.0,0.0,13.7
15,Dameon Pierce,1,22,78.0,3.5,36,1.6,42,1.9,1,1,-1.0,1,1,1,0,0,0,24,0,0,0,0,1.0,0.0,0.0,0.0,1.0,11.8
16,Najee Harris,1,12,33.0,2.8,21,1.8,12,1.0,0,0,0.0,1,0,0,0,0,0,8,2,3,1,0,1.0,17.0,8.5,0.0,0.0,11.0
17,Raheem Blackshear,1,4,32.0,8.0,11,2.8,21,5.3,0,0,0.0,8,1,0,0,0,0,16,1,1,0,0,1.0,17.0,17.0,0.0,0.0,10.9
18,Joe Mixon,1,14,96.0,6.9,30,2.1,66,4.7,0,1,-3.0,0,3,1,1,1,0,40,2,2,0,4,0.0,10.0,5.0,0.0,0.0,10.6
19,Boston Scott,1,6,33.0,5.5,31,5.2,2,0.3,0,1,-1.0,3,2,0,0,0,0,11,1,1,0,0,1.0,4.0,4.0,0.0,0.0,9.7
20,Isiah Pacheco,1,13,70.0,5.4,54,4.2,16,1.2,1,0,0.0,0,2,0,0,0,0,10,3,3,0,0,0.0,23.0,7.7,0.0,0.0,9.3
21,Justin Jackson,1,4,19.0,4.8,0,0.0,0,0.0,0,0,0.0,15,1,0,0,0,0,15,1,1,0,3,1.0,12.0,12.0,0.0,0.0,9.1
22,Kevin Harris,1,8,26.0,3.3,10,1.3,16,2.0,1,2,-6.0,14,1,0,0,0,0,14,0,0,0,0,1.0,0.0,0.0,0.0,0.0,8.6
23,Samaje Perine,1,4,22.0,5.5,9,2.3,13,3.3,1,0,0.0,6,1,0,0,0,0,14,1,5,2,1,1.0,2.0,2.0,0.0,0.0,8.4
24,Cam Akers,1,12,42.0,3.5,22,1.8,20,1.7,0,1,-2.0,1,0,0,0,0,0,9,1,1,1,0,1.0,1.0,1.0,0.0,1.0,8.3
25,Dalvin Cook,1,15,23.0,1.5,19,1.3,4,0.3,0,3,-7.0,1,0,0,0,0,0,5,1,2,1,0,1.0,13.0,13.0,0.0,1.0,7.6
26,D'Onta Foreman,1,21,74.0,3.5,48,2.3,26,1.2,2,1,-1.0,0,1,0,0,0,0,11,1,1,0,0,0.0,1.0,1.0,0.0,0.0,7.5
27,Gus Edwards,1,13,66.0,5.1,45,3.5,21,1.6,1,1,-1.0,0,1,0,0,0,0,16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.6
28,Rachaad White,1,13,56.0,4.3,44,3.4,12,0.9,0,2,-5.0,0,0,0,0,0,0,9,5,5,0,4,0.0,21.0,4.2,0.0,1.0,5.7
29,Jordan Mason,1,11,56.0,5.1,27,2.5,29,2.6,0,2,-5.0,0,3,0,0,0,0,18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.6
30,Nick Chubb,1,14,34.0,2.4,16,1.1,18,1.3,0,2,-5.0,0,1,0,0,0,0,13,3,3,0,4,0.0,20.0,6.7,0.0,0.0,5.4
31,Saquon Barkley,1,9,28.0,3.1,13,1.4,15,1.7,0,1,-4.0,0,0,0,0,0,0,9,2,2,0,10,0.0,20.0,10.0,0.0,0.0,4.8
32,Leonard Fournette,1,4,13.0,3.3,7,1.8,6,1.5,0,0,0.0,0,0,0,0,0,0,8,6,7,0,6,0.0,33.0,5.5,0.0,0.0,4.6
33,Raheem Mostert,1,11,37.0,3.4,15,1.4,22,2.0,0,0,0.0,0,1,0,0,0,0,13,1,1,0,1,0.0,7.0,7.0,0.0,0.0,4.4
34,Devin Singletary,1,8,39.0,4.9,25,3.1,14,1.8,0,0,0.0,0,2,0,0,0,0,16,1,2,0,0,0.0,4.0,4.0,0.0,0.0,4.3
35,Gary Brightwell,1,5,23.0,4.6,16,3.2,7,1.4,0,0,0.0,0,1,0,0,0,0,13,2,3,1,8,0.0,18.0,9.0,0.0,0.0,4.1
36,D'Andre Swift,1,6,21.0,3.5,16,2.3,7,1.0,0,1,-1.0,0,0,0,0,0,0,9,3,4,0,1,0.0,18.0,6.0,0.0,0.0,3.9
