RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Josh Jacobs,1,20,143.0,7.2,98.0,4.9,45,2.3,0,2,-3.0,15,7,0,0,0,0,15,3,4,0,7,3.0,4.0,0.0,0.0,33.5
2,Kenneth Walker III,1,23,167.0,7.3,67.0,2.9,100,4.3,0,4,-9.0,74,5,1,1,1,1,74,0,0,0,0,2.0,0.0,0.0,0.0,28.7
3,Austin Ekeler,1,9,31.0,3.4,26.0,2.9,5,0.6,0,0,0.0,7,1,0,0,0,0,13,12,12,2,8,1.0,8.0,1.0,0.0,24.7
4,Aaron Jones Sr.,1,8,23.0,2.9,7.0,0.9,16,2.0,0,2,-7.0,0,0,0,0,0,0,8,9,10,1,13,0.0,5.9,2.0,0.0,19.6
5,Eno Benjamin,1,12,92.0,7.7,22.0,1.8,70,5.8,1,1,-3.0,5,2,1,1,1,0,45,4,5,1,8,1.0,5.3,0.0,0.0,19.3
6,Gus Edwards,1,16,66.0,4.1,38.0,2.4,28,1.8,4,0,0.0,7,1,0,0,0,0,12,0,1,0,0,2.0,0.0,0.0,0.0,18.6
7,Travis Etienne Jr.,1,14,114.0,8.1,90.0,6.4,24,1.7,1,0,0.0,7,3,1,1,1,0,49,1,5,1,0,1.0,5.0,0.0,1.0,17.9
8,Ezekiel Elliott,1,15,57.0,3.8,48.0,3.2,9,0.6,1,1,-2.0,1,2,0,0,0,0,18,0,0,0,0,2.0,0.0,0.0,0.0,17.7
9,Raheem Mostert,1,16,79.0,4.9,67.0,4.2,12,0.8,1,2,-2.0,0,3,0,0,0,0,12,4,5,2,13,0.0,7.5,1.0,0.0,16.9
10,Nick Chubb,1,16,91.0,5.7,40.0,2.5,51,3.2,3,0,0.0,2,3,1,0,0,0,22,2,3,0,9,1.0,8.0,0.0,0.0,16.7
11,Rhamondre Stevenson,1,11,39.0,3.5,17.0,1.5,22,2.0,0,0,0.0,4,0,0,0,0,0,7,8,8,0,14,1.0,7.4,0.0,0.0,15.8
12,Joe Mixon,1,17,58.0,3.4,51.0,3.0,7,0.4,0,1,-2.0,1,1,0,0,0,0,11,3,3,1,0,1.0,11.0,0.0,0.0,15.1
13,Khalil Herbert,1,12,62.0,5.2,32.0,2.7,30,2.5,1,0,0.0,0,2,0,0,0,0,13,1,2,0,0,0.0,25.0,1.0,0.0,14.7
14,D'Onta Foreman,1,15,118.0,7.9,61.0,4.1,57,3.8,1,1,-1.0,0,2,2,1,1,1,60,2,2,0,14,0.0,13.5,0.0,0.0,14.5
15,Derrick Henry,1,30,128.0,4.3,46.0,1.5,82,2.7,2,3,-6.0,0,3,2,0,0,0,23,3,3,0,5,0.0,3.3,0.0,0.0,13.8
16,Antonio Gibson,1,10,59.0,5.9,32.0,3.2,27,2.7,1,0,0.0,0,2,1,0,0,0,20,3,4,2,2,0.0,6.0,1.0,0.0,13.7
17,Saquon Barkley,1,24,110.0,4.6,54.0,2.3,56,2.3,1,4,-9.0,0,4,1,0,0,0,20,4,4,0,7,0.0,6.3,0.0,0.0,13.5
18,Chuba Hubbard,1,9,63.0,7.0,50.0,5.6,13,1.4,0,0,0.0,17,2,0,0,0,0,17,2,3,0,4,1.0,5.0,0.0,0.0,13.3
19,Breece Hall,1,4,72.0,18.0,67.0,16.8,5,1.3,0,0,0.0,62,1,1,1,1,1,62,0,0,0,0,1.0,0.0,0.0,0.0,13.2
20,David Montgomery,1,15,62.0,4.1,18.0,1.2,44,2.9,2,1,-2.0,1,1,0,0,0,0,12,0,0,0,0,1.0,0.0,0.0,0.0,12.2
21,Dameon Pierce,1,20,92.0,4.6,44.0,2.2,48,2.4,0,2,-6.0,0,3,1,0,0,0,22,4,4,1,8,0.0,6.3,0.0,0.0,11.7
22,Tyler Allgeier,1,16,50.0,3.1,35.0,2.2,15,0.9,0,2,-4.0,1,0,0,0,0,0,9,0,0,0,0,1.0,0.0,0.0,0.0,11.0
23,Tony Pollard,1,12,83.0,6.9,24.0,2.0,59,4.9,1,1,-1.0,0,2,2,0,0,0,28,2,2,0,0,0.0,13.0,0.0,0.0,10.9
24,Alvin Kamara,1,11,49.0,4.5,22.0,2.0,27,2.5,0,3,-5.0,0,3,0,0,0,0,17,7,9,0,12,0.0,8.0,0.0,0.0,10.5
25,Keaontay Ingram,1,9,14.0,1.6,-2.0,-0.2,16,1.8,0,1,-3.0,2,1,0,0,0,0,11,2,2,1,21,1.0,11.5,0.0,0.0,9.7
26,Clyde Edwards-Helaire,1,6,32.0,5.3,21.0,3.5,11,1.8,1,0,0.0,16,1,0,0,0,0,16,0,1,0,0,1.0,0.0,0.0,0.0,9.2
