RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Joe Mixon,1,22,153.0,7.0,69.0,3.1,84,3.8,2,1,-1.0,14,5,2,0,0,0,29,4,5,3,18,4.0,58.0,14.5,1.0,0.0,51.1
2,Kenneth Walker III,1,26,109.0,4.2,84.0,3.2,25,1.0,0,2,-5.0,5,3,0,0,0,0,15,3,4,0,7,2.0,20.0,6.7,0.0,0.0,24.9
3,Travis Etienne Jr.,1,28,109.0,3.9,52.0,1.9,57,2.0,4,3,-12.0,5,3,0,0,0,0,18,2,2,0,4,2.0,17.0,8.5,0.0,0.0,24.6
4,Derrick Henry,1,17,115.0,6.8,43.0,2.5,72,4.2,2,1,-2.0,4,2,2,1,1,1,56,0,0,0,0,2.0,0.0,0.0,0.0,0.0,23.5
5,Kenyan Drake,1,24,93.0,3.9,45.0,1.9,48,2.0,0,3,-12.0,3,2,0,0,0,0,18,2,2,1,3,2.0,16.0,8.0,0.0,0.0,22.9
6,Cordarrelle Patterson,1,13,44.0,3.4,39.0,3.0,5,0.4,0,1,-2.0,3,0,0,0,0,0,7,1,1,0,0,2.0,9.0,9.0,0.0,0.0,17.3
7,Austin Ekeler,1,14,47.0,3.4,38.0,2.5,9,0.6,0,1,-1.0,2,0,0,0,0,0,9,7,8,2,5,1.0,24.0,3.4,1.0,1.0,17.1
8,Miles Sanders,1,17,93.0,5.5,58.0,3.4,35,2.1,2,3,-5.0,2,4,1,0,0,0,25,0,0,0,0,1.0,0.0,0.0,0.0,0.0,15.3
9,Michael Carter,1,12,76.0,6.3,44.0,3.7,32,2.7,0,1,-4.0,6,3,1,0,0,0,25,1,1,1,0,1.0,10.0,10.0,0.0,0.0,14.6
10,Dameon Pierce,1,27,139.0,5.1,67.0,2.5,72,2.7,5,3,-5.0,0,3,1,1,0,0,36,0,0,0,0,0.0,0.0,0.0,0.0,0.0,13.9
11,Jeff Wilson Jr.,1,9,51.0,5.7,27.0,3.0,24,2.7,1,0,0.0,0,1,1,0,0,0,28,3,3,2,7,0.0,21.0,7.0,1.0,0.0,13.2
12,Rhamondre Stevenson,1,15,60.0,4.0,39.0,2.6,21,1.4,2,3,-10.0,0,3,0,0,0,0,16,3,7,2,2,0.0,10.0,3.3,1.0,0.0,13.0
13,Tyler Allgeier,1,10,99.0,9.9,62.0,6.2,37,3.7,0,0,0.0,0,2,1,1,1,0,44,1,1,0,3,0.0,24.0,24.0,0.0,0.0,12.3
14,Dalvin Cook,1,17,47.0,2.8,27.0,1.6,20,1.2,0,5,-7.0,0,0,0,0,0,0,9,2,6,2,0,0.0,9.0,4.5,1.0,0.0,11.6
