RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Josh Jacobs,1,33,229,6.9,161.0,4.9,68,2.1,0,2,-2.0,86,4,2,2,1,1,86,6,7,1,2,2.0,12.3,0.0,0.0,42.3
2,Miles Sanders,1,21,143,6.8,92.0,4.4,51,2.4,0,2,-3.0,15,4,2,0,0,0,28,3,3,0,5,2.0,5.7,0.0,0.0,28.0
3,Nick Chubb,1,26,116,4.5,80.0,3.1,36,1.4,2,4,-5.0,3,4,1,0,0,0,28,1,1,0,0,1.0,16.0,0.0,0.0,19.2
4,Brian Robinson Jr.,1,18,105,5.8,74.0,4.1,31,1.7,0,0,0.0,0,3,1,0,0,0,21,2,3,1,3,0.0,10.0,1.0,0.0,18.5
5,James Conner,1,25,120,4.8,85.0,3.4,35,1.4,1,2,-2.0,0,2,1,0,0,0,20,3,3,1,5,0.0,6.7,1.0,1.0,18.0
6,Kenneth Walker III,1,14,26,1.9,11.0,0.8,15,1.1,0,4,-22.0,14,2,0,0,0,0,14,1,1,0,0,2.0,13.0,0.0,0.0,15.9
7,Aaron Jones Sr.,1,12,43,3.6,25.0,2.1,18,1.5,0,1,-1.0,0,1,0,0,0,0,10,3,4,0,5,0.0,18.7,1.0,0.0,15.9
8,Jonathan Taylor,1,20,86,4.3,34.0,1.7,52,2.6,3,0,0.0,2,2,0,0,0,0,13,3,4,0,10,1.0,4.0,0.0,0.0,15.8
9,JaMycal Hasty,1,12,28,2.3,4.0,0.3,24,2.0,4,3,-6.0,0,1,0,0,0,0,13,5,5,1,14,0.0,13.4,1.0,0.0,15.5
10,Ezekiel Elliott,1,16,92,5.8,59.0,3.7,33,2.1,1,1,-3.0,6,4,1,0,0,0,22,1,1,1,0,1.0,3.0,0.0,0.0,15.5
