,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Mike Evans,1,10,207,20.7,159.0,15.9,0,0.0,48.0,4.8,5,0.5,0,12,28.6%,10,0,1,5,3,3,2,2
2,Davante Adams,1,7,153,21.9,109.0,15.6,0,0.0,44.0,6.3,1,0.1,0,11,34.4%,8,1,1,4,3,2,2,2
3,Amari Cooper,1,3,105,35.0,47.0,15.7,0,0.0,58.0,19.3,40,13.3,1,4,25.0%,3,0,0,3,3,2,1,1
4,DJ Moore,1,6,117,19.5,93.0,15.5,0,0.0,24.0,4.0,22,3.7,1,10,32.3%,6,0,0,4,3,1,1,1
5,Brandon Aiyuk,1,9,101,11.2,78.0,8.7,0,0.0,23.0,2.6,10,1.1,0,12,35.3%,11,2,3,6,1,0,0,0
6,A.J. Brown,1,4,97,24.3,46.0,11.5,0,0.0,51.0,12.8,3,0.8,0,9,28.1%,4,0,0,1,1,1,1,1
7,Jalen Nailor,1,3,89,29.7,58.0,19.3,0,0.0,31.0,10.3,24,8.0,1,3,8.6%,3,0,1,2,2,2,1,1
8,Richie James Jr.,1,7,76,10.9,46.0,6.6,0,0.0,30.0,4.3,4,0.6,0,7,30.4%,7,0,2,3,1,0,0,0
9,Shi Smith,1,4,70,17.5,18.0,4.5,0,0.0,52.0,13.0,4,1.0,0,4,12.9%,4,0,1,3,1,1,0,0
10,Chris Godwin,1,9,120,13.3,51.0,5.7,0,0.0,69.0,7.7,33,3.7,2,9,21.4%,9,0,0,6,2,0,0,0
11,Tyquan Thornton,1,3,60,20.0,57.0,19.0,0,0.0,3.0,1.0,0,0.0,0,7,21.9%,4,1,2,2,2,0,0,0
12,K.J. Osborn,1,7,59,8.4,32.0,4.6,0,0.0,27.0,3.9,9,1.3,0,7,20.0%,7,0,1,2,0,0,0,0
13,Tyreek Hill,1,4,55,13.8,50.0,12.5,0,0.0,5.0,1.3,2,0.5,0,7,17.5%,4,0,0,3,0,0,0,0
14,DeVonta Smith,1,9,115,12.8,58.0,6.4,0,0.0,57.0,6.3,7,0.8,0,13,40.6%,10,1,0,6,2,0,0,0
15,Jakobi Meyers,1,6,49,8.2,33.0,5.5,0,0.0,16.0,2.7,4,0.7,0,9,28.1%,7,1,2,2,1,0,0,0
16,Isaiah Hodgins,1,4,42,10.5,28.0,7.0,0,0.0,14.0,3.5,0,0.0,0,5,21.7%,4,0,1,2,0,0,0,0
17,Michael Pittman Jr.,1,6,41,6.8,33.0,5.5,0,0.0,8.0,1.3,0,0.0,0,8,29.6%,6,0,3,1,0,0,0,0
18,CeeDee Lamb,1,11,100,9.1,52.0,4.7,0,0.0,48.0,4.4,17,1.5,3,14,34.1%,11,0,1,5,1,1,0,0
19,Robert Woods,1,5,39,7.8,30.0,6.0,0,0.0,9.0,1.8,2,0.4,0,9,23.7%,6,1,2,1,0,0,0,0
20,Mike Williams,1,7,94,13.4,63.0,9.0,0,0.0,31.0,4.4,8,1.1,0,10,32.3%,7,0,1,4,1,0,0,0
21,Treylon Burks,1,4,66,16.5,48.0,12.0,0,0.0,18.0,4.5,18,4.5,1,8,21.1%,5,1,1,3,2,1,0,0
22,Rashid Shaheed,1,6,79,13.2,44.0,7.3,0,0.0,35.0,5.8,6,1.0,0,6,26.1%,6,0,0,1,1,1,1,1
23,Van Jefferson,1,3,77,25.7,76.0,25.3,0,0.0,1.0,0.3,0,0.0,0,3,16.7%,3,0,0,3,2,1,0,0
