,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Jerry Jeudy,1,8,73,9.1,44.0,5.5,0,0.0,29,3.6,0,0.0,0,9,20.9%,8,0,3,3,0,0,0,0
2,Justin Jefferson,1,11,223,20.3,167.0,15.2,0,0.0,56,5.1,14,1.3,1,15,37.5%,11,0,1,10,4,3,1,1
3,Ja'Marr Chase,1,10,119,11.9,94.0,9.4,0,0.0,25,2.5,7,0.7,0,15,46.9%,10,0,3,7,1,0,0,0
4,Mike Williams,1,6,116,19.3,83.0,13.8,0,0.0,33,5.5,7,1.2,0,6,12.5%,6,0,1,4,2,1,1,1
5,DJ Chark Jr.,1,6,94,15.7,54.0,9.0,0,0.0,40,6.7,0,0.0,0,7,19.4%,6,0,0,4,1,1,1,1
6,Marquise Goodwin,1,5,95,19.0,73.0,14.6,0,0.0,22,4.4,14,2.8,1,6,16.7%,5,0,1,4,2,1,0,0
7,Tyreek Hill,1,4,81,20.3,32.0,8.0,0,0.0,49,12.3,4,1.0,0,10,41.7%,5,1,0,2,1,1,1,1
8,Zay Jones,1,8,77,9.6,61.0,7.6,0,0.0,16,2.0,6,0.8,0,12,28.6%,9,1,0,2,1,0,0,0
9,JuJu Smith-Schuster,1,9,74,8.2,39.0,4.3,0,0.0,35,3.9,0,0.0,0,11,26.2%,9,0,2,4,1,0,0,0
10,DK Metcalf,1,5,71,14.2,59.0,11.8,0,0.0,12,2.4,3,0.6,0,10,27.8%,5,0,2,4,1,0,0,0
11,A.J. Brown,1,4,70,17.5,52.0,13.0,0,0.0,18,4.5,1,0.3,0,6,19.4%,4,0,1,2,1,1,0,0
12,Adam Thielen,1,7,65,9.3,38.0,5.4,0,0.0,27,3.9,16,2.3,1,8,20.0%,7,0,1,3,1,0,0,0
13,Chris Moore,1,10,124,12.4,79.0,7.9,0,0.0,45,4.5,6,0.6,0,11,45.8%,10,0,1,4,2,2,0,0
14,DeVonta Smith,1,5,64,12.8,30.0,6.0,0,0.0,34,6.8,15,3.0,0,8,25.8%,6,1,0,2,1,1,1,1
15,Richie James Jr.,1,7,61,8.7,47.0,6.7,0,0.0,14,2.0,0,0.0,0,9,28.1%,7,0,1,3,0,0,0,0
16,Tyler Lockett,1,5,60,12.0,59.0,11.8,0,0.0,1,0.2,0,0.0,0,9,25.0%,5,0,1,3,1,0,0,0
