,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Christian Watson,1,4,107.0,26.8,81.0,20.3,0,0.0,26,6.5,3,0.8,0,8,42.1%,5,1,1,2,2,2,1,1
2,CeeDee Lamb,1,11,150.0,13.6,109.0,9.9,0,0.0,41,3.7,15,1.4,1,15,34.1%,11,0,2,5,3,2,0,0
3,Justin Jefferson,1,10,193.0,19.3,161.0,16.1,0,0.0,32,3.2,31,3.1,1,16,32.0%,11,1,4,8,4,2,1,1
4,Nick Westbrook-Ikhine,1,5,119.0,23.8,68.0,13.6,0,0.0,51,10.2,18,3.6,0,8,22.2%,5,0,1,3,2,1,1,1
5,Christian Kirk,1,9,105.0,11.7,78.0,8.7,0,0.0,27,3.0,11,1.2,1,12,30.8%,10,1,3,5,1,0,0,0
6,Davante Adams,1,9,126.0,14.0,54.0,6.0,0,0.0,72,8.0,22,2.4,3,14,36.8%,10,1,2,5,1,1,1,1
7,Darius Slayton,1,3,95.0,31.7,19.0,6.3,0,0.0,76,25.3,54,18.0,0,4,23.5%,3,0,0,2,2,2,1,1
8,Gabe Davis,1,6,93.0,15.5,91.0,15.2,0,0.0,2,0.3,2,0.3,0,10,24.4%,7,1,2,5,2,0,0,0
9,Kadarius Toney,1,4,57.0,14.3,26.0,6.5,0,0.0,31,7.8,19,4.8,2,5,14.3%,5,1,1,2,2,0,0,0
10,Parris Campbell,1,7,76.0,10.9,30.0,4.3,0,0.0,46,6.6,11,1.6,0,9,33.3%,9,2,0,3,1,1,0,0
11,Chris Godwin,1,6,71.0,11.8,49.0,8.2,0,0.0,22,3.7,0,0.0,0,8,27.6%,6,0,1,4,0,0,0,0
12,Stefon Diggs,1,12,128.0,10.7,85.0,7.1,0,0.0,43,3.6,25,2.1,0,16,39.0%,12,0,2,6,1,0,0,0
13,Terry McLaurin,1,8,128.0,16.0,97.0,12.1,0,0.0,31,3.9,9,1.1,0,11,44.0%,8,0,0,5,2,1,1,1
14,Jalen Virgil,1,1,66.0,66.0,26.0,26.0,0,0.0,40,40.0,0,0.0,0,1,2.6%,1,0,0,1,1,1,1,1
15,DeAndre Carter,1,4,64.0,16.0,49.0,12.3,0,0.0,15,3.8,2,0.5,0,4,11.4%,4,0,0,2,2,2,0,0
16,Trent Sherfield Sr.,1,4,63.0,15.8,46.0,11.5,0,0.0,17,4.3,15,3.8,1,5,15.2%,4,0,1,3,1,0,0,0
17,Amon-Ra St. Brown,1,10,119.0,11.9,39.0,3.9,0,0.0,80,8.0,11,1.1,1,11,44.0%,10,0,1,6,2,0,0,0
18,Marquez Valdes-Scantling,1,3,60.0,20.0,56.0,18.7,0,0.0,4,1.3,0,0.0,0,4,11.4%,3,0,1,2,1,1,0,0
19,Laviska Shenault Jr.,1,3,17.0,5.7,-11.0,-3.7,0,0.0,28,9.3,9,3.0,0,4,25.0%,4,1,0,0,0,0,0,0
20,George Pickens,1,3,32.0,10.7,20.0,6.7,0,0.0,12,4.0,12,4.0,2,4,15.4%,3,0,0,2,0,0,0,0
21,Julio Jones,1,3,53.0,17.7,13.0,4.3,0,0.0,40,13.3,0,0.0,0,5,17.2%,3,0,0,2,1,1,0,0
22,Nico Collins,1,5,49.0,9.8,37.0,7.4,0,0.0,12,2.4,0,0.0,0,10,27.0%,6,1,3,3,0,0,0,0
23,Tyreek Hill,1,5,44.0,8.8,33.0,6.6,0,0.0,11,2.2,0,0.0,0,6,18.2%,5,0,1,2,1,0,0,0
24,Tyler Lockett,1,3,42.0,14.0,33.0,11.0,0,0.0,9,3.0,0,0.0,0,5,15.2%,3,0,0,3,1,0,0,0
25,Donovan Peoples-Jones,1,5,99.0,19.8,79.0,15.8,0,0.0,20,4.0,5,1.0,0,9,26.5%,5,0,1,4,2,1,0,0
26,Marquise Goodwin,1,2,38.0,19.0,38.0,19.0,0,0.0,0,0.0,0,0.0,0,2,6.1%,2,0,1,2,0,0,0,0
27,Drake London,1,5,38.0,7.6,30.0,6.0,0,0.0,8,1.6,0,0.0,0,6,20.7%,5,0,1,1,0,0,0,0
28,DeAndre Hopkins,1,10,98.0,9.8,68.0,6.8,0,0.0,30,3.0,13,1.3,0,14,40.0%,11,1,2,4,1,0,0,0
29,KhaDarel Hodge,1,2,37.0,18.5,36.0,18.0,0,0.0,1,0.5,0,0.0,0,2,6.9%,2,0,0,2,1,0,0,0
30,Rondale Moore,1,9,94.0,10.4,59.0,6.6,0,0.0,35,3.9,16,1.8,1,13,37.1%,10,1,1,4,1,0,0,0
31,Van Jefferson,1,3,27.0,9.0,23.0,7.7,0,0.0,4,1.3,3,1.0,0,3,8.1%,3,0,1,1,0,0,0,0
32,DeVonta Smith,1,6,39.0,6.5,15.0,2.5,0,0.0,24,4.0,12,2.0,1,8,32.0%,7,1,1,3,0,0,0,0
33,DK Metcalf,1,6,71.0,11.8,57.0,9.5,0,0.0,14,2.3,4,0.7,0,9,27.3%,6,0,1,5,0,0,0,0
34,Chris Moore,1,3,70.0,23.3,33.0,11.0,0,0.0,37,12.3,5,1.7,0,6,16.2%,4,0,2,3,3,0,0,0
35,A.J. Green,1,2,10.0,5.0,10.0,5.0,0,0.0,0,0.0,0,0.0,0,2,5.7%,2,0,1,0,0,0,0,0
36,Lawrence Cager,1,2,9.0,4.5,-2.0,-1.0,0,0.0,11,5.5,4,2.0,0,2,11.8%,2,0,1,0,0,0,0,0
37,Zay Jones,1,8,68.0,8.5,47.0,5.9,0,0.0,21,2.6,0,0.0,0,10,25.6%,8,0,1,2,0,0,0,0
38,Courtland Sutton,1,6,66.0,11.0,58.0,9.7,0,0.0,8,1.3,0,0.0,0,11,28.2%,7,1,0,3,0,0,0,0
39,Jaylen Waddle,1,4,66.0,16.5,53.0,13.3,0,0.0,13,3.3,1,0.3,0,5,15.2%,4,0,0,3,1,0,0,0
