,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Gabe Davis,1,3,171.0,57.0,104.0,34.7,0,0.0,67.0,22.3,7,2.3,0,6,16.7%,3,0,0,3,2,2,2,2
2,Davante Adams,1,3,124.0,41.3,100.0,33.3,0,0.0,24.0,8.0,0,0.0,0,7,25.9%,3,0,0,3,2,2,2,2
3,Dyami Brown,1,2,105.0,52.5,76.0,38.0,0,0.0,29.0,14.5,0,0.0,0,4,10.8%,2,0,0,2,2,2,1,1
4,Tyler Lockett,1,5,104.0,20.8,99.0,19.8,0,0.0,5.0,1.0,0,0.0,0,6,25.0%,5,0,0,4,2,2,1,1
5,Cooper Kupp,1,7,125.0,17.9,36.0,5.1,0,0.0,89.0,12.7,8,1.1,0,10,23.8%,7,0,0,3,1,1,1,1
6,Justin Jefferson,1,12,154.0,12.8,93.0,7.8,0,0.0,61.0,5.1,13,1.1,1,13,33.3%,12,0,2,8,1,1,0,0
7,Jakobi Meyers,1,7,111.0,15.9,70.0,10.0,0,0.0,41.0,5.9,2,0.3,1,8,38.1%,7,0,0,7,2,0,0,0
8,Stefon Diggs,1,8,102.0,12.8,34.0,4.3,0,0.0,68.0,8.5,0,0.0,0,11,30.6%,8,0,3,5,1,1,1,1
9,Marquise Brown,1,8,78.0,9.8,44.0,5.5,0,0.0,34.0,4.3,23,2.9,0,10,26.3%,9,1,0,4,1,0,0,0
10,Amari Cooper,1,7,76.0,10.9,72.0,10.3,0,0.0,4.0,0.6,0,0.0,0,12,37.5%,8,1,3,5,1,0,0,0
11,Khalil Shakir,1,3,75.0,25.0,50.0,16.7,0,0.0,25.0,8.3,0,0.0,0,5,13.9%,4,1,0,3,3,1,0,0
