,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Justin Jefferson,1,9,184,20.4,103.0,11.4,0,0.0,81.0,9.0,5,0.6,0,11,35.5%,9,0,3,6,5,2,1,1
2,Davante Adams,1,10,141,14.1,79.0,7.9,0,0.0,62.0,6.2,17,1.7,0,17,48.6%,10,0,3,7,3,1,1,1
3,Ja'Marr Chase,1,10,129,12.9,65.0,6.5,0,0.0,64.0,6.4,21,2.1,4,16,30.2%,11,1,6,8,2,0,0,0
4,Cooper Kupp,1,13,128,9.8,71.0,5.5,0,0.0,57.0,4.4,28,2.2,0,15,36.6%,13,0,1,3,3,0,0,0
5,Stefon Diggs,1,8,122,15.3,95.0,11.9,0,0.0,27.0,3.4,1,0.1,0,9,29.0%,8,0,1,5,2,1,1,1
6,Michael Pittman Jr.,1,9,121,13.4,77.0,8.6,0,0.0,44.0,4.9,6,0.7,0,13,26.5%,10,1,2,6,2,0,0,0
7,Michael Thomas,1,5,57,11.4,52.0,10.4,0,0.0,5.0,1.0,0,0.0,0,8,25.0%,7,1,2,2,2,0,0,0
8,Devin Duvernay,1,4,54,13.5,47.0,11.8,0,0.0,7.0,1.8,0,0.0,0,4,13.8%,4,0,1,2,1,0,0,0
9,Robbie Chosen,1,5,102,20.4,51.0,10.2,0,0.0,51.0,10.2,0,0.0,0,8,30.8%,5,0,1,2,1,1,1,1
10,Jerry Jeudy,1,4,102,25.5,31.0,7.8,0,0.0,71.0,17.8,45,11.3,1,7,17.1%,5,1,2,3,1,1,1,1
11,A.J. Brown,1,10,155,15.5,92.0,9.2,0,0.0,63.0,6.3,47,4.7,2,13,44.8%,10,0,2,8,1,1,1,1
12,Jahan Dotson,1,3,40,13.3,39.0,13.0,0,0.0,1.0,0.3,1,0.3,0,5,12.2%,3,0,1,1,1,0,0,0
13,Gabe Davis,1,4,88,22.0,70.0,17.5,0,0.0,18.0,4.5,4,1.0,0,5,16.1%,4,0,0,3,2,1,1,1
14,Jaylen Waddle,1,4,69,17.3,39.0,9.8,0,0.0,30.0,7.5,25,6.3,0,5,16.1%,4,0,0,2,1,1,1,1
15,Sterling Shepard,1,2,71,35.5,43.0,21.5,0,0.0,28.0,14.0,22,11.0,1,4,19.0%,2,0,0,1,1,1,1,1
16,Mike Evans,1,5,71,14.2,61.0,12.2,0,0.0,10.0,2.0,5,1.0,0,7,25.9%,5,0,1,4,1,0,0,0
