RANK,PLAYER,GAMES,RECEIVING_REC,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_YBC,RECEIVING_YBC/R,RECEIVING_AIR,RECEIVING_AIR/R,RECEIVING_YAC,RECEIVING_YACON,RECEIVING_YACON/R,RECEIVING_BRKTKL,TARGETS_TGT,TARGETS_%_TM,TARGETS_CATCHABLE,TARGETS_DROP,TARGETS_RZ_TGT,BIG_PLAYS_10+_YDS,BIG_PLAYS_20+_YDS,BIG_PLAYS_30+_YDS,BIG_PLAYS_40+_YDS,BIG_PLAYS_50+_YDS,BIG_PLAYS_LNG,RECEIVING_TD,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_FPTS
1,Cole Kmet,1,5,41,8.2,19.0,3.8,0,0.0,22,4.4,5,1.0,1,6,0.222,5,0,2,2,0,0,0,0,2.0,2.0,9.0,0.0,0.0,17.0
2,Dallas Goedert,1,8,100,12.5,65.0,8.1,0,0.0,35,4.4,0,0.0,0,9,0.36,8,0,1,6,1,0,0,0,1.0,0.0,0.0,0.0,0.0,16.0
3,Cade Otton,1,5,68,13.6,34.0,6.8,0,0.0,34,6.8,11,2.2,1,6,0.109,5,0,2,4,1,0,0,0,1.0,0.0,0.0,0.0,0.0,12.8
4,Travis Kelce,1,10,106,10.6,58.0,5.8,0,0.0,48,4.8,20,2.0,1,17,0.27399999999999997,14,4,1,5,1,0,0,0,0.0,0.0,0.0,0.0,0.0,10.6
5,Juwan Johnson,1,2,42,21.0,11.0,5.5,0,0.0,31,15.5,28,14.0,1,2,0.071,2,0,0,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,10.2
6,Zach Ertz,1,5,40,8.0,37.0,7.4,0,0.0,3,0.6,0,0.0,0,8,0.242,5,0,1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,10.0
7,Noah Fant,1,5,96,19.2,24.0,4.8,0,0.0,72,14.4,9,1.8,0,6,0.188,6,1,0,4,1,1,1,1,0.0,0.0,0.0,0.0,0.0,9.6
8,Isaiah Likely,1,1,24,24.0,22.0,22.0,0,0.0,2,2.0,0,0.0,0,5,0.22699999999999998,3,2,0,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,8.4
9,T.J. Hockenson,1,9,70,7.8,57.0,6.3,0,0.0,13,1.4,0,0.0,0,9,0.231,9,0,3,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.0
10,James Mitchell,1,2,8,4.0,5.0,2.5,0,0.0,3,1.5,1,0.5,0,2,0.083,2,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,6.8
11,Teagan Quitoriano,1,1,2,2.0,2.0,2.0,0,0.0,0,0.0,0,0.0,0,1,0.048,1,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,6.2
12,Shane Zylstra,1,1,1,1.0,1.0,1.0,0,0.0,0,0.0,0,0.0,0,1,0.042,1,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,6.1
13,Tommy Tremble,1,2,11,5.5,0.0,0.0,0,0.0,11,5.5,2,1.0,0,4,0.133,2,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,5.1
14,Hunter Henry,1,4,50,12.5,35.0,8.8,0,0.0,15,3.8,1,0.3,0,4,0.138,4,0,0,2,1,1,0,0,0.0,0.0,0.0,0.0,0.0,5.0
15,Chig Okonkwo,1,1,48,48.0,-4.0,-4.0,0,0.0,52,52.0,47,47.0,2,3,0.231,1,0,0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,4.8
