RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Joe Mixon,1,29,127,4.4,74.0,2.6,53,1.8,6,1,-1.0,2,3,0,0,0,0,19,4,4,0,3,1.0,5.8,0.0,0.0,21.0
2,Nick Chubb,1,15,83,5.5,48.0,3.2,35,2.3,2,2,-3.0,18,2,0,0,0,0,18,2,2,0,0,2.0,9.0,0.0,1.0,20.1
3,Christian McCaffrey,1,21,98,4.7,59.0,2.8,39,1.9,0,1,-6.0,0,2,0,0,0,0,18,9,9,1,21,0.0,9.9,0.0,0.0,18.7
4,Melvin Gordon III,1,11,101,9.2,79.0,7.2,22,2.0,0,1,-1.0,70,1,1,1,1,1,70,3,3,0,2,1.0,5.7,0.0,0.0,17.8
5,David Montgomery,1,16,108,6.8,27.0,1.7,81,5.1,2,0,0.0,3,3,1,1,1,0,41,1,1,0,2,1.0,10.0,0.0,0.0,17.8
6,Jamaal Williams,1,9,54,6.0,40.0,4.4,14,1.6,1,1,-1.0,1,2,1,0,0,0,20,8,9,0,6,1.0,7.0,0.0,0.0,17.0
7,D'Andre Swift,1,11,39,3.5,34.0,3.1,5,0.5,0,3,-9.0,0,2,0,0,0,0,16,8,11,1,26,0.0,8.1,1.0,0.0,16.4
8,Elijah Mitchell,1,19,104,5.5,64.0,3.4,40,2.1,3,0,0.0,38,3,1,1,0,0,38,0,0,0,0,1.0,0.0,0.0,0.0,16.4
9,Josh Jacobs,1,10,34,3.4,14.0,1.4,20,2.0,2,1,-2.0,15,2,0,0,0,0,15,1,2,0,1,2.0,6.0,0.0,0.0,16.0
10,Ty'Son Williams,1,9,65,7.2,14.0,1.6,51,5.7,0,1,-1.0,35,2,1,1,0,0,35,3,4,0,5,1.0,9.7,0.0,0.0,15.4
11,Alvin Kamara,1,20,83,4.2,56.0,2.8,27,1.4,0,0,0.0,0,2,0,0,0,0,14,3,4,2,4,0.0,2.7,1.0,0.0,15.1
12,Darrell Henderson Jr.,1,16,70,4.4,48.0,3.0,22,1.4,0,1,-2.0,1,1,0,0,0,0,15,1,1,1,14,1.0,17.0,0.0,0.0,14.7
