RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Derrick Henry,1,20,143.0,7.2,47,2.4,96,4.8,1,3,-5.0,76,3,1,1,1,1,76,2,3,0,6,3.0,6.5,0.0,0.0,33.6
2,Jonathan Taylor,1,14,145.0,10.4,62,4.4,83,5.9,1,1,-1.0,11,5,1,1,1,1,83,1,2,0,2,2.0,13.0,0.0,0.0,27.8
3,Leonard Fournette,1,22,81.0,3.7,37,1.7,44,2.0,1,1,-1.0,2,1,1,0,0,0,20,6,6,0,27,2.0,7.7,0.0,0.0,24.7
4,Darrell Henderson Jr.,1,21,78.0,3.7,43,2.0,35,1.7,0,0,0.0,2,1,0,0,0,0,10,2,3,1,2,1.0,14.5,1.0,0.0,22.7
5,Joe Mixon,1,18,94.0,5.2,20,1.1,74,4.1,1,0,0.0,0,2,0,0,0,0,18,5,6,0,4,0.0,11.8,1.0,0.0,21.3
6,Darrel Williams,1,21,62.0,3.0,39,1.9,23,1.1,0,2,-2.0,3,1,0,0,0,0,11,3,4,0,13,2.0,9.0,0.0,0.0,20.9
7,Dalvin Cook,1,29,140.0,4.8,69,2.4,71,2.4,2,6,-12.0,16,5,1,0,0,0,23,2,2,0,2,1.0,1.5,0.0,0.0,20.3
8,Kenyan Drake,1,4,34.0,8.5,28,7.0,6,1.5,0,0,0.0,18,1,0,0,0,0,18,2,2,0,1,1.0,19.5,1.0,0.0,19.3
9,Najee Harris,1,24,81.0,3.4,38,1.6,43,1.8,0,2,-3.0,0,2,0,0,0,0,10,6,7,1,18,0.0,7.7,1.0,0.0,18.7
10,Khalil Herbert,1,19,97.0,5.1,58,3.1,39,2.1,1,0,0.0,1,3,1,0,0,0,25,2,3,0,13,1.0,7.5,0.0,0.0,17.2
11,Aaron Jones Sr.,1,13,76.0,5.8,50,3.8,26,2.0,0,0,0.0,0,1,1,0,0,0,28,4,4,1,14,0.0,8.5,1.0,0.0,17.0
12,Damien Harris,1,18,101.0,5.6,57,3.2,44,2.4,0,0,0.0,4,3,2,0,0,0,21,1,1,0,0,1.0,7.0,0.0,0.0,16.8
13,James Robinson,1,17,73.0,4.3,24,1.4,49,2.9,0,0,0.0,1,1,1,0,0,0,24,3,4,1,10,1.0,9.3,0.0,0.0,16.1
14,Alex Collins,1,20,101.0,5.1,52,2.6,49,2.5,1,3,-3.0,2,3,1,0,0,0,21,1,1,0,0,1.0,-3.0,0.0,0.0,15.8
15,Josh Jacobs,1,16,53.0,3.3,30,1.9,23,1.4,1,0,0.0,3,0,0,0,0,0,6,1,1,0,0,1.0,29.0,0.0,0.0,14.2
16,Chris Evans,1,4,18.0,4.5,9,2.3,9,2.3,0,0,0.0,0,0,0,0,0,0,6,3,3,1,14,0.0,16.3,1.0,0.0,12.7
17,D'Andre Swift,1,13,24.0,1.8,12,0.9,12,0.9,0,2,-7.0,1,0,0,0,0,0,9,5,7,2,6,1.0,8.6,0.0,0.0,12.7
18,Chuba Hubbard,1,16,61.0,3.8,23,1.4,38,2.4,0,1,-2.0,2,0,0,0,0,0,9,1,3,0,0,1.0,4.0,0.0,0.0,12.5
19,Rhamondre Stevenson,1,5,23.0,4.6,5,1.0,18,3.6,0,0,0.0,1,1,0,0,0,0,11,3,3,0,12,1.0,13.0,0.0,0.0,12.2
20,Ezekiel Elliott,1,17,69.0,4.1,48,2.8,21,1.2,0,2,-2.0,0,2,1,0,0,0,21,7,9,1,0,0.0,7.1,0.0,0.0,11.9
21,Latavius Murray,1,9,44.0,4.9,29,3.2,15,1.7,2,0,0.0,14,1,0,0,0,0,14,2,2,0,4,1.0,6.0,0.0,0.0,11.6
22,Devonta Freeman,1,9,53.0,5.9,31,3.4,22,2.4,0,1,-3.0,9,1,0,0,0,0,16,0,2,0,0,1.0,0.0,0.0,0.0,11.3
23,J.D. McKissic,1,8,45.0,5.6,33,4.1,12,1.5,0,0,0.0,0,1,0,0,0,0,11,8,10,0,7,0.0,8.1,0.0,0.0,11.0
24,Mark Ingram II,1,18,73.0,4.1,50,2.8,23,1.3,1,0,0.0,0,2,1,0,0,0,24,2,2,1,5,0.0,4.0,0.0,0.0,8.1
25,Kareem Hunt,1,14,66.0,4.7,41,2.9,25,1.8,1,2,-3.0,0,3,0,0,0,0,17,3,3,1,0,0.0,4.0,0.0,0.0,7.8
26,Le'Veon Bell,1,8,18.0,2.3,13,1.6,5,0.6,0,1,-1.0,2,0,0,0,0,0,7,0,0,0,0,1.0,0.0,0.0,0.0,7.8
27,Elijhaa Penny,1,3,15.0,5.0,8,2.7,7,2.3,0,0,0.0,4,0,0,0,0,0,6,1,2,1,0,1.0,1.0,0.0,0.0,7.6
28,Melvin Gordon III,1,10,50.0,5.0,30,3.0,20,2.0,1,0,0.0,0,1,0,0,0,0,10,3,3,0,5,0.0,7.7,0.0,0.0,7.3
29,James Conner,1,16,71.0,4.4,26,1.6,45,2.8,3,1,-2.0,0,1,0,0,0,0,16,1,1,0,0,0.0,0.0,0.0,0.0,7.1
30,Devontae Booker,1,12,41.0,3.4,22,1.8,19,1.6,0,1,-1.0,0,1,0,0,0,0,14,4,4,0,9,0.0,7.0,0.0,0.0,6.9
31,Javonte Williams,1,11,53.0,4.8,34,3.1,19,1.7,2,0,0.0,0,2,1,1,0,0,30,3,3,0,7,0.0,5.0,0.0,0.0,6.8
32,Miles Sanders,1,9,56.0,6.2,39,4.3,17,1.9,0,2,-3.0,0,3,1,0,0,0,23,2,4,0,5,0.0,5.0,0.0,0.0,6.6
33,Tony Pollard,1,10,41.0,4.1,28,2.8,13,1.3,0,0,0.0,0,0,0,0,0,0,9,3,3,0,4,0.0,7.3,0.0,0.0,6.3
34,AJ Dillon,1,11,59.0,5.4,17,1.5,42,3.8,2,1,-6.0,0,1,1,1,0,0,36,0,0,0,0,0.0,0.0,0.0,0.0,5.9
35,Austin Ekeler,1,6,7.0,1.2,2,0.3,5,0.8,0,2,-3.0,0,0,0,0,0,0,5,4,7,0,15,0.0,12.0,0.0,0.0,5.5
36,Phillip Lindsay,1,7,39.0,5.6,37,5.3,2,0.3,0,2,-2.0,0,1,1,1,0,0,35,2,2,0,1,0.0,7.5,0.0,0.0,5.4
37,Travis Homer,1,2,27.0,13.5,12,6.0,15,7.5,0,0,0.0,0,1,1,0,0,0,26,1,1,0,24,0.0,27.0,0.0,0.0,5.4
38,Chase Edmonds,1,4,46.0,11.5,39,9.8,7,1.8,0,0,0.0,0,1,1,1,1,0,40,3,4,2,2,0.0,1.3,0.0,0.0,5.0
39,DeeJay Dallas,1,4,17.0,4.3,6,1.5,11,2.8,0,1,-4.0,0,1,0,0,0,0,10,5,5,0,10,0.0,6.6,0.0,0.0,5.0
40,Devin Singletary,1,5,27.0,5.4,6,1.2,21,4.2,1,0,0.0,0,1,0,0,0,0,14,5,5,2,5,0.0,3.2,0.0,0.0,4.3
41,Sony Michel,1,9,42.0,4.7,17,1.9,25,2.8,1,0,0.0,0,1,0,0,0,0,15,0,0,0,0,0.0,0.0,0.0,0.0,4.2
42,Zack Moss,1,8,24.0,3.0,10,1.3,14,1.8,1,1,-3.0,0,0,0,0,0,0,7,2,4,0,2,0.0,7.5,0.0,0.0,3.9
43,Salvon Ahmed,1,7,22.0,3.1,6,0.9,16,2.3,0,0,0.0,0,0,0,0,0,0,5,1,2,0,4,0.0,15.0,0.0,0.0,3.7
44,Malcolm Brown,1,5,24.0,4.8,13,2.6,11,2.2,0,0,0.0,0,1,0,0,0,0,16,1,1,0,2,0.0,7.0,0.0,0.0,3.1
45,C.J. Ham,1,1,30.0,30.0,22,22.0,8,8.0,0,0,0.0,0,1,1,1,0,0,30,0,0,0,0,0.0,0.0,0.0,0.0,3.0
46,Ronald Jones II,1,5,20.0,4.0,10,2.0,10,2.0,0,0,0.0,0,0,0,0,0,0,9,1,1,0,1,0.0,9.0,0.0,0.0,2.9
47,Antonio Gibson,1,10,44.0,4.4,23,2.3,21,2.1,1,0,0.0,0,1,0,0,0,0,15,2,3,0,1,0.0,0.0,0.0,1.0,2.4
48,Nyheim Hines,1,4,13.0,3.3,8,2.0,5,1.3,0,0,0.0,0,0,0,0,0,0,7,1,2,0,4,0.0,9.0,0.0,0.0,2.2
49,Kalen Ballage,1,2,15.0,7.5,0,0.0,15,7.5,0,0,0.0,0,1,0,0,0,0,11,0,0,0,0,0.0,0.0,0.0,0.0,1.5
50,Jerick McKinnon,1,3,10.0,3.3,7,2.3,3,1.0,0,0,0.0,0,0,0,0,0,0,5,1,4,1,5,0.0,5.0,0.0,0.0,1.5
51,Myles Gaskin,1,5,9.0,1.8,3,0.6,6,1.2,0,1,-1.0,0,0,0,0,0,0,4,2,6,2,0,0.0,2.5,0.0,0.0,1.4
52,Jonathan Ward,1,4,14.0,3.5,8,2.0,6,1.5,0,1,-2.0,0,0,0,0,0,0,7,0,0,0,0,0.0,0.0,0.0,0.0,1.4
53,Demetric Felton Jr.,1,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,0,0,0.0,7.0,0.0,0.0,1.4
54,Trayveon Williams,1,6,13.0,2.2,5,0.8,8,1.3,0,1,-2.0,0,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,0.0,1.3
55,Marlon Mack,1,5,12.0,2.4,6,1.2,6,1.2,0,1,-1.0,0,0,0,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0.0,1.2
56,Alexander Mattison,1,3,10.0,3.3,3,1.0,7,2.3,1,0,0.0,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0.0,1.0
