RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Derrick Henry,1,29,130.0,4.5,79.0,2.7,51,1.8,4,2,-3.0,10,4,0,0,0,0,15,0,0,0,0,3.0,0.0,0.0,0.0,0.0,31.0
2,Jonathan Taylor,1,15,53.0,3.5,20.0,1.3,33,2.2,0,4,-7.0,4,2,0,0,0,0,19,3,4,0,27,1.0,116.0,38.7,1.0,0.0,28.9
3,Austin Ekeler,1,17,66.0,3.9,34.0,2.0,32,1.9,1,0,0.0,4,0,0,0,0,0,9,5,5,1,10,2.0,53.0,10.6,1.0,1.0,27.9
4,Alvin Kamara,1,16,71.0,4.4,45.0,2.8,26,1.6,2,1,-2.0,23,2,1,0,0,0,23,5,8,1,4,1.0,51.0,10.2,1.0,0.0,24.2
5,Ezekiel Elliott,1,21,110.0,5.2,70.0,3.3,40,1.9,0,1,-2.0,13,5,0,0,0,0,15,2,3,1,0,1.0,2.0,1.0,1.0,0.0,23.2
6,Nick Chubb,1,21,161.0,7.7,50.0,2.4,111,5.3,4,3,-7.0,52,4,3,1,1,1,52,1,1,0,2,1.0,9.0,9.0,0.0,0.0,23.0
7,Myles Gaskin,1,5,25.0,5.0,20.0,4.0,5,1.0,0,0,0.0,0,1,0,0,0,0,13,10,10,1,19,0.0,74.0,7.4,2.0,0.0,21.9
8,Kareem Hunt,1,12,61.0,5.1,15.0,1.3,46,3.8,1,0,0.0,8,1,0,0,0,0,12,5,6,1,2,2.0,28.0,5.6,0.0,0.0,20.9
9,James Robinson,1,18,149.0,8.3,101.0,5.6,48,2.7,6,1,-1.0,1,4,1,1,1,1,58,1,1,0,0,1.0,-2.0,-2.0,0.0,0.0,20.7
10,Najee Harris,1,23,122.0,5.3,69.0,3.0,53,2.3,2,2,-2.0,1,3,1,0,0,0,20,2,5,3,6,1.0,20.0,10.0,0.0,0.0,20.2
