RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Alvin Kamara,1,20,51.0,2.6,29.0,1.5,22,1.1,0,2,-3.0,0,1,0,0,0,0,12,10,11,1,40,0.0,12.8,1.0,0.0,23.9
2,Damien Harris,1,14,106.0,7.6,76.0,5.4,30,2.1,0,1,-2.0,3,4,1,1,0,0,32,2,2,0,0,2.0,3.5,0.0,0.0,23.3
3,D'Ernest Johnson,1,22,146.0,6.6,63.0,2.9,83,3.8,1,0,0.0,4,4,2,0,0,0,20,2,2,0,9,1.0,11.0,0.0,0.0,22.8
4,D'Andre Swift,1,13,48.0,3.7,25.0,1.9,23,1.8,1,0,0.0,0,2,0,0,0,0,14,8,10,1,63,0.0,12.0,1.0,0.0,20.4
5,Elijah Mitchell,1,18,107.0,5.9,58.0,3.2,49,2.7,2,1,-3.0,14,4,1,0,0,0,20,0,0,0,0,1.0,0.0,0.0,0.0,16.7
6,Leonard Fournette,1,15,81.0,5.4,41.0,2.7,40,2.7,3,2,-4.0,2,3,0,0,0,0,15,2,4,1,1,1.0,4.5,0.0,0.0,15.0
7,Jonathan Taylor,1,18,107.0,5.9,39.0,2.2,68,3.8,3,2,-4.0,5,3,1,1,0,0,33,3,3,0,3,1.0,1.0,0.0,1.0,15.0
8,J.J. Taylor,1,9,21.0,2.3,16.0,1.8,5,0.6,0,3,-5.0,1,1,0,0,0,0,15,1,1,0,5,2.0,5.0,0.0,0.0,14.6
9,Derrick Henry,1,29,86.0,3.0,28.0,1.0,58,2.0,1,4,-10.0,0,1,0,0,0,0,11,2,2,1,3,0.0,8.0,0.0,0.0,14.4
10,Brandon Bolden,1,2,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,6,7,3,22,0.0,13.2,1.0,0.0,13.9
11,Kenyan Drake,1,14,69.0,4.9,36.0,2.6,33,2.4,0,1,-3.0,4,2,0,0,0,0,12,3,3,1,1,1.0,3.3,0.0,0.0,13.9
12,Myles Gaskin,1,15,67.0,4.5,45.0,3.0,22,1.5,2,1,-5.0,0,2,0,0,0,0,16,4,4,2,7,0.0,2.5,1.0,0.0,13.7
13,Samaje Perine,1,11,52.0,4.7,11.0,1.0,41,3.7,0,3,-9.0,46,1,1,1,1,0,46,1,1,0,3,1.0,23.0,0.0,0.0,13.5
14,Khalil Herbert,1,18,100.0,5.6,49.0,2.7,51,2.8,2,2,-2.0,0,3,1,0,0,0,29,5,5,0,8,0.0,6.6,0.0,0.0,13.3
15,Josh Jacobs,1,6,29.0,4.8,21.0,3.5,8,1.3,0,0,0.0,8,0,0,0,0,0,9,3,3,0,11,1.0,13.0,0.0,0.0,12.8
16,Devontae Booker,1,14,51.0,3.6,36.0,2.6,15,1.1,0,3,-4.0,19,2,0,0,0,0,19,2,3,0,0,1.0,7.5,0.0,0.0,12.6
17,James Conner,1,10,64.0,6.4,40.0,4.0,24,2.4,2,0,0.0,18,3,0,0,0,0,18,0,0,0,0,1.0,0.0,0.0,0.0,12.4
18,Cordarrelle Patterson,1,14,60.0,4.3,21.0,1.5,39,2.8,1,0,0.0,3,2,0,0,0,0,13,2,5,0,0,1.0,0.5,0.0,0.0,12.1
19,Joe Mixon,1,12,59.0,4.9,39.0,3.3,20,1.7,1,1,-1.0,21,2,1,0,0,0,21,0,0,0,0,1.0,0.0,0.0,0.0,11.9
20,Javonte Williams,1,4,20.0,5.0,8.0,2.0,12,3.0,0,0,0.0,0,0,0,0,0,0,7,6,7,1,13,0.0,5.3,1.0,0.0,11.2
21,Kenneth Gainwell,1,5,20.0,4.0,11.0,2.2,9,1.8,0,0,0.0,0,0,0,0,0,0,7,4,8,1,3,0.0,10.3,1.0,1.0,10.1
