RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
45,Rodney Smith,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,5,5,0,5,0.0,48.0,9.6,0.0,0.0,4.8
46,Miles Sanders,1,7,13.0,1.9,3.0,0.4,10,1.4,1,1,-4.0,0,0,0,0,0,0,5,3,3,1,17,0.0,34.0,11.3,0.0,0.0,4.7
47,Dalvin Cook,1,9,34.0,3.8,25.0,2.8,9,1.0,0,1,-1.0,0,2,0,0,0,0,13,2,6,1,6,0.0,10.0,5.0,0.0,0.0,4.4
48,Kyle Juszczyk,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,4,4,0,4,0.0,41.0,10.3,0.0,0.0,4.1
49,Chris Carson,1,13,30.0,2.3,10.0,0.8,20,1.5,0,3,-4.0,0,0,0,0,0,0,8,1,1,0,1,0.0,1.0,1.0,0.0,0.0,3.1
50,Larry Rountree III,1,11,31.0,2.8,14.0,1.3,17,1.5,0,1,-2.0,0,0,0,0,0,0,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.1
51,Tevin Coleman,1,4,14.0,3.5,4.0,1.0,10,2.5,0,1,-1.0,0,0,0,0,0,0,8,2,2,1,4,0.0,17.0,8.5,0.0,0.0,3.1
52,Wayne Gallman Jr.,1,6,29.0,4.8,19.0,3.2,10,1.7,1,0,0.0,0,2,0,0,0,0,13,0,1,0,0,0.0,0.0,0.0,0.0,0.0,2.9
53,Malcolm Brown,1,8,23.0,2.9,14.0,1.8,9,1.1,2,0,0.0,0,0,0,0,0,0,4,1,1,1,0,0.0,4.0,4.0,0.0,0.0,2.7
54,Damien Harris,1,4,-4.0,-1.0,-5.0,-1.3,1,0.3,0,2,-5.0,0,0,0,0,0,0,1,2,2,0,9,0.0,30.0,15.0,0.0,0.0,2.6
55,Mark Ingram II,1,6,24.0,4.0,13.0,2.2,11,1.8,0,0,0.0,0,1,0,0,0,0,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.4
56,Marlon Mack,1,10,22.0,2.2,18.0,1.8,4,0.4,1,3,-9.0,0,2,0,0,0,0,12,1,2,0,0,0.0,1.0,1.0,0.0,0.0,2.3
57,Samaje Perine,1,3,7.0,2.3,5.0,1.7,2,0.7,0,0,0.0,0,0,0,0,0,0,4,1,1,0,0,0.0,15.0,15.0,0.0,0.0,2.2
58,Andy Janovich,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
59,Alexander Mattison,1,10,20.0,2.0,5.0,0.5,15,1.5,1,2,-4.0,0,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
60,Ty Johnson,1,3,1.0,0.3,-2.0,-0.7,3,1.0,0,1,-2.0,0,0,0,0,0,0,2,2,2,0,4,0.0,12.0,6.0,0.0,0.0,1.3
61,Justin Jackson,1,3,-4.0,-1.3,0.0,0.0,0,0.0,0,2,-4.0,0,0,0,0,0,0,0,4,4,2,5,0.0,17.0,4.3,0.0,0.0,1.3
62,Salvon Ahmed,1,3,1.0,0.3,0.0,0.0,0,0.0,0,2,-3.0,0,0,0,0,0,0,4,2,2,0,0,0.0,12.0,6.0,0.0,0.0,1.3
63,Jacques Patrick,1,2,12.0,6.0,8.0,4.0,4,2.0,0,0,0.0,0,0,0,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.2
64,Royce Freeman,1,3,12.0,4.0,7.0,2.3,5,1.7,0,0,0.0,0,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.2
65,Jaret Patterson,1,2,1.0,0.5,0.0,0.0,1,0.5,0,1,-2.0,0,0,0,0,0,0,3,1,1,0,4,0.0,11.0,11.0,0.0,0.0,1.2
66,Demetric Felton Jr.,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,0,4,0.0,12.0,6.0,0.0,0.0,1.2
67,Devontae Booker,1,1,6.0,6.0,3.0,3.0,3,3.0,0,0,0.0,0,0,0,0,0,0,6,1,1,0,0,0.0,6.0,6.0,0.0,0.0,1.2
68,Dwayne Washington,1,1,5.0,5.0,0.0,0.0,5,5.0,0,0,0.0,0,0,0,0,0,0,5,1,1,0,0,0.0,6.0,6.0,0.0,0.0,1.1
