RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Michael Carter,1,15,77.0,5.1,51,3.4,26,1.7,0,1,-1.0,8,1,0,0,0,0,18,9,14,1,27,1.0,95.0,10.6,0.0,0.0,23.2
2,Darrell Henderson Jr.,1,14,90.0,6.4,58,4.1,32,2.3,0,1,-2.0,1,4,0,0,0,0,19,1,2,2,0,1.0,3.0,3.0,1.0,0.0,21.3
3,Joe Mixon,1,14,33.0,2.4,19,1.4,14,1.0,1,5,-8.0,1,0,0,0,0,0,8,4,5,3,4,1.0,58.0,14.5,1.0,0.0,21.1
4,Elijah Mitchell,1,18,137.0,7.6,42,2.3,95,5.3,0,3,-4.0,5,5,3,1,0,0,39,0,0,0,0,1.0,0.0,0.0,0.0,0.0,19.7
5,Austin Ekeler,1,11,64.0,5.8,27,2.5,37,3.4,1,0,0.0,5,1,1,0,0,0,28,6,10,1,9,1.0,60.0,10.0,0.0,0.0,18.4
6,Jonathan Taylor,1,16,70.0,4.4,38,2.4,32,2.0,0,0,0.0,1,2,0,0,0,0,12,3,4,0,11,1.0,52.0,17.3,0.0,0.0,18.2
7,Boston Scott,1,12,60.0,5.0,45,3.8,15,1.3,0,1,-2.0,3,1,0,0,0,0,19,0,1,0,0,2.0,0.0,0.0,0.0,0.0,18.0
8,Najee Harris,1,26,91.0,3.5,49,1.9,42,1.6,1,2,-4.0,8,1,0,0,0,0,11,3,3,0,20,1.0,29.0,9.7,0.0,0.0,18.0
9,Jordan Howard,1,12,57.0,4.8,28,2.3,29,2.4,2,0,0.0,4,2,0,0,0,0,10,0,0,0,0,2.0,0.0,0.0,0.0,0.0,17.7
10,Aaron Jones Sr.,1,15,59.0,3.9,35,2.3,24,1.6,0,1,-2.0,2,2,0,0,0,0,16,7,11,2,16,1.0,51.0,7.3,0.0,0.0,17.0
11,Melvin Gordon III,1,10,47.0,4.7,21,2.1,26,2.6,1,0,0.0,7,1,0,0,0,0,11,3,3,1,0,1.0,15.0,5.0,1.0,1.0,16.2
12,Ty Johnson,1,4,15.0,3.8,8,2.0,7,1.8,0,0,0.0,0,0,0,0,0,0,8,5,6,2,25,0.0,71.0,14.2,1.0,0.0,14.6
13,James Conner,1,5,22.0,4.4,14,2.8,8,1.6,0,0,0.0,9,0,0,0,0,0,9,0,0,0,0,2.0,0.0,0.0,0.0,0.0,14.2
14,Damien Harris,1,23,80.0,3.5,44,1.9,36,1.6,2,1,-2.0,1,1,0,0,0,0,10,0,1,1,0,1.0,0.0,0.0,0.0,0.0,14.0
15,Alvin Kamara,1,19,61.0,3.2,41,2.2,20,1.1,2,1,-1.0,1,2,0,0,0,0,15,3,4,2,0,1.0,15.0,5.0,0.0,0.0,13.6
16,Cordarrelle Patterson,1,9,35.0,3.9,13,1.4,22,2.4,1,2,-3.0,0,1,0,0,0,0,14,5,5,1,10,0.0,37.0,7.4,1.0,0.0,13.2
17,Chuba Hubbard,1,24,82.0,3.4,33,1.4,51,2.1,0,3,-5.0,6,0,0,0,0,0,9,1,2,0,0,1.0,9.0,9.0,0.0,1.0,13.1
18,Chase Edmonds,1,7,30.0,4.3,24,3.4,6,0.9,0,0,0.0,11,1,0,0,0,0,11,3,4,0,12,1.0,39.0,13.0,0.0,0.0,12.9
19,Devontae Booker,1,15,60.0,4.0,37,2.5,23,1.5,0,1,-3.0,0,3,0,0,0,0,14,5,6,0,41,0.0,65.0,13.0,0.0,0.0,12.5
20,Darrel Williams,1,13,49.0,3.8,31,2.4,18,1.4,0,2,-2.0,0,1,0,0,0,0,12,6,6,0,13,0.0,61.0,10.2,0.0,0.0,11.0
21,Rex Burkhead,1,4,21.0,5.3,10,2.5,11,2.8,0,0,0.0,1,1,0,0,0,0,14,3,4,1,3,1.0,27.0,9.0,0.0,0.0,10.8
22,Derrick Gore,1,11,48.0,4.4,32,2.9,16,1.5,0,2,-4.0,3,1,0,0,0,0,10,0,0,0,0,1.0,0.0,0.0,0.0,0.0,10.8
23,Giovani Bernard,1,2,30.0,15.0,23,11.5,7,3.5,0,0,0.0,0,1,1,0,0,0,24,1,1,1,0,0.0,7.0,7.0,1.0,0.0,9.7
24,J.D. McKissic,1,3,10.0,3.3,4,1.3,6,2.0,1,0,0.0,0,0,0,0,0,0,4,8,8,0,8,0.0,83.0,10.4,0.0,0.0,9.3
25,D'Ernest Johnson,1,4,22.0,5.5,15,3.8,7,1.8,0,0,0.0,10,2,0,0,0,0,11,1,3,0,1,1.0,7.0,7.0,0.0,0.0,8.9
26,Jermar Jefferson,1,2,6.0,3.0,3,1.5,3,1.5,0,1,-2.0,8,0,0,0,0,0,8,4,4,0,4,1.0,23.0,5.8,0.0,0.0,8.9
27,Justin Jackson,1,3,79.0,26.3,73,24.3,6,2.0,0,0,0.0,0,1,1,1,1,1,75,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.9
28,Dalvin Cook,1,18,78.0,4.3,37,2.1,41,2.3,4,3,-7.0,0,2,0,0,0,0,19,0,2,0,0,0.0,0.0,0.0,0.0,0.0,7.8
29,AJ Dillon,1,16,78.0,4.9,35,2.2,43,2.7,2,0,0.0,0,1,0,0,0,0,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.8
30,Ezekiel Elliott,1,16,50.0,3.1,26,1.6,24,1.5,1,0,0.0,0,0,0,0,0,0,8,4,6,0,17,0.0,23.0,5.8,0.0,0.0,7.3
31,Travis Homer,1,4,9.0,2.3,3,0.8,6,1.5,0,1,-5.0,0,0,0,0,0,0,7,1,1,0,1,0.0,3.0,3.0,0.0,0.0,7.2
32,Carlos Hyde,1,9,32.0,3.6,15,1.7,17,1.9,1,0,0.0,0,0,0,0,0,0,7,6,8,1,10,0.0,40.0,6.7,0.0,0.0,7.2
33,Nick Chubb,1,16,61.0,3.8,30,1.9,31,1.9,0,3,-4.0,0,3,1,0,0,0,21,1,1,0,2,0.0,8.0,8.0,0.0,0.0,6.9
34,Derrick Henry,1,28,68.0,2.4,13,0.5,55,2.0,0,3,-5.0,0,0,0,0,0,0,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.8
35,Khalil Herbert,1,23,72.0,3.1,32,1.4,40,1.7,4,3,-11.0,0,1,1,0,0,0,22,2,2,2,1,0.0,-4.0,-2.0,0.0,0.0,6.8
36,Mike Davis,1,9,44.0,4.9,27,3.0,17,1.9,0,0,0.0,0,1,0,0,0,0,18,5,6,0,9,0.0,22.0,4.4,0.0,0.0,6.6
37,Ameer Abdullah,1,8,31.0,3.9,16,2.0,15,1.9,0,1,-2.0,0,0,0,0,0,0,9,3,5,1,14,0.0,35.0,11.7,0.0,0.0,6.6
38,Alex Armah Jr.,1,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,0,0.0,1.0,1.0,1.0,0.0,6.1
39,Zack Moss,1,8,19.0,2.4,8,1.0,11,1.4,0,2,-2.0,0,0,0,0,0,0,7,6,7,0,4,0.0,39.0,6.5,0.0,0.0,5.8
40,Sony Michel,1,9,42.0,4.7,32,3.6,10,1.1,0,0,0.0,0,1,0,0,0,0,14,2,2,0,1,0.0,14.0,7.0,0.0,0.0,5.6
41,Myles Gaskin,1,12,36.0,3.0,20,1.7,16,1.3,0,1,-2.0,0,0,0,0,0,0,7,3,4,0,16,0.0,19.0,6.3,0.0,0.0,5.5
42,Antonio Gibson,1,8,34.0,4.3,27,3.4,7,0.9,0,0,0.0,0,1,0,0,0,0,12,3,3,1,0,0.0,20.0,6.7,0.0,0.0,5.4
43,Mark Ingram II,1,6,27.0,4.5,9,1.5,18,3.0,1,0,0.0,0,1,0,0,0,0,11,2,2,0,6,0.0,25.0,12.5,0.0,0.0,5.2
44,Javonte Williams,1,9,35.0,3.9,18,2.0,17,1.9,1,1,-1.0,0,1,0,0,0,0,14,2,4,0,0,0.0,13.0,6.5,0.0,0.0,4.8
45,Jaret Patterson,1,11,46.0,4.2,25,2.3,21,1.9,0,0,0.0,0,1,0,0,0,0,13,0,1,0,0,0.0,0.0,0.0,0.0,0.0,4.6
46,Alex Collins,1,10,44.0,4.4,23,2.3,21,2.1,2,0,0.0,0,1,0,0,0,0,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.4
47,Leonard Fournette,1,8,26.0,3.3,17,2.1,9,1.1,0,2,-2.0,0,1,0,0,0,0,13,3,5,1,4,0.0,17.0,5.7,0.0,0.0,4.3
48,James Robinson,1,4,22.0,5.5,10,2.5,12,3.0,1,0,0.0,0,1,0,0,0,0,14,1,2,0,1,0.0,17.0,17.0,0.0,0.0,3.9
49,Jeremy McNichols,1,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,3,0,4,0.0,33.0,11.0,0.0,0.0,3.3
50,JaMycal Hasty,1,3,4.0,1.3,0,0.0,4,1.3,0,0,0.0,0,0,0,0,0,0,2,2,2,0,4,0.0,29.0,14.5,0.0,0.0,3.3
51,D'Andre Swift,1,12,27.0,2.3,19,1.6,8,0.7,2,1,-2.0,0,0,0,0,0,0,7,5,5,0,0,0.0,24.0,4.8,0.0,1.0,3.1
52,Rhamondre Stevenson,1,8,26.0,3.3,17,2.1,9,1.1,0,1,-1.0,0,0,0,0,0,0,8,1,2,0,4,0.0,5.0,5.0,0.0,0.0,3.1
53,Devin Singletary,1,7,28.0,4.0,10,1.4,18,2.6,0,2,-3.0,0,1,0,0,0,0,13,1,1,0,0,0.0,1.0,1.0,0.0,0.0,2.9
54,Salvon Ahmed,1,7,22.0,3.1,5,0.7,17,2.4,1,1,-3.0,0,1,0,0,0,0,12,1,2,0,1,0.0,6.0,6.0,0.0,0.0,2.8
55,Tony Pollard,1,7,26.0,3.7,11,1.6,15,2.1,1,0,0.0,0,0,0,0,0,0,7,1,1,0,0,0.0,1.0,1.0,0.0,0.0,2.7
56,Kenneth Gainwell,1,13,27.0,2.1,2,0.2,25,1.9,2,2,-7.0,0,0,0,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.7
