RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Derrick Henry,1,35,182.0,5.2,93.0,2.7,89,2.5,1,2,-4.0,60,3,1,1,1,1,60,6,6,1,4,3.0,55.0,9.2,0.0,0.0,41.7
2,Aaron Jones Sr.,1,17,67.0,3.9,42.0,2.5,25,1.5,1,1,-4.0,1,0,0,0,0,0,9,6,6,4,4,1.0,48.0,8.0,3.0,0.0,35.5
3,Tony Pollard,1,13,109.0,8.4,45.0,3.5,64,4.9,2,0,0.0,4,3,2,0,0,0,28,3,3,0,17,1.0,31.0,10.3,0.0,0.0,20.0
4,Christian McCaffrey,1,24,72.0,3.0,27.0,1.1,45,1.9,6,4,-5.0,11,2,0,0,0,0,16,5,6,0,22,1.0,65.0,13.0,0.0,0.0,19.7
5,Cordarrelle Patterson,1,7,11.0,1.6,-1.0,-0.1,12,1.7,1,1,-3.0,10,1,0,0,0,0,10,5,7,2,21,1.0,58.0,11.6,1.0,0.0,18.9
6,Nick Chubb,1,11,95.0,8.6,34.0,3.1,61,5.5,1,1,-4.0,26,4,2,0,0,0,26,1,1,0,2,1.0,3.0,3.0,0.0,0.0,15.8
7,Ezekiel Elliott,1,16,71.0,4.4,41.0,2.6,30,1.9,0,2,-3.0,5,2,0,0,0,0,19,2,2,0,5,1.0,26.0,13.0,0.0,0.0,15.7
8,J.D. McKissic,1,4,10.0,2.5,0.0,0.0,0,0.0,0,0,0.0,2,0,0,0,0,0,4,5,6,0,0,1.0,83.0,16.6,0.0,0.0,15.3
9,Chris Carson,1,13,31.0,2.4,14.0,1.1,17,1.3,3,1,-1.0,2,0,0,0,0,0,8,0,0,0,0,2.0,0.0,0.0,0.0,0.0,15.1
10,Devin Singletary,1,13,82.0,6.3,68.0,5.2,14,1.1,0,1,-1.0,46,1,1,1,1,0,46,2,3,0,6,1.0,9.0,4.5,0.0,0.0,15.1
11,Dalvin Cook,1,22,131.0,6.0,70.0,3.2,61,2.8,0,1,-2.0,0,7,0,0,0,0,16,2,3,0,3,0.0,17.0,8.5,0.0,0.0,14.8
12,Darrell Henderson Jr.,1,13,53.0,4.1,33.0,2.5,20,1.5,0,0,0.0,2,2,0,0,0,0,13,3,5,1,7,1.0,29.0,9.7,0.0,0.0,14.2
13,Najee Harris,1,10,38.0,3.8,21.0,2.1,17,1.7,3,2,-3.0,0,2,0,0,0,0,14,5,5,0,28,0.0,43.0,8.6,1.0,0.0,14.1
14,Austin Ekeler,1,9,54.0,6.0,22.0,2.4,32,3.6,2,0,0.0,0,2,1,0,0,0,20,9,9,1,17,0.0,61.0,6.8,0.0,0.0,13.5
15,Zack Moss,1,8,26.0,3.3,6.0,0.8,20,2.5,5,0,0.0,7,1,0,0,0,0,10,2,2,1,2,2.0,8.0,4.0,0.0,1.0,13.4
16,James White,1,5,20.0,4.0,17.0,3.4,3,0.6,0,1,-1.0,7,0,0,0,0,0,7,6,6,1,16,1.0,45.0,7.5,0.0,0.0,12.5
17,Damien Harris,1,16,62.0,3.9,19.0,1.2,43,2.7,2,4,-9.0,26,2,1,0,0,0,26,1,1,0,0,1.0,2.0,2.0,0.0,0.0,12.4
18,Demetric Felton Jr.,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,0,36,0.0,51.0,25.5,1.0,0.0,11.1
19,Latavius Murray,1,9,36.0,4.0,21.0,2.3,15,1.7,1,1,-4.0,5,0,0,0,0,0,8,0,0,0,0,1.0,0.0,0.0,0.0,0.0,9.6
20,Ty'Son Williams,1,13,77.0,5.9,57.0,4.4,20,1.5,1,0,0.0,0,3,1,0,0,0,20,2,2,1,1,0.0,16.0,8.0,0.0,0.0,9.3
21,Michael Carter,1,11,59.0,5.4,44.0,4.0,15,1.4,0,1,-3.0,0,3,0,0,0,0,14,2,3,0,12,0.0,29.0,14.5,0.0,0.0,8.8
22,Phillip Lindsay,1,5,2.0,0.4,0.0,0.0,2,0.4,0,2,-4.0,0,0,0,0,0,0,5,1,1,0,0,0.0,22.0,22.0,1.0,0.0,8.4
23,David Montgomery,1,20,61.0,3.1,29.0,1.5,32,1.6,2,3,-5.0,0,1,0,0,0,0,11,3,4,1,8,0.0,18.0,6.0,0.0,0.0,7.9
24,D'Andre Swift,1,8,37.0,4.6,35.0,4.4,2,0.3,0,0,0.0,0,1,0,0,0,0,12,4,5,0,0,0.0,41.0,10.3,0.0,0.0,7.8
25,Leonard Fournette,1,11,52.0,4.7,24.0,2.2,28,2.5,0,0,0.0,0,1,0,0,0,0,10,4,4,2,9,0.0,24.0,6.0,0.0,0.0,7.6
