RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Leonard Fournette,1,17,100,5.9,53,3.1,47,2.8,1,0,0.0,28,3,1,0,0,0,28,7,8,2,9,3.0,31.0,4.4,1.0,0.0,37.1
2,Joe Mixon,1,28,165,5.9,100,3.6,65,2.3,1,1,-1.0,1,2,2,1,0,0,32,4,4,0,0,2.0,-2.0,-0.5,0.0,0.0,28.3
3,Cordarrelle Patterson,1,16,108,6.8,74,4.6,34,2.1,0,0,0.0,12,4,1,0,0,0,27,2,3,0,19,2.0,27.0,13.5,0.0,0.0,25.5
4,Elijah Mitchell,1,27,133,4.9,74,2.7,59,2.2,2,0,0.0,2,4,0,0,0,0,15,5,6,0,19,1.0,35.0,7.0,0.0,0.0,22.8
5,J.D. McKissic,1,7,30,4.3,20,2.9,10,1.4,0,0,0.0,10,1,0,0,0,0,10,5,5,2,12,1.0,26.0,5.2,1.0,0.0,17.6
6,Dontrell Hilliard,1,12,131,10.9,60,5.0,71,5.9,3,1,-1.0,68,3,1,1,1,1,68,1,2,0,0,1.0,2.0,2.0,0.0,1.0,17.3
7,Josh Jacobs,1,22,87,4.0,40,1.8,47,2.1,1,2,-5.0,1,2,1,0,0,0,21,2,4,0,20,1.0,25.0,12.5,0.0,0.0,17.2
8,Myles Gaskin,1,16,49,3.1,33,2.1,16,1.0,2,0,0.0,3,0,0,0,0,0,8,2,2,0,0,2.0,3.0,1.5,0.0,0.0,17.2
9,Javonte Williams,1,14,54,3.9,33,2.4,21,1.5,2,2,-3.0,9,2,0,0,0,0,12,3,4,0,41,1.0,57.0,19.0,0.0,0.0,17.1
10,Antonio Gibson,1,29,111,3.8,45,1.6,66,2.3,4,0,0.0,0,2,0,0,0,0,17,7,7,0,15,0.0,35.0,5.0,0.0,0.0,16.6
11,Austin Ekeler,1,12,31,2.6,20,1.7,11,0.9,2,1,-1.0,0,0,0,0,0,0,6,6,8,2,18,0.0,68.0,11.3,1.0,0.0,15.9
12,Jonathan Taylor,1,16,83,5.2,47,2.9,36,2.3,1,1,-2.0,4,4,0,0,0,0,15,4,5,0,6,1.0,14.0,3.5,0.0,0.0,15.7
13,AJ Dillon,1,20,69,3.5,22,1.1,47,2.4,5,1,-1.0,0,0,0,0,0,0,8,5,5,1,12,0.0,21.0,4.2,1.0,0.0,15.0
14,Darrell Henderson Jr.,1,16,55,3.4,27,1.7,28,1.8,0,0,0.0,0,0,0,0,0,0,7,4,4,1,4,0.0,18.0,4.5,1.0,0.0,13.3
15,Tony Pollard,1,10,36,3.6,12,1.2,24,2.4,0,1,-5.0,0,1,0,0,0,0,12,4,4,2,13,0.0,32.0,8.0,0.0,0.0,12.8
16,Matt Breida,1,9,26,2.9,8,0.9,18,2.0,1,3,-6.0,0,0,0,0,0,0,9,2,2,1,15,0.0,29.0,14.5,1.0,0.0,11.5
17,Damien Harris,1,11,40,3.6,18,1.6,22,2.0,0,1,-1.0,14,1,0,0,0,0,14,1,1,0,0,1.0,12.0,12.0,0.0,0.0,11.2
18,Boston Scott,1,15,64,4.3,36,2.4,28,1.9,0,0,0.0,1,1,0,0,0,0,12,2,3,1,2,1.0,8.0,4.0,0.0,1.0,11.2
19,Ezekiel Elliott,1,9,25,2.8,9,1.0,16,1.8,0,0,0.0,1,0,0,0,0,0,8,6,8,0,9,1.0,24.0,4.0,0.0,0.0,10.9
20,Austin Walter,1,9,38,4.2,30,3.3,8,0.9,0,1,-3.0,2,2,0,0,0,0,13,0,1,0,0,1.0,0.0,0.0,0.0,0.0,9.8
21,Ronald Jones II,1,7,37,5.3,15,2.1,22,3.1,1,1,-3.0,1,1,0,0,0,0,11,0,0,0,0,1.0,0.0,0.0,0.0,0.0,9.7
22,James Robinson,1,17,86,5.1,63,3.7,23,1.4,0,0,0.0,0,1,0,0,0,0,12,3,4,0,12,0.0,29.0,9.7,0.0,1.0,9.5
23,D'Onta Foreman,1,19,109,5.7,54,2.8,55,2.9,2,0,0.0,0,3,1,1,0,0,30,1,1,0,3,0.0,3.0,3.0,0.0,1.0,9.2
24,Melvin Gordon III,1,17,83,4.9,43,2.5,40,2.4,1,0,0.0,0,2,0,0,0,0,16,1,2,0,1,0.0,5.0,5.0,0.0,0.0,8.8
25,Alexander Mattison,1,7,21,3.0,6,0.9,15,2.1,1,0,0.0,6,0,0,0,0,0,7,2,3,0,4,1.0,7.0,3.5,0.0,0.0,8.8
