,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Mike Gesicki,1,6,69,11.5,47.0,7.8,0,0.0,22,3.7,2,0.3,0,7,15.6%,7,0,2,4,0,0,0,0
2,Mark Andrews,1,7,106,15.1,89.0,12.7,0,0.0,17,2.4,9,1.3,0,11,34.4%,10,3,3,7,0,0,0,0
3,Hunter Henry,1,4,61,15.3,33.0,8.3,0,0.0,28,7.0,0,0.0,0,7,22.6%,4,0,2,3,1,1,0,0
4,Travis Kelce,1,8,108,13.5,74.0,9.3,0,0.0,34,4.3,5,0.6,1,10,28.6%,8,0,0,5,2,0,0,0
5,Greg Dulcich,1,2,44,22.0,25.0,12.5,0,0.0,19,9.5,1,0.5,0,3,12.0%,2,0,1,1,1,1,0,0
6,Jake Ferguson,1,4,40,10.0,23.0,5.8,0,0.0,17,4.3,10,2.5,0,6,16.2%,4,0,1,1,1,0,0,0
7,Daniel Bellinger,1,5,38,7.6,15.0,3.0,0,0.0,23,4.6,4,0.8,0,5,20.0%,5,0,2,1,0,0,0,0
8,Dawson Knox,1,3,37,12.3,35.0,11.7,0,0.0,2,0.7,0,0.0,0,3,7.9%,3,0,1,2,1,0,0,0
9,Robert Tonyan,1,10,90,9.0,63.0,6.3,0,0.0,27,2.7,2,0.2,0,12,27.3%,10,0,0,4,0,0,0,0
10,Jelani Woods,1,2,27,13.5,24.0,12.0,0,0.0,3,1.5,0,0.0,0,3,5.4%,3,1,1,2,0,0,0,0
11,George Kittle,1,8,83,10.4,16.0,2.0,0,0.0,67,8.4,17,2.1,1,10,24.4%,8,0,1,4,0,0,0,0
12,Kyle Pitts,1,3,19,6.3,18.0,6.0,0,0.0,1,0.3,0,0.0,0,3,21.4%,3,0,1,0,0,0,0,0
13,Zach Ertz,1,7,70,10.0,59.0,8.4,0,0.0,11,1.6,5,0.7,1,10,27.8%,8,0,0,1,1,1,0,0
14,Irv Smith Jr.,1,4,7,1.8,-2.0,-0.5,0,0.0,9,2.3,0,0.0,0,4,14.3%,4,0,1,0,0,0,0,0
15,MyCole Pruitt,1,1,2,2.0,2.0,2.0,0,0.0,0,0.0,0,0.0,0,1,7.1%,1,0,1,0,0,0,0,0
16,Jonnu Smith,1,2,61,30.5,9.0,4.5,0,0.0,52,26.0,40,20.0,3,2,6.5%,2,0,0,1,1,1,1,1
17,David Njoku,1,3,58,19.3,45.0,15.0,0,0.0,13,4.3,3,1.0,0,6,14.3%,4,1,0,2,2,1,0,0
18,Donald Parham Jr.,1,3,53,17.7,42.0,14.0,0,0.0,11,3.7,5,1.7,0,3,5.5%,3,0,0,3,1,0,0,0
19,Connor Heyward,1,2,49,24.5,17.0,8.5,0,0.0,32,16.0,5,2.5,0,3,11.1%,2,0,0,1,1,1,1,1
20,Taysom Hill,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0%,0,0,0,0,0,0,0,0
21,Noah Fant,1,6,45,7.5,17.0,2.8,0,0.0,28,4.7,4,0.7,0,7,23.3%,6,0,1,2,0,0,0,0
22,Juwan Johnson,1,4,41,10.3,32.0,8.0,0,0.0,9,2.3,2,0.5,0,6,19.4%,4,0,0,1,1,0,0,0
