,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Evan Engram,1,11,162,14.7,60.0,5.5,0,0.0,102.0,9.3,7,0.6,0,15,35.7%,11,0,2,10,3,0,0,0
2,Chig Okonkwo,1,6,45,7.5,31.0,5.2,0,0.0,14.0,2.3,4,0.7,1,6,15.8%,6,0,2,3,0,0,0,0
3,David Njoku,1,7,59,8.4,24.0,3.4,0,0.0,35.0,5.0,2,0.3,0,9,23.1%,7,0,3,3,0,0,0,0
4,Dawson Knox,1,4,41,10.3,22.0,5.5,0,0.0,19.0,4.8,2,0.5,0,7,25.9%,6,1,0,1,1,0,0,0
5,Pat Freiermuth,1,3,33,11.0,24.0,8.0,0,0.0,9.0,3.0,5,1.7,0,6,19.4%,3,0,2,2,0,0,0,0
6,Dalton Schultz,1,6,87,14.5,48.0,8.0,0,0.0,39.0,6.5,10,1.7,0,10,25.6%,8,2,1,4,2,0,0,0
7,Travis Kelce,1,4,71,17.8,25.0,6.3,0,0.0,46.0,11.5,0,0.0,0,9,21.4%,6,2,1,3,1,1,0,0
8,Hunter Henry,1,3,70,23.3,46.0,15.3,0,0.0,24.0,8.0,7,2.3,0,3,9.1%,3,0,0,2,2,2,0,0
9,Austin Hooper,1,5,68,13.6,33.0,6.6,0,0.0,35.0,7.0,7,1.4,0,5,13.2%,5,0,0,3,1,0,0,0
10,T.J. Hockenson,1,6,77,12.8,61.0,10.2,0,0.0,16.0,2.7,4,0.7,1,8,20.0%,7,1,0,4,1,0,0,0
11,Noah Gray,1,3,45,15.0,16.0,5.3,0,0.0,29.0,9.7,7,2.3,0,3,7.1%,3,0,0,2,1,0,0,0
12,Greg Dulcich,1,3,42,14.0,22.0,7.3,0,0.0,20.0,6.7,0,0.0,0,8,18.6%,4,1,0,2,1,0,0,0
13,Gerald Everett,1,5,28,5.6,-1.0,-0.2,0,0.0,29.0,5.8,6,1.2,0,8,16.7%,6,1,3,1,0,0,0,0
14,George Kittle,1,4,28,7.0,19.0,4.8,0,0.0,9.0,2.3,2,0.5,0,5,22.7%,4,0,0,2,0,0,0,0
15,Trey McBride,1,3,28,9.3,22.0,7.3,0,0.0,6.0,2.0,3,1.0,0,6,14.6%,5,2,0,1,0,0,0,0
16,Tyler Conklin,1,5,28,5.6,13.0,2.6,0,0.0,15.0,3.0,0,0.0,0,8,18.2%,6,1,0,0,0,0,0,0
17,Cade Otton,1,4,28,7.0,13.0,3.3,0,0.0,15.0,3.8,8,2.0,0,5,9.8%,4,0,0,1,0,0,0,0
18,Grant Calcaterra,1,2,24,12.0,15.0,7.5,0,0.0,9.0,4.5,2,1.0,0,4,12.9%,3,1,1,2,0,0,0,0
19,Chris Manhertz,1,1,21,21.0,1.0,1.0,0,0.0,20.0,20.0,4,4.0,0,1,2.4%,1,0,0,1,1,0,0,0
20,Will Dissly,1,2,20,10.0,18.0,9.0,0,0.0,2.0,1.0,0,0.0,0,3,8.3%,2,0,0,1,0,0,0,0
21,Jack Stoll,1,2,20,10.0,9.0,4.5,0,0.0,11.0,5.5,3,1.5,0,2,6.5%,2,0,0,1,0,0,0,0
22,Daniel Bellinger,1,3,19,6.3,10.0,3.3,0,0.0,9.0,3.0,1,0.3,0,3,9.4%,3,0,1,1,0,0,0,0
