,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Dalvin Cook,1,30,163.0,5.4,75.0,2.5,88,2.9,7,2,-3.0,21,4,2,1,0,0,37,2,3,0,38
2,Zack Moss,1,14,81.0,5.8,43.0,3.1,38,2.7,4,1,-2.0,8,3,1,0,0,0,21,0,1,0,0
3,Giovani Bernard,1,15,62.0,4.1,30.0,2.0,32,2.1,2,1,-3.0,12,2,0,0,0,0,12,3,4,1,1
4,Jordan Wilkins,1,20,89.0,4.5,35.0,1.8,54,2.7,3,1,-4.0,1,3,0,0,0,0,16,1,1,0,2
5,Nyheim Hines,1,5,8.0,1.6,4.0,0.8,4,0.8,0,2,-4.0,0,0,0,0,0,0,6,3,5,0,3
6,DeeJay Dallas,1,18,41.0,2.3,18.0,1.0,23,1.3,0,3,-5.0,1,0,0,0,0,0,9,5,5,3,0
7,Derrick Henry,1,18,112.0,6.2,56.0,3.1,56,3.1,1,0,0.0,3,2,1,0,0,0,21,0,1,0,0
8,Alvin Kamara,1,12,67.0,5.6,47.0,3.9,20,1.7,0,2,-5.0,0,2,2,0,0,0,20,9,13,1,19
9,Damien Harris,1,16,102.0,6.4,47.0,2.9,55,3.4,1,0,0.0,22,3,1,0,0,0,22,0,0,0,0
10,Gus Edwards,1,16,87.0,5.4,55.0,3.4,32,2.0,0,2,-3.0,1,2,2,0,0,0,25,0,1,0,0
11,Phillip Lindsay,1,6,83.0,13.8,39.0,6.5,44,7.3,1,1,-1.0,55,2,2,1,1,1,55,1,3,0,0
12,Justin Jackson,1,17,89.0,5.2,61.0,3.6,28,1.6,0,0,0.0,0,2,1,0,0,0,22,3,5,0,26
13,Josh Jacobs,1,31,129.0,4.2,86.0,2.8,43,1.4,1,0,0.0,0,2,0,0,0,0,16,0,1,1,0
14,Wayne Gallman Jr.,1,12,44.0,3.7,27.0,2.3,17,1.4,0,2,-3.0,2,1,0,0,0,0,17,1,1,0,3
15,Jamaal Williams,1,16,75.0,4.7,33.0,2.1,42,2.6,1,0,0.0,0,1,0,0,0,0,10,6,6,1,6
16,J.K. Dobbins,1,15,113.0,7.5,53.0,3.5,60,4.0,1,0,0.0,0,3,1,0,0,0,28,1,2,0,2
17,James Conner,1,15,47.0,3.1,29.0,1.9,18,1.2,1,3,-6.0,1,1,0,0,0,0,18,3,3,0,6
18,Todd Gurley II,1,18,46.0,2.6,19.0,1.1,27,1.5,0,2,-8.0,3,1,0,0,0,0,11,0,0,0,0
19,David Montgomery,1,21,89.0,4.2,15.0,0.7,74,3.5,2,3,-4.0,0,1,1,1,0,0,38,2,5,1,5
20,Myles Gaskin,1,18,47.0,2.6,22.0,1.2,25,1.4,1,0,0.0,1,0,0,0,0,0,6,3,6,1,5
21,Jerick McKinnon,1,3,-1.0,-0.3,-2.0,-0.7,1,0.3,0,1,-3.0,1,0,0,0,0,0,1,4,4,1,4
22,Troymaine Pope,1,10,67.0,6.7,48.0,4.8,19,1.9,0,1,-4.0,0,2,1,0,0,0,26,5,7,1,9
23,Samaje Perine,1,10,32.0,3.2,15.0,1.5,17,1.7,0,1,-1.0,1,1,0,0,0,0,16,1,1,1,0
24,Devin Singletary,1,14,86.0,6.1,30.0,2.1,56,4.0,1,1,-1.0,0,2,0,0,0,0,18,1,1,0,0
25,JaMycal Hasty,1,12,29.0,2.4,19.0,1.6,10,0.8,0,1,-1.0,1,0,0,0,0,0,5,1,1,0,0
26,Boston Scott,1,15,70.0,4.7,36.0,2.4,34,2.3,5,3,-9.0,0,3,0,0,0,0,19,2,2,1,0
27,Mike Davis,1,13,66.0,5.1,11.0,0.8,55,4.2,0,2,-5.0,0,2,0,0,0,0,17,1,2,0,3
28,Kerryon Johnson,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,1,2
29,Kareem Hunt,1,14,66.0,4.7,44.0,3.1,22,1.6,1,1,-2.0,0,3,0,0,0,0,18,2,3,1,4
30,Ezekiel Elliott,1,19,63.0,3.3,40.0,2.1,23,1.2,0,2,-6.0,0,1,0,0,0,0,11,1,2,0,2
31,Leonard Fournette,1,15,52.0,3.5,33.0,2.2,19,1.3,0,1,-2.0,0,1,0,0,0,0,13,3,6,0,3
32,Dion Lewis,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,3,2,1
33,Tony Pollard,1,7,40.0,5.7,23.0,3.3,17,2.4,0,1,-3.0,0,1,0,0,0,0,14,2,2,1,3
