,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Josh Jacobs,1,25,93.0,3.7,35.0,1.4,58,2.3,8,3,-7.0,7,2,0,0,0,0,14,4,6,0,21
2,Christian McCaffrey,1,23,97.0,4.2,46.0,2.0,51,2.2,8,1,-1.0,6,2,0,0,0,0,15,3,4,0,14
3,Ezekiel Elliott,1,22,96.0,4.4,38.0,1.7,58,2.6,3,0,0.0,1,3,0,0,0,0,14,3,4,1,9
4,Malcolm Brown,1,18,79.0,4.4,46.0,2.6,33,1.8,0,0,0.0,2,2,0,0,0,0,12,3,4,1,19
5,Raheem Mostert,1,15,56.0,3.7,39.0,2.6,17,1.1,0,1,-6.0,0,1,0,0,0,0,14,4,5,0,4
6,Dalvin Cook,1,12,50.0,4.2,26.0,2.2,24,2.0,2,0,0.0,3,1,0,0,0,0,12,1,2,0,0
7,Clyde Edwards-Helaire,1,25,138.0,5.5,33.0,1.3,105,4.2,0,4,-5.0,27,4,1,0,0,0,27,0,2,0,0
8,Nyheim Hines,1,7,28.0,4.0,19.0,2.7,9,1.3,1,0,0.0,12,1,0,0,0,0,12,8,8,2,5
9,Alvin Kamara,1,12,16.0,1.3,2.0,0.2,14,1.2,1,4,-11.0,6,0,0,0,0,0,6,5,8,2,0
10,Chris Carson,1,6,21.0,3.5,5.0,0.8,16,2.7,1,1,-3.0,0,1,0,0,0,0,11,6,6,2,7
11,David Johnson,1,11,77.0,7.0,34.0,3.1,43,3.9,0,0,0.0,19,2,0,0,0,0,19,3,4,0,17
12,Peyton Barber,1,17,29.0,1.7,19.0,1.1,10,0.6,0,0,0.0,3,0,0,0,0,0,8,0,0,0,0
13,J.K. Dobbins,1,7,22.0,3.1,14.0,2.0,8,1.1,0,2,-3.0,3,1,0,0,0,0,12,0,0,0,0
14,Aaron Jones,1,16,66.0,4.1,30.0,1.9,36,2.3,2,0,0.0,5,1,0,0,0,0,15,4,6,4,7
15,Derrick Henry,1,31,116.0,3.7,64.0,2.1,52,1.7,2,0,0.0,0,3,0,0,0,0,13,3,3,1,5
16,Melvin Gordon III,1,15,78.0,5.2,30.0,2.0,48,3.2,1,1,-2.0,1,2,1,0,0,0,25,3,3,0,1
17,Kenyan Drake,1,16,60.0,3.8,28.0,1.8,32,2.0,1,1,-1.0,1,2,0,0,0,0,11,2,2,0,0
18,Joshua Kelley,1,12,60.0,5.0,18.0,1.5,42,3.5,2,1,-1.0,5,1,1,0,0,0,26,0,0,0,0
19,Todd Gurley II,1,14,56.0,4.0,32.0,2.3,24,1.7,0,1,-1.0,1,2,0,0,0,0,15,2,5,0,2
20,Adrian Peterson,1,14,93.0,6.6,71.0,5.1,22,1.6,0,0,0.0,0,5,1,0,0,0,21,3,3,0,3
21,Benny Snell Jr.,1,19,113.0,5.9,60.0,3.2,53,2.8,3,1,-2.0,0,3,2,1,0,0,30,0,1,0,0
22,Chase Edmonds,1,6,26.0,4.3,20.0,3.3,6,1.0,1,1,-4.0,0,1,1,0,0,0,20,3,5,1,0
23,Jerick McKinnon,1,3,24.0,8.0,10.0,3.3,14,4.7,1,0,0.0,0,1,0,0,0,0,16,3,5,2,0
24,Sony Michel,1,10,37.0,3.7,13.0,1.3,24,2.4,0,0,0.0,1,0,0,0,0,0,7,0,0,0,0
