,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Alvin Kamara,1,22,155,7.0,75.0,3.4,80,3.6,4,0,0.0,40,4,1,1,1,0,40,3,5,2,4
2,Myles Gaskin,1,14,87,6.2,55.0,3.9,32,2.3,1,1,-1.0,0,2,1,0,0,0,24,5,5,1,64
3,Jeff Wilson Jr.,1,22,183,8.3,109.0,5.0,74,3.4,3,2,-5.0,0,7,3,1,0,0,34,1,2,0,5
4,David Johnson,1,12,128,10.7,79.0,6.6,49,4.1,2,0,0.0,4,4,2,2,1,0,48,3,3,2,2
5,Samaje Perine,1,13,95,7.3,34.0,2.6,61,4.7,3,0,0.0,46,2,1,1,1,0,46,4,4,1,13
6,AJ Dillon,1,21,124,5.9,33.0,1.6,91,4.3,3,1,-3.0,30,2,1,1,0,0,30,1,1,1,1
7,Jonathan Taylor,1,18,74,4.1,36.0,2.0,38,2.1,4,2,-3.0,6,2,0,0,0,0,18,0,1,0,0
8,David Montgomery,1,23,95,4.1,61.0,2.7,34,1.5,2,2,-3.0,6,3,1,0,0,0,26,2,2,0,4
9,J.D. McKissic,1,4,15,3.8,8.0,2.0,7,1.8,0,1,-1.0,0,0,0,0,0,0,9,8,10,1,13
10,Dalvin Cook,1,15,73,4.9,47.0,3.1,26,1.7,0,2,-5.0,15,3,0,0,0,0,15,2,2,0,3
11,Miles Sanders,1,15,57,3.8,26.0,1.7,31,2.1,0,2,-5.0,4,0,0,0,0,0,7,4,6,0,7
12,Ezekiel Elliott,1,19,105,5.5,38.0,2.0,67,3.5,4,0,0.0,0,2,1,1,0,0,31,4,4,0,16
13,J.K. Dobbins,1,11,77,7.0,39.0,3.5,38,3.5,2,0,0.0,2,2,1,0,0,0,25,0,1,1,0
14,Kyle Juszczyk,1,1,3,3.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,3,2,3,2,3
15,Giovani Bernard,1,16,65,4.1,31.0,1.9,34,2.1,4,0,0.0,0,2,0,0,0,0,11,7,8,1,7
16,Austin Ekeler,1,10,45,4.5,29.0,2.9,16,1.6,1,2,-3.0,0,2,1,0,0,0,23,3,3,1,3
