,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Derrick Henry,1,26,215.0,8.3,158.0,6.1,57,2.2,1,0,0.0,36,4,4,2,1,0,47,2,2,0,2
2,Jonathan Taylor,1,20,150.0,7.5,72.0,3.6,78,3.9,1,3,-7.0,62,6,1,1,1,1,62,2,2,0,3
3,Miles Sanders,1,14,115.0,8.2,30.0,2.1,85,6.1,0,2,-4.0,82,1,1,1,1,1,82,4,5,0,0
4,Kareem Hunt,1,6,33.0,5.5,18.0,3.0,15,2.5,0,0,0.0,5,1,0,0,0,0,10,6,7,0,28
5,Nick Chubb,1,17,82.0,4.8,25.0,1.5,57,3.4,0,1,-1.0,14,3,0,0,0,0,14,2,2,0,8
6,David Montgomery,1,11,113.0,10.3,29.0,2.6,84,7.6,4,2,-3.0,80,3,1,1,1,1,80,3,4,0,7
7,Mike Davis,1,11,51.0,4.6,32.0,2.9,19,1.7,1,0,0.0,10,1,0,0,0,0,10,5,6,0,22
8,Cam Akers,1,29,171.0,5.9,112.0,3.9,59,2.0,1,1,-2.0,0,4,2,1,0,0,35,2,3,0,3
9,Gus Edwards,1,7,49.0,7.0,17.0,2.4,32,4.6,0,0,0.0,19,2,0,0,0,0,19,1,1,0,0
10,Dalvin Cook,1,22,102.0,4.6,63.0,2.9,39,1.8,3,0,0.0,1,2,0,0,0,0,14,2,4,0,6
11,Chris Carson,1,12,76.0,6.3,48.0,4.0,28,2.3,0,1,-1.0,5,2,1,0,0,0,28,3,5,0,6
12,Alvin Kamara,1,11,50.0,4.5,29.0,2.6,21,1.9,0,0,0.0,5,1,0,0,0,0,16,7,10,0,13
13,Kenyan Drake,1,23,80.0,3.5,20.0,0.9,60,2.6,3,5,-12.0,1,3,1,1,0,0,36,1,1,0,3
14,Austin Ekeler,1,15,79.0,5.3,32.0,2.1,47,3.1,4,3,-6.0,0,4,0,0,0,0,13,9,9,2,19
