,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Jonathan Taylor,1,30,253.0,8.4,172.0,5.7,81,2.7,4,3,-6.0,45,7,4,2,2,1,56,1,2,0,0
2,Derrick Henry,1,34,250.0,7.4,149.0,4.4,101,3.0,5,4,-9.0,52,5,3,2,2,1,52,0,0,0,0
3,J.K. Dobbins,1,13,160.0,12.3,70.0,5.4,90,6.9,0,0,0.0,72,3,3,1,1,1,72,0,0,0,0
4,Alexander Mattison,1,21,95.0,4.5,35.0,1.7,60,2.9,6,1,-1.0,2,2,1,0,0,0,20,3,3,0,24
5,Darwin Thompson,1,14,45.0,3.2,22.0,1.6,23,1.6,1,0,0.0,1,1,0,0,0,0,10,7,7,2,6
6,Josh Jacobs,1,15,89.0,5.9,28.0,1.9,61,4.1,1,0,0.0,28,3,1,0,0,0,28,0,1,0,0
7,Jeff Wilson Jr.,1,20,76.0,3.8,48.0,2.4,28,1.4,0,2,-2.0,7,1,0,0,0,0,18,3,7,3,0
8,Antonio Williams,1,12,63.0,5.3,34.0,2.8,29,2.4,1,0,0.0,18,2,0,0,0,0,18,1,1,0,12
9,Sony Michel,1,16,76.0,4.8,22.0,1.4,54,3.4,2,2,-2.0,0,2,0,0,0,0,13,3,3,0,9
10,David Montgomery,1,22,69.0,3.1,58.0,2.6,11,0.5,0,2,-2.0,2,0,0,0,0,0,8,9,9,2,20
11,David Johnson,1,14,84.0,6.0,48.0,3.4,36,2.6,0,0,0.0,1,3,1,0,0,0,26,3,5,2,3
12,Melvin Gordon III,1,26,93.0,3.6,40.0,1.5,53,2.0,0,3,-4.0,10,2,0,0,0,0,15,4,6,1,6
13,Nick Chubb,1,14,108.0,7.7,57.0,4.1,51,3.6,2,1,-1.0,47,3,1,1,1,0,47,0,1,0,0
14,Aaron Jones,1,11,42.0,3.8,31.0,2.8,11,1.0,1,2,-2.0,4,1,0,0,0,0,10,4,5,0,16
15,Ronald Jones II,1,12,78.0,6.5,40.0,3.3,38,3.2,2,0,0.0,3,1,0,0,0,0,16,0,0,0,0
16,Myles Gaskin,1,7,20.0,2.9,10.0,1.4,10,1.4,0,1,-1.0,1,0,0,0,0,0,7,4,5,0,8
17,Brian Hill,1,9,94.0,10.4,21.0,2.3,73,8.1,2,1,-1.0,0,1,1,1,1,1,62,3,3,0,14
18,D'Andre Swift,1,12,54.0,4.5,22.0,1.8,32,2.7,3,1,-1.0,2,1,0,0,0,0,13,3,3,0,1
19,Justin Jackson,1,9,72.0,8.0,39.0,4.3,33,3.7,1,0,0.0,0,2,1,1,0,0,34,1,2,0,27
20,Adrian Peterson,1,7,63.0,9.0,11.0,1.6,52,7.4,3,0,0.0,2,1,1,1,0,0,38,0,0,0,0
21,Ezekiel Elliott,1,14,42.0,3.0,14.0,1.0,28,2.0,0,1,-2.0,1,1,0,0,0,0,13,3,4,0,2
22,Josh Adams,1,11,47.0,4.3,17.0,1.5,30,2.7,0,0,0.0,1,1,0,0,0,0,10,2,4,0,4
23,Austin Ekeler,1,7,18.0,2.6,12.0,1.7,6,0.9,0,0,0.0,0,0,0,0,0,0,6,6,7,3,4
24,Salvon Ahmed,1,6,29.0,4.8,24.0,4.0,5,0.8,0,0,0.0,16,1,0,0,0,0,16,3,3,0,6
25,Ty Montgomery II,1,18,105.0,5.8,72.0,4.0,33,1.8,0,1,-2.0,0,3,1,1,0,0,36,1,2,1,1
26,Rodney Smith,1,10,40.0,4.0,24.0,2.4,16,1.6,1,0,0.0,1,0,0,0,0,0,8,1,1,0,0
27,Kalen Ballage,1,13,36.0,2.8,23.0,1.8,13,1.0,2,1,-2.0,1,0,0,0,0,0,9,0,0,0,0
28,James White,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,4,7,1,9
29,Alex Collins,1,5,29.0,5.8,19.0,3.8,10,2.0,0,0,0.0,8,0,0,0,0,0,8,0,0,0,0
30,Chris Carson,1,11,44.0,4.0,25.0,2.3,19,1.7,0,1,-2.0,0,0,0,0,0,0,9,2,2,0,0
31,Antonio Gibson,1,19,75.0,3.9,49.0,2.6,26,1.4,2,1,-6.0,0,3,0,0,0,0,13,1,1,0,0
32,Boston Scott,1,15,65.0,4.3,47.0,3.1,18,1.2,0,0,0.0,0,1,1,0,0,0,20,2,5,0,0
33,Trayveon Williams,1,4,74.0,18.5,5.0,1.3,69,17.3,1,1,-2.0,0,2,1,1,1,1,55,1,1,0,0
34,Dare Ogunbowale,1,14,50.0,3.6,26.0,1.9,24,1.7,1,2,-3.0,0,1,0,0,0,0,11,4,7,0,6
35,Jonathan Ward,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,4
36,Gus Edwards,1,12,60.0,5.0,17.0,1.4,43,3.6,1,0,0.0,0,1,0,0,0,0,11,1,1,0,3
37,Ty Johnson,1,11,45.0,4.1,16.0,1.5,29,2.6,0,0,0.0,0,0,0,0,0,0,9,2,2,0,19
38,Ameer Abdullah,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,3,1,3
39,Nyheim Hines,1,2,17.0,8.5,16.0,8.0,1,0.5,0,1,-3.0,0,1,1,0,0,0,20,6,7,2,12
40,Cam Akers,1,21,34.0,1.6,14.0,0.7,20,1.0,0,3,-7.0,0,1,0,0,0,0,10,4,4,1,12
41,Wayne Gallman Jr.,1,11,65.0,5.9,44.0,4.0,21,1.9,0,0,0.0,0,3,0,0,0,0,14,0,0,0,0
