RANK,PLAYER,GAMES,PASSING_COMP,PASSING_ATT,PASSING_PCT,PASSING_YDS,PASSING_Y/A,PASSING_AIR,PASSING_AIR/A,DEEP_BALL_10+_YDS,DEEP_BALL_20+_YDS,DEEP_BALL_30+_YDS,DEEP_BALL_40+_YDS,DEEP_BALL_50+_YDS,PRESSURE_PKT_TIME,PRESSURE_SACK,PRESSURE_KNCK,PRESSURE_HRRY,PRESSURE_BLITZ,MISC_POOR,MISC_DROP,MISC_RZ_ATT,MISC_RTG,PASSING_TD,PASSING_INT,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_FPTS
1,Jared Goff,1,26,39,0.67,378,9.7,220,5.6,13,6,2,1,1,2.4,1,2,1,2,6,4,7,122,4.0,1.0,1.0,1.0,0.0,0.0,34.2
2,Geno Smith,1,23,30,0.77,320,10.7,212,7.1,14,5,2,1,1,2.7,0,3,0,8,2,1,3,133,2.0,0.0,7.0,49.0,1.0,0.0,31.7
3,Russell Wilson,1,17,25,0.68,237,9.5,175,7.0,7,5,3,1,1,2.3,3,2,0,5,3,4,4,125,2.0,0.0,4.0,29.0,1.0,0.0,26.5
4,Tom Brady,1,39,52,0.75,385,6.9,194,3.7,18,2,1,0,0,2.2,1,5,0,11,9,0,6,115,3.0,0.0,0.0,0.0,0.0,1.0,25.4
5,Josh Allen,1,19,36,0.53,213,5.9,122,3.4,11,2,0,0,0,2.4,1,4,3,11,4,5,3,68,1.0,1.0,11.0,70.0,1.0,0.0,24.5
6,Patrick Mahomes II,1,23,37,0.62,249,6.7,143,3.9,11,3,1,0,0,2.5,3,3,2,10,6,3,8,98,3.0,1.0,4.0,34.0,0.0,0.0,24.4
7,Kyler Murray,1,23,32,0.72,207,6.5,140,4.4,8,3,0,0,0,2.4,1,1,1,12,4,0,3,97,2.0,1.0,12.0,26.0,1.0,0.0,23.9
8,Daniel Jones,1,8,13,0.62,71,5.5,37,2.8,3,0,0,0,0,3.2,1,1,1,7,3,1,0,76,0.0,0.0,6.0,68.0,2.0,0.0,21.6
9,Justin Herbert,1,27,39,0.69,340,8.7,197,5.1,14,6,1,1,1,2.3,1,0,6,8,6,3,7,113,2.0,0.0,4.0,-5.0,0.0,0.0,21.1
10,Joe Burrow,1,20,31,0.65,287,9.3,150,4.8,9,4,3,2,1,2.4,1,2,0,7,8,2,2,116,2.0,0.0,5.0,6.0,0.0,0.0,20.1
11,Zach Wilson,1,18,36,0.51,252,6.8,157,4.2,10,5,1,0,0,2.6,1,5,4,13,7,5,3,59,1.0,2.0,2.0,15.0,0.0,0.0,19.8
12,Matt Ryan,1,27,37,0.73,356,9.6,214,5.8,15,6,3,1,0,2.6,3,3,2,7,7,0,6,110,2.0,1.0,2.0,-4.0,0.0,1.0,18.8
13,Cooper Rush,1,15,27,0.56,223,8.3,141,5.2,8,4,3,1,0,2.5,1,2,3,2,5,2,5,108,2.0,0.0,2.0,7.0,0.0,0.0,17.6
14,Aaron Rodgers,1,21,35,0.6,251,7.2,148,4.2,11,5,1,0,0,1.9,1,2,2,7,6,2,1,89,2.0,1.0,1.0,1.0,0.0,0.0,17.1
15,Jalen Hurts,1,16,25,0.64,204,8.2,94,3.8,8,4,1,0,0,2.4,2,3,7,4,2,2,3,73,0.0,1.0,16.0,38.0,1.0,0.0,17.0
16,Jacoby Brissett,1,21,35,0.6,234,6.7,172,4.9,8,4,1,1,0,2.9,1,5,0,8,9,1,5,68,0.0,1.0,5.0,16.0,1.0,0.0,16.0
17,Davis Mills,1,26,35,0.74,246,7.0,163,4.7,7,5,2,1,1,2.2,4,6,2,11,4,2,2,89,2.0,2.0,0.0,0.0,0.0,0.0,15.8
18,Kenny Pickett,1,10,13,0.77,120,9.2,83,6.4,5,2,0,0,0,2.3,0,2,0,1,1,1,1,65,0.0,3.0,6.0,15.0,2.0,0.0,15.3
19,Lamar Jackson,1,20,29,0.69,144,5.0,88,3.0,5,2,0,0,0,2.6,2,2,6,6,2,3,5,63,1.0,2.0,11.0,73.0,0.0,0.0,15.1
20,Ryan Tannehill,1,17,21,0.81,137,6.5,62,3.0,4,2,0,0,0,2.6,3,2,0,4,2,2,3,126,2.0,0.0,5.0,9.0,0.0,0.0,14.4
21,Kirk Cousins,1,25,38,0.66,273,7.2,168,4.4,13,2,2,1,0,2.5,3,3,2,3,3,4,6,85,1.0,1.0,0.0,0.0,0.0,0.0,13.9
22,Jimmy Garoppolo,1,16,27,0.59,239,8.9,56,2.1,9,4,2,1,1,1.9,0,1,1,12,4,2,2,101,1.0,0.0,1.0,3.0,0.0,0.0,13.9
23,Andy Dalton,1,20,28,0.71,236,8.4,189,6.8,11,3,2,0,0,2.5,2,1,1,7,3,0,4,109,1.0,0.0,1.0,3.0,0.0,1.0,13.7
24,Teddy Bridgewater,1,14,23,0.61,193,8.4,126,5.5,8,1,1,1,1,2.9,0,6,2,1,6,1,3,84,1.0,1.0,1.0,11.0,0.0,0.0,11.8
25,Derek Carr,1,21,34,0.62,188,5.5,114,3.4,7,1,0,0,0,2.4,2,3,1,7,5,2,7,77,0.0,0.0,7.0,40.0,0.0,0.0,11.5
26,Justin Fields,1,11,22,0.5,174,8.6,106,4.8,7,4,1,1,1,2.8,6,5,1,16,4,2,3,77,0.0,0.0,7.0,52.0,0.0,1.0,10.2
27,Carson Wentz,1,25,42,0.6,170,4.0,81,1.9,5,1,1,0,0,2.0,2,9,2,13,11,1,5,57,1.0,2.0,1.0,5.0,0.0,0.0,9.3
28,Baker Mayfield,1,22,36,0.61,197,5.5,101,2.8,8,1,1,0,0,2.4,2,1,0,11,6,3,1,62,1.0,2.0,2.0,0.0,0.0,1.0,7.9
29,Matthew Stafford,1,32,48,0.67,254,5.3,136,2.8,10,0,0,0,0,2.3,7,5,5,19,9,2,6,71,0.0,1.0,2.0,6.0,0.0,1.0,7.8
30,Trevor Lawrence,1,11,23,0.48,174,7.6,94,4.1,7,3,1,1,0,2.5,4,1,8,4,5,4,3,84,2.0,1.0,2.0,7.0,0.0,4.0,6.7
31,Bailey Zappe,1,10,15,0.67,99,6.6,69,4.6,3,2,0,0,0,2.7,3,1,1,10,3,1,0,107,1.0,0.0,0.0,0.0,0.0,1.0,6.0
32,Marcus Mariota,1,7,19,0.37,139,7.3,84,4.4,6,4,1,1,0,3.1,1,4,1,10,4,1,3,41,0.0,1.0,5.0,3.0,0.0,0.0,4.9
33,Tua Tagovailoa,1,8,14,0.57,110,7.9,74,5.3,5,3,0,0,0,2.5,1,2,0,1,3,1,2,53,0.0,1.0,0.0,0.0,0.0,0.0,3.4
34,Mitchell Trubisky,1,7,13,0.54,84,6.5,59,4.5,3,2,0,0,0,2.8,3,1,1,3,2,2,0,42,0.0,1.0,1.0,1.0,0.0,0.0,2.5
35,Tyrod Taylor,1,1,3,0.33,11,3.7,5,1.7,1,0,0,0,0,2.4,0,0,0,1,0,1,0,6,0.0,1.0,3.0,30.0,0.0,0.0,2.4
36,Brian Hoyer,1,5,6,0.83,37,6.2,23,3.8,1,1,0,0,0,1.6,1,1,0,4,1,0,2,92,0.0,0.0,0.0,0.0,0.0,0.0,1.5
37,Sam Darnold,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Mike White,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Tyler Huntley,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Deshaun Watson,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Anthony Brown Jr.,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Josh Johnson,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Jordan Love,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Desmond Ridder,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Kyle Allen,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Nathan Peterman,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
