RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Kyren Williams,1,16,143,8.9,108.0,6.8,35,2.2,2,0,0.0,0,2,2,1,1,1,56,6,6,3,24,0.0,61.0,10.2,2.0,0.0,32.4
2,Christian McCaffrey,1,19,114,6.0,89.0,4.7,25,1.3,0,1,-1.0,8,3,1,0,0,0,27,5,6,1,0,2.0,25.0,5.0,0.0,0.0,25.9
3,Bijan Robinson,1,16,91,5.7,53.0,3.3,38,2.4,0,0,0.0,10,3,0,0,0,0,17,3,6,1,2,1.0,32.0,10.7,1.0,0.0,24.3
4,Raheem Mostert,1,20,94,4.7,66.0,3.3,28,1.4,1,2,-5.0,34,2,1,1,0,0,34,0,1,0,0,2.0,0.0,0.0,0.0,0.0,21.4
5,Jonathan Taylor,1,15,91,6.1,47.0,3.1,44,2.9,0,2,-3.0,4,4,0,0,0,0,17,0,0,0,0,2.0,0.0,0.0,0.0,0.0,21.1
6,Isiah Pacheco,1,15,55,3.7,41.0,2.7,14,0.9,0,0,0.0,1,0,0,0,0,0,8,5,5,1,8,2.0,34.0,6.8,0.0,0.0,20.9
7,Derrick Henry,1,18,76,4.2,9.0,0.5,67,3.7,5,1,-4.0,10,3,0,0,0,0,18,1,2,0,0,2.0,0.0,0.0,0.0,0.0,19.6
8,Josh Jacobs,1,20,110,5.5,58.0,2.9,52,2.6,0,2,-4.0,63,1,1,1,1,1,63,4,6,0,2,1.0,15.0,3.8,0.0,0.0,18.5
9,Rhamondre Stevenson,1,21,98,4.7,45.0,2.1,53,2.5,2,1,-1.0,7,3,0,0,0,0,15,5,5,0,4,1.0,9.0,1.8,0.0,0.0,16.7
10,Tony Pollard,1,13,79,6.1,48.0,3.7,31,2.4,1,3,-5.0,7,2,1,0,0,0,27,6,6,0,0,1.0,24.0,4.0,0.0,0.0,16.3
