RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Derrick Henry,1,21,102,4.9,95.0,4.5,7,0.3,1,1,-1.0,22,1,1,0,0,0,22,1,2,0,0,2.0,18.0,0.0,0.0,24.0
2,Joe Mixon,1,19,68,3.6,42.0,2.2,26,1.4,0,1,-1.0,6,1,0,0,0,0,18,6,7,0,32,2.0,8.2,0.0,0.0,23.7
3,Alvin Kamara,1,14,51,3.6,24.0,1.7,27,1.9,1,1,-2.0,2,1,0,0,0,0,16,6,8,0,7,2.0,9.7,0.0,0.0,22.9
4,James Conner,1,25,105,4.2,89.0,3.6,16,0.6,6,3,-6.0,9,3,1,0,0,0,29,0,2,0,0,2.0,0.0,0.0,0.0,22.5
5,Chuba Hubbard,1,25,104,4.2,68.0,2.7,36,1.4,0,3,-8.0,1,1,0,0,0,0,17,0,0,0,0,2.0,0.0,0.0,0.0,22.4
6,De'Von Achane,1,17,73,4.3,46.0,2.7,27,1.6,4,1,-7.0,4,1,0,0,0,0,15,3,4,0,19,2.0,10.0,0.0,0.0,22.3
7,Christian McCaffrey,1,17,93,5.5,51.0,3.0,42,2.5,1,1,-1.0,2,3,0,0,0,0,16,3,4,0,0,1.0,13.3,0.0,0.0,19.3
8,Isiah Pacheco,1,18,110,6.1,46.0,2.6,64,3.6,0,1,-1.0,1,3,1,0,0,0,26,3,4,0,6,1.0,4.3,0.0,0.0,18.3
9,Kyren Williams,1,21,88,4.2,65.0,3.1,23,1.1,4,1,-2.0,1,2,0,0,0,0,18,3,5,1,0,1.0,8.0,0.0,0.0,17.2
10,Rachaad White,1,20,84,4.2,69.0,3.5,15,0.8,0,1,-5.0,1,2,1,1,0,0,30,3,5,0,6,1.0,7.3,0.0,0.0,16.6
11,Zach Charbonnet,1,19,60,3.2,26.0,1.4,34,1.8,1,1,-5.0,1,1,0,0,0,0,14,1,2,0,25,1.0,39.0,0.0,0.0,15.9
12,Tony Pollard,1,20,68,3.4,31.0,1.6,37,1.9,4,3,-8.0,6,2,0,0,0,0,16,3,4,3,7,1.0,5.0,0.0,0.0,14.3
13,Travis Etienne Jr.,1,11,45,4.1,37.0,3.4,8,0.7,0,0,0.0,4,2,0,0,0,0,13,4,4,1,3,1.0,8.5,0.0,0.0,13.9
