RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Jahmyr Gibbs,1,14,77.0,5.5,30.0,2.1,47,3.4,0,2,-4.0,1,3,1,1,0,0,35,3,5,1,8,2.0,35.0,11.7,0.0,0.0,23.2
2,Devin Singletary,1,30,150.0,5.0,117.0,3.9,33,1.1,0,1,-3.0,6,5,1,0,0,0,22,1,2,1,1,1.0,11.0,11.0,0.0,0.0,22.1
3,Brian Robinson Jr.,1,8,38.0,4.8,13.0,1.6,25,3.1,4,0,0.0,0,2,0,0,0,0,15,6,6,0,7,0.0,119.0,19.8,1.0,0.0,21.7
4,Kenneth Walker III,1,19,63.0,3.3,59.0,3.1,4,0.2,0,3,-6.0,0,1,0,0,0,0,13,1,2,0,50,0.0,64.0,64.0,1.0,0.0,18.7
5,David Montgomery,1,12,116.0,9.7,48.0,4.0,68,5.7,0,1,-1.0,75,1,1,1,1,1,75,0,0,0,0,1.0,0.0,0.0,0.0,0.0,17.6
6,Austin Ekeler,1,19,67.0,3.5,55.0,2.9,12,0.6,0,0,0.0,2,1,0,0,0,0,17,4,7,0,20,1.0,48.0,12.0,0.0,0.0,17.5
7,Javonte Williams,1,21,79.0,3.8,42.0,2.0,37,1.8,0,0,0.0,0,1,0,0,0,0,11,4,4,1,4,0.0,31.0,7.8,1.0,0.0,17.0
8,Jaylen Warren,1,15,101.0,6.7,52.0,3.5,49,3.3,4,1,-1.0,16,5,1,0,0,0,20,2,4,1,6,1.0,9.0,4.5,0.0,0.0,17.0
9,Bijan Robinson,1,22,95.0,4.3,52.0,2.4,43,2.0,1,0,0.0,5,4,0,0,0,0,17,1,2,0,3,1.0,11.0,11.0,0.0,0.0,16.6
10,Rachaad White,1,20,51.0,2.6,23.0,1.2,28,1.4,0,0,0.0,0,1,0,0,0,0,11,2,3,1,2,0.0,47.0,23.5,1.0,0.0,15.8
11,Najee Harris,1,16,82.0,5.1,56.0,3.5,26,1.6,1,0,0.0,4,2,1,0,0,0,24,3,4,0,2,1.0,14.0,4.7,0.0,0.0,15.6
12,D'Onta Foreman,1,21,80.0,3.8,41.0,2.0,39,1.9,0,2,-2.0,4,2,0,0,0,0,11,2,2,0,5,1.0,12.0,6.0,0.0,0.0,15.2
13,Christian McCaffrey,1,16,95.0,5.9,68.0,4.3,27,1.7,0,1,-2.0,0,4,0,0,0,0,19,6,10,3,0,0.0,47.0,7.8,0.0,0.0,14.2
14,Rico Dowdle,1,12,79.0,6.6,49.0,4.1,30,2.5,1,1,-1.0,1,3,1,0,0,0,21,0,0,0,0,1.0,0.0,0.0,0.0,0.0,13.9
15,Jonathan Taylor,1,23,69.0,3.0,37.0,1.6,32,1.4,1,2,-4.0,1,1,0,0,0,0,10,1,1,0,4,1.0,6.0,6.0,0.0,0.0,13.5
