RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
46,Dameon Pierce,1,15,31.0,2.1,13.0,0.9,18,1.2,1,3,-5.0,0,1,0,0,0,0,10,2,3,1,0,0.0,2.0,0.0,0.0,3.5
47,Deuce Vaughn,1,3,16.0,5.3,14.0,4.7,2,0.7,0,0,0.0,0,1,0,0,0,0,13,3,3,0,0,0.0,5.3,0.0,0.0,3.2
48,Zach Charbonnet,1,4,16.0,4.0,3.0,0.8,13,3.3,2,0,0.0,0,0,0,0,0,0,9,2,2,0,0,0.0,7.0,0.0,0.0,3.0
49,Jamaal Williams,1,9,29.0,3.2,14.0,1.6,15,1.7,1,1,-2.0,0,0,0,0,0,0,7,0,0,0,0,0.0,0.0,0.0,0.0,2.9
50,Devin Singletary,1,4,14.0,3.5,10.0,2.5,4,1.0,0,0,0.0,0,0,0,0,0,0,5,1,1,0,0,0.0,10.0,0.0,0.0,2.4
51,Samaje Perine,1,1,4.0,4.0,0.0,0.0,4,4.0,0,0,0.0,0,0,0,0,0,0,4,3,4,1,13,0.0,6.7,0.0,0.0,2.4
52,Jerick McKinnon,1,1,-2.0,-2.0,0.0,0.0,0,0.0,0,1,-2.0,0,0,0,0,0,0,0,3,3,0,0,0.0,8.0,0.0,0.0,2.2
53,Elijah Dotson,1,4,6.0,1.5,3.0,0.8,3,0.8,0,0,0.0,0,0,0,0,0,0,2,2,2,0,2,0.0,6.5,0.0,0.0,1.9
54,Alexander Mattison,1,8,28.0,3.5,0.0,0.0,0,0.0,0,1,-2.0,0,0,0,0,0,0,7,3,6,0,0,0.0,3.7,0.0,1.0,1.9
55,D'Ernest Johnson,1,1,8.0,8.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,8,1,1,0,1,0.0,9.0,0.0,0.0,1.7
56,Clyde Edwards-Helaire,1,1,0.0,0.0,0.0,0.0,0,0.0,2,0,0.0,0,0,0,0,0,0,0,2,2,0,9,0.0,8.5,0.0,0.0,1.7
57,Rashaad Penny,1,3,9.0,3.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,6,1,1,0,0,0.0,5.0,0.0,0.0,1.4
58,Ezekiel Elliott,1,5,13.0,2.6,0.0,0.0,0,0.0,0,1,-1.0,0,0,0,0,0,0,7,0,0,0,0,0.0,0.0,0.0,0.0,1.3
59,Chase Edmonds,1,2,12.0,6.0,10.0,5.0,2,1.0,0,1,-2.0,0,1,0,0,0,0,14,0,0,0,0,0.0,0.0,0.0,0.0,1.2
60,Michael Carter,1,2,8.0,4.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,6,1,2,0,0,0.0,3.0,0.0,0.0,1.1
61,Breece Hall,1,4,9.0,2.3,0.0,0.0,0,0.0,0,2,-6.0,0,0,0,0,0,0,9,0,2,0,0,0.0,0.0,0.0,0.0,0.9
