RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,De'Von Achane,1,18,203,11.3,156,8.7,47,2.6,0,1,-2.0,67,4,3,2,2,1,67,4,4,2,14,2.0,7.5,2.0,0.0,47.3
2,Raheem Mostert,1,13,82,6.3,50,3.8,32,2.5,1,2,-7.0,20,3,1,0,0,0,20,7,7,1,30,3.0,8.6,1.0,0.0,38.2
3,Kenneth Walker III,1,18,97,5.4,62,3.4,35,1.9,3,0,0.0,7,2,1,1,0,0,36,3,3,0,18,2.0,19.7,0.0,0.0,27.6
4,Zack Moss,1,30,122,4.1,74,2.5,48,1.6,0,2,-2.0,0,4,2,0,0,0,24,2,3,2,2,0.0,11.5,1.0,0.0,20.5
5,Christian McCaffrey,1,18,85,4.7,66,3.7,19,1.1,3,1,-4.0,4,3,0,0,0,0,12,5,5,0,3,1.0,6.8,0.0,0.0,17.9
6,James Conner,1,14,98,7.0,71,5.1,27,1.9,0,0,0.0,5,3,2,0,0,0,26,2,2,1,11,1.0,9.0,0.0,0.0,17.6
7,Jerome Ford,1,10,18,1.8,0,0.0,18,1.8,5,2,-7.0,3,0,0,0,0,0,9,2,3,1,2,1.0,16.5,1.0,0.0,17.1
8,Jerick McKinnon,1,2,9,4.5,7,3.5,2,1.0,0,1,-1.0,0,1,0,0,0,0,10,3,3,2,1,0.0,6.3,2.0,0.0,14.8
9,Travis Etienne Jr.,1,19,88,4.6,45,2.4,43,2.3,3,1,-2.0,0,2,0,0,0,0,16,4,5,0,12,0.0,12.5,0.0,0.0,13.8
10,D'Andre Swift,1,16,130,8.1,99,6.2,31,1.9,2,0,0.0,0,4,2,0,0,0,29,1,2,0,2,0.0,8.0,0.0,0.0,13.8
11,Isiah Pacheco,1,15,62,4.1,29,1.9,33,2.2,3,3,-7.0,1,2,0,0,0,0,18,2,3,2,4,1.0,8.0,0.0,0.0,13.8
12,Joe Mixon,1,19,65,3.4,29,1.5,36,1.9,1,3,-5.0,14,2,0,0,0,0,14,1,2,0,5,1.0,5.0,0.0,0.0,13.0
13,Alexander Mattison,1,20,93,4.7,48,2.4,45,2.3,0,3,-4.0,0,4,0,0,0,0,15,5,7,3,0,0.0,6.4,0.0,0.0,12.5
14,Miles Sanders,1,9,24,2.7,8,0.9,16,1.8,2,1,-1.0,1,1,0,0,0,0,15,5,9,0,14,1.0,7.6,0.0,0.0,12.2
