RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Rachaad White,1,20,73.0,3.7,53.0,2.7,20,1.0,1,1,-1.0,1,3,0,0,0,0,16,4,4,2,6,2.0,11.5,0.0,0.0,23.9
2,Josh Jacobs,1,26,98.0,3.8,92.0,3.5,6,0.2,1,3,-7.0,2,2,0,0,0,0,15,0,0,0,0,2.0,0.0,0.0,0.0,21.8
3,Keaton Mitchell,1,9,138.0,15.3,63.0,7.0,75,8.3,0,1,-4.0,40,3,2,2,2,1,60,1,1,0,0,1.0,-4.0,0.0,0.0,19.4
4,Austin Ekeler,1,14,47.0,3.4,14.0,1.0,33,2.4,2,1,-2.0,2,1,1,0,0,0,20,2,7,0,4,2.0,11.5,0.0,0.0,19.0
5,Rhamondre Stevenson,1,9,87.0,9.7,17.0,1.9,70,7.8,2,1,-1.0,64,1,1,1,1,1,64,4,6,0,4,1.0,10.5,0.0,0.0,18.9
6,Gus Edwards,1,5,52.0,10.4,14.0,2.8,38,7.6,1,0,0.0,4,1,1,1,1,0,42,0,0,0,0,2.0,0.0,0.0,0.0,17.2
7,Derrick Henry,1,17,75.0,4.4,47.0,2.8,28,1.6,1,0,0.0,2,2,0,0,0,0,15,3,4,1,2,1.0,9.0,0.0,0.0,16.2
8,Alexander Mattison,1,16,44.0,2.8,17.0,1.1,27,1.7,0,2,-4.0,0,0,0,0,0,0,8,2,2,1,11,0.0,24.5,1.0,0.0,15.3
9,Raheem Mostert,1,12,85.0,7.1,56.0,4.7,29,2.4,1,0,0.0,13,3,1,0,0,0,25,0,1,0,0,1.0,0.0,0.0,0.0,14.5
10,Aaron Jones Sr.,1,20,73.0,3.7,47.0,2.4,26,1.3,0,0,0.0,3,0,0,0,0,0,9,4,6,0,8,1.0,6.5,0.0,1.0,13.9
11,Najee Harris,1,16,69.0,4.3,37.0,2.3,32,2.0,0,3,-6.0,10,2,1,0,0,0,25,2,4,0,4,1.0,3.5,0.0,0.0,13.6
12,Jonathan Taylor,1,18,47.0,2.6,14.0,0.8,33,1.8,2,3,-4.0,0,1,0,0,0,0,13,5,5,1,7,0.0,4.4,1.0,0.0,12.9
13,Joe Mixon,1,14,37.0,2.6,22.0,1.6,15,1.1,0,2,-7.0,2,1,0,0,0,0,12,5,6,1,0,1.0,6.2,0.0,0.0,12.8
14,Jaylen Warren,1,11,88.0,8.0,46.0,4.2,42,3.8,1,0,0.0,0,4,1,0,0,0,22,3,3,0,3,0.0,8.3,0.0,0.0,11.3
15,Saquon Barkley,1,16,90.0,5.6,84.0,5.3,6,0.4,0,1,-2.0,0,2,1,0,0,0,26,3,4,0,0,0.0,7.7,0.0,0.0,11.3
16,Brian Robinson Jr.,1,18,63.0,3.5,47.0,2.6,16,0.9,0,0,0.0,9,0,0,0,0,0,9,1,2,0,0,1.0,4.0,0.0,1.0,10.7
17,Kareem Hunt,1,14,38.0,2.7,19.0,1.4,19,1.4,1,1,-1.0,3,1,0,0,0,0,10,0,1,0,0,1.0,0.0,0.0,0.0,9.8
18,Tyler Allgeier,1,12,39.0,3.3,10.0,0.8,29,2.4,0,3,-9.0,5,1,0,0,0,0,13,2,3,0,0,1.0,-4.5,0.0,0.0,9.0
19,Jerick McKinnon,1,1,2.0,2.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,2,2,1,0,0.0,11.0,1.0,0.0,8.4
20,Kenneth Gainwell,1,3,22.0,7.3,19.0,6.3,3,1.0,0,0,0.0,12,1,0,0,0,0,12,1,1,0,0,1.0,1.0,0.0,0.0,8.3
21,D'Onta Foreman,1,20,83.0,4.2,74.0,3.7,9,0.5,3,1,-1.0,0,2,1,0,0,0,22,0,0,0,0,0.0,0.0,0.0,0.0,8.3
22,Jerome Ford,1,20,44.0,2.2,20.0,1.0,24,1.2,0,5,-12.0,0,0,0,0,0,0,9,5,7,0,11,0.0,6.6,0.0,0.0,7.7
23,Antonio Gibson,1,6,34.0,5.7,19.0,3.2,15,2.5,0,0,0.0,0,1,0,0,0,0,12,5,5,0,7,0.0,8.4,0.0,0.0,7.6
24,D'Andre Swift,1,18,43.0,2.4,32.0,1.8,11,0.6,2,2,-2.0,0,0,0,0,0,0,8,2,2,0,2,0.0,15.5,0.0,0.0,7.4
25,Alvin Kamara,1,9,26.0,2.9,20.0,2.2,6,0.7,2,1,-2.0,0,1,0,0,0,0,13,4,5,0,17,0.0,11.0,0.0,0.0,7.0
26,Chuba Hubbard,1,16,58.0,3.6,24.0,1.5,34,2.1,2,1,-4.0,0,1,1,0,0,0,20,4,6,0,1,0.0,2.3,0.0,0.0,6.7
