RANK,PLAYER,GAMES,RECEIVING_REC,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_YBC,RECEIVING_YBC/R,RECEIVING_AIR,RECEIVING_AIR/R,RECEIVING_YAC,RECEIVING_YACON,RECEIVING_YACON/R,RECEIVING_BRKTKL,TARGETS_TGT,TARGETS_%_TM,TARGETS_CATCHABLE,TARGETS_DROP,TARGETS_RZ_TGT,BIG_PLAYS_10+_YDS,BIG_PLAYS_20+_YDS,BIG_PLAYS_30+_YDS,BIG_PLAYS_40+_YDS,BIG_PLAYS_50+_YDS,BIG_PLAYS_LNG,RECEIVING_TD,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_FPTS
1,Hunter Henry,1,4,37,9.3,35.0,8.8,0,0.0,2,0.5,0,0.0,0,4,0.16,4,0,2,2,0,0,0,0,2.0,0.0,0.0,0.0,0.0,15.7
2,Tyler Conklin,1,3,11,3.7,8.0,2.7,0,0.0,3,1.0,2,0.7,0,5,0.14300000000000002,3,0,3,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,13.1
3,Mark Andrews,1,6,63,10.5,39.0,6.5,0,0.0,24,4.0,11,1.8,0,8,0.195,6,0,2,4,0,0,0,0,1.0,0.0,0.0,0.0,0.0,12.3
4,Travis Kelce,1,8,119,14.9,47.0,5.9,0,0.0,72,9.0,45,5.6,2,10,0.20800000000000002,9,1,0,7,1,1,0,0,0.0,0.0,0.0,0.0,0.0,11.9
5,George Kittle,1,5,50,10.0,27.0,5.4,0,0.0,23,4.6,9,1.8,1,7,0.368,5,0,1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,11.0
6,Dan Arnold,1,5,67,13.4,39.0,7.8,0,0.0,28,5.6,9,1.8,0,8,0.22899999999999998,6,1,1,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8.7
7,Austin Hooper,1,4,25,6.3,18.0,4.5,0,0.0,7,1.8,2,0.5,0,5,0.161,4,0,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,8.5
8,Tyler Higbee,1,3,20,6.7,13.0,4.3,0,0.0,7,2.3,3,1.0,0,5,0.11900000000000001,5,2,1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,8.0
9,Albert Okwuegbunam Jr.,1,3,77,25.7,16.0,5.3,0,0.0,61,20.3,3,1.0,0,3,0.08800000000000001,3,0,0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,7.7
10,Cameron Brate,1,1,6,6.0,6.0,6.0,0,0.0,0,0.0,0,0.0,0,3,0.091,1,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,6.6
11,Gerald Everett,1,8,63,7.9,23.0,2.9,0,0.0,40,5.0,19,2.4,1,8,0.21100000000000002,8,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.3
12,MyCole Pruitt,1,1,2,2.0,2.0,2.0,0,0.0,0,0.0,0,0.0,0,1,0.037000000000000005,1,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,6.2
13,Noah Gray,1,1,1,1.0,1.0,1.0,0,0.0,0,0.0,0,0.0,0,3,0.063,2,1,3,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,6.1
14,Kyle Pitts,1,4,60,15.0,46.0,11.5,0,0.0,14,3.5,0,0.0,0,7,0.259,4,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0
15,Noah Fant,1,5,59,11.8,31.0,6.2,0,0.0,28,5.6,7,1.4,0,6,0.17600000000000002,6,0,1,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.9
16,Zach Ertz,1,4,46,11.5,28.0,7.0,0,0.0,18,4.5,10,2.5,1,6,0.207,4,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.6
17,Juwan Johnson,1,2,36,18.0,27.0,13.5,0,0.0,9,4.5,4,2.0,0,3,0.086,3,1,0,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,3.6
18,Adam Shaheen,1,3,34,11.3,27.0,9.0,0,0.0,7,2.3,3,1.0,0,4,0.11800000000000001,3,0,3,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,3.4
19,Adam Trautman,1,5,32,6.4,8.0,1.6,0,0.0,24,4.8,6,1.2,0,6,0.171,6,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.2
20,Jack Doyle,1,3,31,10.3,10.0,3.3,0,0.0,21,7.0,9,3.0,0,5,0.152,4,1,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.1
21,Ricky Seals-Jones,1,3,30,10.0,14.0,4.7,0,0.0,16,5.3,5,1.7,0,4,0.125,4,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
22,Dallas Goedert,1,2,28,14.0,21.0,10.5,0,0.0,7,3.5,0,0.0,0,2,0.091,2,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2.8
23,Geoff Swaim,1,4,26,6.5,17.0,4.3,0,0.0,9,2.3,0,0.0,0,5,0.185,4,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.6
24,John Bates,1,3,25,8.3,18.0,6.0,0,0.0,7,2.3,3,1.0,0,3,0.094,3,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.5
25,Darren Waller,1,4,24,6.0,7.0,1.8,0,0.0,17,4.3,8,2.0,0,7,0.20600000000000002,4,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.4
26,Durham Smythe,1,1,23,23.0,2.0,2.0,0,0.0,21,21.0,3,3.0,0,1,0.028999999999999998,1,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2.3
