,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Nick Chubb,1,17,87.0,5.1,46.0,2.7,41,2.4,2,2,-7.0,12,3,1,0,0,0,22,3,3,0,0
2,Aaron Jones,1,15,132.0,8.8,49.0,3.3,83,5.5,1,1,-2.0,15,4,1,1,0,0,36,3,3,1,3
3,Tony Pollard,1,9,43.0,4.8,26.0,2.9,17,1.9,0,0,0.0,1,1,0,0,0,0,17,4,7,0,12
4,Damien Harris,1,15,71.0,4.7,49.0,3.3,22,1.5,0,1,-2.0,2,1,0,0,0,0,16,2,2,1,5
5,D'Andre Swift,1,5,56.0,11.2,51.0,10.2,5,1.0,0,0,0.0,0,1,1,1,1,1,50,2,5,0,2
6,James Robinson,1,23,64.0,2.8,10.0,0.4,54,2.3,3,5,-6.0,37,1,1,1,0,0,37,2,2,0,1
7,David Montgomery,1,15,122.0,8.1,34.0,2.3,88,5.9,7,1,-5.0,0,6,1,0,0,0,28,2,2,0,1
8,Christian McCaffrey,1,15,102.0,6.8,52.0,3.5,50,3.3,0,2,-3.0,0,1,1,1,1,0,49,4,5,0,5
9,Darrel Williams,1,8,59.0,7.4,47.0,5.9,12,1.5,0,0,0.0,1,1,1,1,0,0,30,2,3,1,2
10,Breece Hall,1,7,50.0,7.1,33.0,4.7,17,2.4,0,1,-1.0,0,2,1,0,0,0,23,1,1,1,0
11,Clyde Edwards-Helaire,1,8,74.0,9.3,17.0,2.1,57,7.1,0,0,0.0,0,1,1,1,1,1,52,4,4,0,24
12,Darrell Henderson Jr.,1,10,47.0,4.7,34.0,3.4,13,1.3,0,0,0.0,8,1,0,0,0,0,13,0,0,0,0
13,Jeff Wilson Jr.,1,18,84.0,4.7,68.0,3.8,16,0.9,1,2,-2.0,0,2,0,0,0,0,16,2,2,2,6
