,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Tony Pollard,1,15,80.0,5.3,43.0,2.9,37,2.5,0,2,-3.0,0,3,1,0,0,0,20,6,6,1,0
2,Samaje Perine,1,11,30.0,2.7,15.0,1.4,15,1.4,0,1,-2.0,0,0,0,0,0,0,8,4,4,2,17
3,Jamaal Williams,1,17,64.0,3.8,41.0,2.4,23,1.4,0,1,-2.0,4,2,0,0,0,0,15,0,0,0,0
4,Najee Harris,1,20,90.0,4.5,39.0,2.0,51,2.6,1,1,-2.0,19,2,0,0,0,0,19,4,6,1,5
5,Derrick Henry,1,28,87.0,3.1,42.0,1.5,45,1.6,5,2,-3.0,4,0,0,0,0,0,9,2,2,0,4
6,David Montgomery,1,17,67.0,3.9,37.0,2.2,30,1.8,0,0,0.0,2,1,0,0,0,0,15,3,4,0,10
7,Ezekiel Elliott,1,15,42.0,2.8,30.0,2.0,12,0.8,1,0,0.0,1,0,0,0,0,0,8,1,1,0,0
8,Austin Ekeler,1,19,83.0,4.4,56.0,2.9,27,1.4,0,1,-1.0,1,0,0,0,0,0,9,2,2,0,0
9,Josh Jacobs,1,24,109.0,4.5,68.0,2.8,41,1.7,0,2,-2.0,0,3,0,0,0,0,15,3,4,1,0
10,Devin Singletary,1,18,86.0,4.8,47.0,2.6,39,2.2,3,1,-3.0,5,3,0,0,0,0,18,2,2,0,0
11,Jonathan Taylor,1,22,84.0,3.8,37.0,1.7,47,2.1,3,2,-5.0,1,2,1,0,0,0,28,3,4,0,1
12,Latavius Murray,1,17,49.0,2.9,39.0,2.3,10,0.6,0,2,-5.0,1,1,0,0,0,0,12,4,4,0,0
13,James Conner,1,14,42.0,3.0,12.0,0.9,30,2.1,0,3,-3.0,2,1,0,0,0,0,14,2,5,0,8
14,Isiah Pacheco,1,15,107.0,7.1,83.0,5.5,24,1.6,0,1,-1.0,0,2,1,0,0,0,28,0,0,0,0
15,Christian McCaffrey,1,7,39.0,5.6,19.0,2.7,20,2.9,0,0,0.0,0,1,1,0,0,0,20,7,7,0,24
16,Antonio Gibson,1,18,72.0,4.0,43.0,2.4,29,1.6,0,1,-4.0,0,2,0,0,0,0,18,3,3,0,7
17,Cordarrelle Patterson,1,10,52.0,5.2,27.0,2.7,25,2.5,1,1,-1.0,0,1,0,0,0,0,17,2,2,0,2
18,Damien Harris,1,8,65.0,8.1,47.0,5.9,18,2.3,0,2,-4.0,0,2,2,1,0,0,30,2,2,0,6
19,D'Andre Swift,1,5,20.0,4.0,13.0,2.6,7,1.4,0,1,-2.0,4,1,0,0,0,0,16,3,3,1,2
20,Alvin Kamara,1,12,42.0,3.5,24.0,2.0,18,1.5,0,1,-1.0,0,1,0,0,0,0,11,4,5,0,0
21,Matt Breida,1,3,13.0,4.3,7.0,2.3,6,2.0,0,0,0.0,3,0,0,0,0,0,5,1,1,0,0
22,James Cook,1,11,86.0,7.8,64.0,5.8,22,2.0,0,1,-2.0,0,3,1,0,0,0,29,0,1,0,0
23,Rhamondre Stevenson,1,15,26.0,1.7,19.0,1.3,7,0.5,0,2,-4.0,0,0,0,0,0,0,5,6,6,0,32
24,Aaron Jones,1,12,40.0,3.3,19.0,1.6,21,1.8,3,3,-6.0,0,1,0,0,0,0,14,6,7,0,10
25,Dontrell Hilliard,1,1,4.0,4.0,2.0,2.0,2,2.0,0,0,0.0,0,0,0,0,0,0,4,1,1,1,0
26,Justin Jackson,1,9,66.0,7.3,30.0,3.3,36,4.0,1,0,0.0,0,2,1,0,0,0,27,1,1,1,1
27,Dalvin Cook,1,11,72.0,6.5,59.0,5.4,13,1.2,0,0,0.0,0,3,0,0,0,0,17,0,1,0,0
28,Melvin Gordon III,1,8,31.0,3.9,25.0,3.1,6,0.8,0,1,-1.0,0,1,0,0,0,0,10,5,5,0,0
29,Nick Chubb,1,14,19.0,1.4,-12.0,-0.9,31,2.2,2,6,-18.0,0,1,0,0,0,0,12,3,3,0,18
30,Tyler Allgeier,1,8,55.0,6.9,32.0,4.0,23,2.9,1,0,0.0,0,2,1,0,0,0,26,1,1,0,2
31,Joe Mixon,1,7,20.0,2.9,7.0,1.0,13,1.9,0,1,-2.0,0,0,0,0,0,0,7,3,3,0,11
32,Cam Akers,1,14,61.0,4.4,31.0,2.2,30,2.1,1,0,0.0,0,1,0,0,0,0,13,0,0,0,0
33,Elijah Mitchell,1,9,59.0,6.6,36.0,4.0,23,2.6,1,1,-1.0,0,1,0,0,0,0,19,0,0,0,0
34,Brian Robinson Jr.,1,15,57.0,3.8,32.0,2.1,25,1.7,0,2,-3.0,0,2,0,0,0,0,14,0,0,0,0
35,Kareem Hunt,1,5,32.0,6.4,17.0,3.4,15,3.0,0,0,0.0,0,1,0,0,0,0,11,2,2,0,5
36,Kenyan Drake,1,10,46.0,4.6,39.0,3.9,7,0.7,0,2,-5.0,0,1,1,0,0,0,29,2,4,0,0
37,Miles Sanders,1,13,47.0,3.6,31.0,2.4,16,1.2,0,1,-1.0,0,1,0,0,0,0,10,1,1,0,0
38,Kyren Williams,1,7,36.0,5.1,21.0,3.0,15,2.1,0,1,-1.0,0,1,0,0,0,0,17,1,2,1,8
39,Justice Hill,1,7,30.0,4.3,22.0,3.1,8,1.1,0,0,0.0,0,1,0,0,0,0,11,3,3,0,0
40,Saquon Barkley,1,15,22.0,1.5,9.0,0.6,13,0.9,0,3,-5.0,0,0,0,0,0,0,4,2,5,0,2
41,Malik Davis,1,7,13.0,1.9,12.0,1.7,1,0.1,1,3,-5.0,0,0,0,0,0,0,9,2,3,0,0
42,Chuba Hubbard,1,4,0.0,0.0,-1.0,-0.3,1,0.3,0,1,-3.0,0,0,0,0,0,0,2,2,3,0,0
43,D'Onta Foreman,1,11,24.0,2.2,15.0,1.4,9,0.8,0,1,-3.0,0,1,0,0,0,0,10,0,1,0,0
44,AJ Dillon,1,6,13.0,2.2,7.0,1.2,6,1.0,0,1,-2.0,0,0,0,0,0,0,5,1,1,0,0
45,Isaiah Spiller,1,4,11.0,2.8,5.0,1.3,6,1.5,0,1,-2.0,0,1,0,0,0,0,11,2,2,0,0
46,Keaontay Ingram,1,5,19.0,3.8,10.0,2.0,9,1.8,0,1,-1.0,0,1,0,0,0,0,13,0,0,0,0
47,Michael Carter,1,8,19.0,2.4,13.0,1.6,6,0.8,0,0,0.0,0,0,0,0,0,0,8,1,2,0,0
48,Dameon Pierce,1,10,8.0,0.8,3.0,0.3,5,0.5,0,3,-6.0,0,0,0,0,0,0,3,2,3,0,0
49,Jordan Mason,1,4,14.0,3.5,2.0,0.5,12,3.0,1,0,0.0,0,0,0,0,0,0,8,0,0,0,0
50,Raheem Blackshear,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,3,0,1
51,Boston Scott,1,3,8.0,2.7,7.0,2.3,1,0.3,0,0,0.0,0,0,0,0,0,0,3,2,2,0,3
52,James Robinson,1,7,10.0,1.4,9.0,1.3,1,0.1,2,2,-3.0,0,0,0,0,0,0,5,0,0,0,0
