,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Joe Mixon,1,22,153.0,7.0,69.0,3.1,84,3.8,2,1,-1.0,14,5,2,0,0,0,29,4,5,3,18
2,Kenneth Walker III,1,26,109.0,4.2,84.0,3.2,25,1.0,0,2,-5.0,5,3,0,0,0,0,15,3,4,0,7
3,Travis Etienne Jr.,1,28,109.0,3.9,52.0,1.9,57,2.0,4,3,-12.0,5,3,0,0,0,0,18,2,2,0,4
4,Derrick Henry,1,17,115.0,6.8,43.0,2.5,72,4.2,2,1,-2.0,4,2,2,1,1,1,56,0,0,0,0
5,Kenyan Drake,1,24,93.0,3.9,45.0,1.9,48,2.0,0,3,-12.0,3,2,0,0,0,0,18,2,2,1,3
6,Cordarrelle Patterson,1,13,44.0,3.4,39.0,3.0,5,0.4,0,1,-2.0,3,0,0,0,0,0,7,1,1,0,0
7,Austin Ekeler,1,14,47.0,3.4,38.0,2.5,9,0.6,0,1,-1.0,2,0,0,0,0,0,9,7,8,2,5
8,Miles Sanders,1,17,93.0,5.5,58.0,3.4,35,2.1,2,3,-5.0,2,4,1,0,0,0,25,0,0,0,0
9,Michael Carter,1,12,76.0,6.3,44.0,3.7,32,2.7,0,1,-4.0,6,3,1,0,0,0,25,1,1,1,0
10,Dameon Pierce,1,27,139.0,5.1,67.0,2.5,72,2.7,5,3,-5.0,0,3,1,1,0,0,36,0,0,0,0
